"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev"
83,2300,81,1,16.7999992370605,15.6000003814697,12,1,927,1717,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"1717927",-0.237754755410119,0.0796882157631367,-0.457921315746087
83,2322,86,1,24.7000007629395,18,11,1,857,725,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"725857",2.09793738299552,0.0796882157631367,-0.457921315746087
83,2323,86,1,12,14.6000003814697,11,1,857,725,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"725857",-2.71929137918037,0.0796882157631367,-0.457921315746087
92,2352,93,1,24.3999996185303,18.7000007629395,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",0.175010640436435,0.0970369037424299,0.128818205391409
92,2353,93,1,23.3999996185303,18.3999996185303,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",-0.129447922306543,0.0970369037424299,0.128818205391409
92,2354,93,1,19.2999992370605,16.3999996185303,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",0.407476922804159,0.0970369037424299,0.128818205391409
93,2346,91,1,13.6000003814697,15.8000001907349,12,1,256,1448,2,17,0.609999999999999,16.39,16.7326147023178,5,-1.255,6.255,1544,504,"5041544",2005,52,1,3,FALSE,"1448256",-3.90144569144747,0.0338650339477689,-0.222340719085267
93,2349,92,1,20.8999996185303,17.7000007629395,12,1,860,1568,2,17,0.609999999999999,16.39,16.7326147023178,5,-1.255,6.255,1544,504,"5041544",2005,52,1,3,FALSE,"1568860",-1.00652674627332,0.0338650339477689,-0.222340719085267
94,2366,96,1,23.5,17.7000007629395,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",1.59347363519639,0.172222043440468,0.060460104754443
94,2367,96,1,22.7999992370605,17.7999992370605,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",0.661630148621273,0.172222043440468,0.060460104754443
94,2368,96,1,22.5,18,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",-0.102063379943983,0.172222043440468,0.060460104754443
95,2356,94,1,18.1000003814697,18,12,1,122,166,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"166122",-4.50206299847428,0.0953692323479942,0.0578307557286821
95,2357,94,1,21.5,18,12,1,122,1448,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"1448122",-1.10206337994398,0.0953692323479942,0.0578307557286821
95,2358,94,1,13,16.6000003814697,12,1,122,1448,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"1448122",-6.35621660576088,0.0953692323479942,0.0578307557286821
96,2360,95,1,13.5,14.1999998092651,12,1,206,2018,2,9,0.18,8.82,9.75081289010964,1,-0.22,1.22,1386,591,"5911386",2005,53,1,4,FALSE,"2018206",-0.291905007229297,0.0191291699089954,-0.136859182717197
96,2362,95,1,14,15,12,1,206,2018,2,9,0.18,8.82,9.75081289010964,1,-0.22,1.22,1386,591,"5911386",2005,53,1,4,FALSE,"2018206",-1.64667554007323,0.0191291699089954,-0.136859182717197
98,2374,98,0,18,15.1000003814697,12,1,1048,356,1,2,0,2,16.3313615365605,1,0.18,0.82,1048,591,"5911048",2005,61,1,2,FALSE,"3561048",2.1214773141745,0,0.127833371509885
100,2388,101,1,21.2000007629395,17.2999992370605,12,1,1507,1500,2,26.5,5,21.5,30.8896312622923,17.5,3.48,14.02,560,4230,"4230560",2005,63,2,3,FALSE,"15001507",0.220862981145397,0.209927400071731,0.220644258009039
100,2389,101,1,20.5,16.7000007629395,12,1,1507,1500,2,26.5,5,21.5,30.8896312622923,17.5,3.48,14.02,560,4230,"4230560",2005,63,2,3,FALSE,"15001507",0.911936248486637,0.209927400071731,0.220644258009039
101,2383,100,1,24.6000003814697,19,12,1,560,4230,4,22.5,0.600000000000001,21.9,30.0985749491053,14,0.300000000000001,13.7,1507,1500,"15001507",2005,63,2,4,TRUE,"4230560",-0.320525611764531,0.0320966472454969,0.0441187988793457
101,2384,100,1,24.2000007629395,18,12,1,560,4230,4,22.5,0.600000000000001,21.9,30.0985749491053,14,0.300000000000001,13.7,1507,1500,"15001507",2005,63,2,4,TRUE,"4230560",1.59793738299552,0.0320966472454969,0.0441187988793457
101,2385,100,1,12.8000001907349,15.8000001907349,12,1,560,4230,4,22.5,0.600000000000001,21.9,30.0985749491053,14,0.300000000000001,13.7,1507,1500,"15001507",2005,63,2,4,TRUE,"4230560",-4.70144588218227,0.0320966472454969,0.0441187988793457
101,2390,101,0,16.2000007629395,16.7999992370605,12,1,1507,1500,4,22.5,0.600000000000001,21.9,30.0985749491053,14,0.300000000000001,13.7,1507,1500,"15001507",2005,63,2,4,TRUE,"15001507",-3.61990571220948,0.0320966472454969,0.0441187988793457
102,2414,107,1,25.2000007629395,19,12,1,1718,1738,1,14,0.24,13.76,21.1835764266864,8.5,0.984999999999999,7.515,416,4418,"4418416",2005,64,7,2,FALSE,"17381718",0.279474769705267,0.0310499847905931,0.155594094603402
105,2408,106,1,21.5,16.8999996185303,12,1,471,661,2,20,0.399999999999999,19.6,21.152703305137,11.5,1.275,10.225,604,4304,"4304604",2005,64,5,5,TRUE,"661471",1.44824637909853,0.0376841304741817,0.039106957052944
105,2409,106,1,18,18,12,1,471,661,2,20,0.399999999999999,19.6,21.152703305137,11.5,1.275,10.225,604,4304,"4304604",2005,64,5,5,TRUE,"661471",-4.60206337994398,0.0376841304741817,0.039106957052944
106,2391,102,1,26.2999992370605,19.5,12,1,416,4418,2,13.5,0.780000000000001,12.72,21.9542624186038,5.5,-0.695,6.195,471,661,"661471",2005,64,7,4,TRUE,"4418416",0.220241937181143,0.0619896123535163,-0.199837916765168
106,2392,102,1,27.2999992370605,19,12,1,416,4413,2,13.5,0.780000000000001,12.72,21.9542624186038,5.5,-0.695,6.195,471,661,"661471",2005,64,7,4,TRUE,"4413416",2.37947324382627,0.0619896123535163,-0.199837916765168
107,2403,105,1,24.2999992370605,19,12,1,604,4304,3,34.5,7.98,26.52,30.7756119435353,25.5,5.625,19.875,1718,1738,"17381718",2005,64,2,3,FALSE,"4304604",-0.620526756173732,0.264144806010242,0.254956879469682
107,2404,105,1,21.2999992370605,18.2999992370605,12,1,604,4304,3,34.5,7.98,26.52,30.7756119435353,25.5,5.625,19.875,1718,1738,"17381718",2005,64,2,3,FALSE,"4304604",-1.99760115802385,0.264144806010242,0.254956879469682
107,2405,105,1,21,18.2999992370605,12,1,604,4304,3,34.5,7.98,26.52,30.7756119435353,25.5,5.625,19.875,1718,1738,"17381718",2005,64,2,3,FALSE,"4304604",-2.29760039508435,0.264144806010242,0.254956879469682
108,2394,103,1,23.1000003814697,18.3999996185303,12,1,521,1038,3,17,2.87,14.13,19.7402912062356,9,1.885,7.115,2007,2012,"20122007",2005,64,1,3,FALSE,"1038521",-0.42944715936714,0.155342261529922,0.193441567504773
108,2395,103,1,23.3999996185303,19.2000007629395,12,1,521,1038,3,17,2.87,14.13,19.7402912062356,9,1.885,7.115,2007,2012,"20122007",2005,64,1,3,FALSE,"1038521",-1.98422066620869,0.155342261529922,0.193441567504773
108,2396,103,1,20.6000003814697,18.2000007629395,12,1,521,1038,3,17,2.87,14.13,19.7402912062356,9,1.885,7.115,2007,2012,"20122007",2005,64,1,3,FALSE,"1038521",-2.46575728997904,0.155342261529922,0.193441567504773
109,2423,109,0,19.2000007629395,18.2000007629395,12,1,1558,902,3,20,3.1,16.9,23.4864868823903,13.5,4.54,8.96,1558,902,"9021558",2005,65,1,4,FALSE,"9021558",-3.86575690850924,0.162829557419902,0.401634417546237
109,2424,109,0,20.5,17.6000003814697,12,1,1558,4304,3,20,3.1,16.9,23.4864868823903,13.5,4.54,8.96,1558,902,"9021558",2005,65,1,4,FALSE,"43041558",-1.17467921905112,0.162829557419902,0.401634417546237
109,2426,109,0,13.3999996185303,15.8000001907349,12,1,1558,902,3,20,3.1,16.9,23.4864868823903,13.5,4.54,8.96,1558,902,"9021558",2005,65,1,4,FALSE,"9021558",-4.10144645438687,0.162829557419902,0.401634417546237
112,2435,112,0,19,17.2000007629395,12,1,4425,962,1,9,2.22,6.78,9.2713896055724,2,0.51,1.49,4425,962,"9624425",2005,67,1,3,FALSE,"9624425",-1.74729505815849,0.261814023925871,-0.220587696704445
114,2447,115,1,28.8999996185303,20.5,12,1,4424,4304,3,35,5.01,29.99,32.5174819757503,23.5,2.32,21.18,338,466,"466338",2005,69,3,5,FALSE,"43044424",0.50177970536069,0.152185624821754,0.102490291211953
114,2448,115,1,26,19.5,12,1,4424,537,3,35,5.01,29.99,32.5174819757503,23.5,2.32,21.18,338,466,"466338",2005,69,3,5,FALSE,"5374424",-0.0797572998793574,0.152185624821754,0.102490291211953
114,2446,115,1,24.3999996185303,18.6000003814697,12,1,4424,537,3,35,5.01,29.99,32.5174819757503,23.5,2.32,21.18,338,466,"466338",2005,69,3,5,FALSE,"5374424",0.406857786188924,0.152185624821754,0.102490291211953
115,2441,114,1,22,16.7000007629395,12,1,338,466,2,8,0.7,7.3,15.3846159080281,4,0.97,3.03,4424,537,"5374424",2005,69,1,4,FALSE,"466338",2.41193624848664,0.0859424298007248,0.242779525831069
115,2442,114,1,18.7999992370605,16,12,1,338,466,2,8,0.7,7.3,15.3846159080281,4,0.97,3.03,4424,537,"5374424",2005,69,1,4,FALSE,"466338",0.834861083697018,0.0859424298007248,0.242779525831069
116,2437,113,1,24.5,18.5,13,1,524,2018,4,36,4.74,31.26,36.4934112762485,29.5,6.675,22.825,533,417,"417533",2005,70,4,5,TRUE,"2018524",0.738705313410892,0.138919757401197,0.250163453166411
