"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MassRange","MixedBroodYN","ResMassTarsus","XPriorResidence","sdResMassTarsus","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanTotalProRateAgeCat6","MeanBroodSizeAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat10","PairDivorce"
"49",21.870943432401,18,0.219999999999999,17.78,4.5,10.5,30.5,1.51,8.99,84.1499984741211,13.5,9,2,2005,42,819,602,3,2,2.5,6,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"602819",5,"6028192005",5,2,22.75,22.5,17.3000001907349,0.353553390593274,0.565686234168745,0.5,1,1.64531871904764,TRUE,0.957968994179914,0.0134022781474227,0.148501761693114,0.0670642305805458,0.152191815341925,18.5567016796169,2,-0.0402596742857004,0.144811708044303,25.1851851851852,2,FALSE
"50",15.7061729590272,16.5,3.19,13.31,1,5.5,24.5,0.535,4.965,93.5499984741211,8.5,7.5,2,2005,43,431,356,3,3,3,6,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"356431",5,"3564312005",2,2,23.75,22.5,17.6499996185303,1.76776695296637,0.494975286310277,2.5,1,1.84800294833564,TRUE,0.620185257153355,0.193708783511188,0.000942063396917409,0.279584862219162,0.368509401585735,17.2340425531915,2,0.107832704803215,-0.3666252747919,14.178303364863,2,FALSE
"51",28.0130293159609,19,-3.1,22.1,6,10,43,-4.68,14.68,92.1,11,17,3,2005,43,903,354,3,2,2.5,6,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,"354903",4,"3549032005",3,3,20.8333333333333,16.8999996185303,17.5333331425985,3.80701128649578,1.65025245392094,7.6000003814697,1,-0.802891794760396,FALSE,0.711826775527495,-0.147535440708539,-0.368603514804006,-0.147535440708539,-0.368603514804006,28.0130293159609,3,NA,NA,NA,NA,FALSE
"52",14.380355315094,14.3333333333333,1.18666666666667,13.1466666666667,2,5.33333333333333,22,0.043333333333333,5.29,92.0999994913737,8.33333333333333,6.33333333333333,2.66666666666667,2005,43,309,993,2,3,2.5,1,FALSE,TRUE,FALSE,9,FALSE,TRUE,FALSE,"993309",1,"9933092005",3,2,16.3000001907349,13.3999996185303,15.8500003814697,4.10122014010148,1.20208206749682,5.8000011444092,1,-1.50151078865809,FALSE,1.31423780850345,0.0949379492876943,-0.035269471778596,0.131520024156761,-0.0889336032222871,11.6367581382039,3,0.0217737995495608,0.0720587911087864,19.8675496688742,2,FALSE
"53",13.1397103917695,10.6666666666667,0.826666666666666,9.84,1.66666666666667,4,17,0.196666666666667,3.80333333333333,78.3666676839193,6.33333333333333,6.66666666666667,3,2005,43,353,725,3,3,3,5,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"725353",4,"7253532005",4,3,17.5999997456868,12,16.3666661580404,5.24595061583406,1.40118959839472,10.3999996185303,1,-1.37850107749471,TRUE,2.12181745650243,0.0547092168704927,0.0429357385354787,-0.0818871594721843,0,9.18727898682361,3,0.123007405041831,0.064403607803218,15.1159260942425,3,FALSE
"54",16.339869824241,20,3.18,16.82,3,5,25,-0.93,5.93,91.7999969482422,10,7,4,2005,44,985,409,3,2,2.5,5,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,"409985",5,"4099852005",5,0,NA,NA,NA,NA,NA,NA,1,NA,FALSE,NA,0.168562983010073,-0.156226446011103,0.168562983010073,-0.156226446011103,16.339869824241,4,NA,NA,NA,NA,FALSE
"55",20.7967771810664,20,3.61,16.39,2.5,11,31,3.125,7.875,89.3999984741211,11.5,9,3.5,2005,44,76,287,3,4,3.5,5,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"28776",3,"287762005",5,3,16.3666667938232,13.6000003814697,16.3333333333333,2.3965250262913,0.305505171195872,4.1999988555908,1,-2.53590022858397,TRUE,1.7362700520621,0.197908671718285,0.319051944585699,0.253074217560398,0.329967125023796,18.8764051416429,4,0.142743125876172,0.308136764147602,22.71714922049,3,FALSE
"56",17.2230704728751,13.5,2.41,11.09,7,5,25.5,0.00999999999999979,4.99,88.6999969482422,5,12,1,2005,44,988,145,4,2,3,9,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"145988",6,"1459882005",2,1,26.5,26.5,18.2000007629395,NA,NA,0,1,3.34507351039538,TRUE,NA,0.114773494174708,-0.139891266013256,0.229546988349417,0.0708743395866571,18.5840714238284,1,0,-0.350656871613169,15.8620695219218,1,FALSE
"57",20.7988111772451,22.5,4.71,17.79,3,11.5,32.5,2.165,9.335,93.75,12,9,4,2005,44,960,650,3,2,2.5,6,TRUE,TRUE,TRUE,5,TRUE,NA,NA,"650960",5,"6509602005",5,4,13.1749999523163,7.19999980926514,14.9500000476837,4.78774485115493,1.87349930959022,11.3000001907349,1,-2.57626636155362,TRUE,1.29923774910043,0.225891777227074,0.184287618268767,0.225891777227074,0.184287618268767,20.7988111772451,4,NA,NA,NA,NA,TRUE
"58",20.2512247298696,18.5,1.7,16.8,3.5,8,31,-0.515000000000001,8.515,91.9499977111817,8.5,12,3,2005,44,4273,4153,5,5,5,13,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"41534273",7,"415342732005",5,2,19.5999994277954,17.3999996185303,16.6000003814697,3.11126956748093,0.141421895717003,4.3999996185302,1,0.0899518607838484,TRUE,2.78338818956042,0.0998387458005898,-0.039760930998901,0.156820908383137,0.0312525435041045,15.5844158417741,4,0.0428565832180425,-0.110774405501906,24.9180336179651,2,FALSE
