"BroodRef","BirdID","NatalBroodID","RingedYN","LastStage","DeathDate","CrossFosteredYN","LastLiveRecord","HatchDate","MixedBroodYN","WeightedAge5","AgeCaptureAge5","RingingDate","RingingAge","DaysBetweenWeightedAge5andRinging","AvgBroodRingingAge","DurationSurvivalCheck","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat6","MeanBroodSizeAgeCat10","NbChickd5"
39,2106,39,0,2,"2005-05-15",0,"2005-05-14 00:00:00","2005-05-13",1,FALSE,NA,NA,NA,NA,6,6,1,5,0.94,4.06,11.2313756565216,1.5,0.545,0.955,427,22,"22427",2005,41,8,5,TRUE,0.124985396773677,0.311462421477038,0.249970793547354,-0.171148256195829,0,0.794073099149906,7.04375689963543,15.4189944134078,1,1,1
40,2090,36,1,3,NA,1,"2005-06-28 00:00:00","2005-05-13",1,TRUE,5,2005-05-24,11,6,6,6,2,17.5,2.1,15.4,20.1665149494792,10,2.71,7.29,917,4463,"4463917",2005,41,3,3,TRUE,0.119926796718719,0.188299453078512,0.086190599550106,-0.0370816749045318,0.153662993887332,0.413680581061555,13.7254901960784,26.6075397028799,2,2,2
40,2103,39,1,3,"2005-06-04",1,"2005-05-24 00:00:00","2005-05-13",1,TRUE,5,2005-05-24,11,6,6,6,2,17.5,2.1,15.4,20.1665149494792,10,2.71,7.29,917,4463,"4463917",2005,41,3,3,TRUE,0.119926796718719,0.188299453078512,0.086190599550106,-0.0370816749045318,0.153662993887332,0.413680581061555,13.7254901960784,26.6075397028799,2,2,2
40,2111,40,0,2,"2005-05-15",0,"2005-05-14 00:00:00","2005-05-13",1,FALSE,NA,NA,NA,NA,6,6,2,17.5,2.1,15.4,20.1665149494792,10,2.71,7.29,917,4463,"4463917",2005,41,3,3,TRUE,0.119926796718719,0.188299453078512,0.086190599550106,-0.0370816749045318,0.153662993887332,0.413680581061555,13.7254901960784,26.6075397028799,2,2,2
44,2137,46,1,3,NA,1,"2005-05-25 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,2,15.5,1.48,14.02,20.3243845042045,8,1.475,6.525,342,421,"421342",2005,42,3,4,TRUE,0.090674122999617,0.139391559592444,0.0593254660848149,0.0179377006866673,0.122022779914419,0.260845418498221,14.3947660188587,26.2540029895503,3,3,3
44,2138,46,0,2,"2005-05-20",1,"2005-05-19 00:00:00","2005-05-14",1,TRUE,5,NA,NA,NA,6,6,2,15.5,1.48,14.02,20.3243845042045,8,1.475,6.525,342,421,"421342",2005,42,3,4,TRUE,0.090674122999617,0.139391559592444,0.0593254660848149,0.0179377006866673,0.122022779914419,0.260845418498221,14.3947660188587,26.2540029895503,3,3,3
44,2139,46,0,2,"2005-05-16",1,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,2,15.5,1.48,14.02,20.3243845042045,8,1.475,6.525,342,421,"421342",2005,42,3,4,TRUE,0.090674122999617,0.139391559592444,0.0593254660848149,0.0179377006866673,0.122022779914419,0.260845418498221,14.3947660188587,26.2540029895503,3,3,3
44,2136,46,1,3,NA,1,"2006-05-29 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,2,15.5,1.48,14.02,20.3243845042045,8,1.475,6.525,342,421,"421342",2005,42,3,4,TRUE,0.090674122999617,0.139391559592444,0.0593254660848149,0.0179377006866673,0.122022779914419,0.260845418498221,14.3947660188587,26.2540029895503,3,3,3
46,2128,44,0,2,"2005-05-20",1,"2005-05-19 00:00:00","2005-05-14",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,4,0,4,5.95369359519973,1,0.79,0.21,524,2018,"2018524",2005,42,1,4,FALSE,0,0.747955417054941,0,0.747955417054941,NA,NA,5.95369359519973,NA,1,NA,3
46,2129,44,0,2,"2005-05-20",1,"2005-05-19 00:00:00","2005-05-14",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,4,0,4,5.95369359519973,1,0.79,0.21,524,2018,"2018524",2005,42,1,4,FALSE,0,0.747955417054941,0,0.747955417054941,NA,NA,5.95369359519973,NA,1,NA,3
46,2127,44,0,2,"2005-05-20",1,"2005-05-19 00:00:00","2005-05-14",1,TRUE,5,NA,NA,NA,NA,6.30443045155435,0,4,0,4,5.95369359519973,1,0.79,0.21,524,2018,"2018524",2005,42,1,4,FALSE,0,0.747955417054941,0,0.747955417054941,NA,NA,5.95369359519973,NA,1,NA,3
46,2152,49,0,2,"2005-05-16",1,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,NA,6.30443045155435,0,4,0,4,5.95369359519973,1,0.79,0.21,524,2018,"2018524",2005,42,1,4,FALSE,0,0.747955417054941,0,0.747955417054941,NA,NA,5.95369359519973,NA,1,NA,3
