"DVDRef","Sex","Tstart","Interval"
103,0,47.1,0.800000000000004
103,0,50.2,3.1
103,1,50.8,4.59999999999999
103,0,51,0.799999999999997
103,0,59,8
103,0,59.8,0.799999999999997
103,1,60.2,9.40000000000001
103,0,61,1.2
103,0,71.3,10.3
103,1,74.5,14.3
103,0,80.8,9.5
103,0,83.6,2.8
103,1,86.9,12.4
103,0,93.5,9.90000000000001
105,0,0,0
105,0,14.4,14.4
105,0,19.5,5.1
105,0,22.9,3.4
105,1,24.4,0
105,0,27,4.1
105,1,28.9,4.5
105,0,35,8
105,1,41.3,12.4
105,0,47.9,12.9
105,0,56,8.1
105,0,75.7,19.7
105,1,77,35.7
105,1,80.3,3.3
105,0,87.5,11.8
105,1,91.5,11.2
105,1,93.5,2
106,0,2.1,0
106,0,6,3.9
106,1,9,0
106,1,12,3
106,1,14.9,2.9
106,0,15.1,9.1
106,1,17.9,3
106,1,20.2,2.3
106,1,23,2.8
106,1,24.8,1.8
106,0,26.1,11
106,1,29.7,4.9
106,0,34,7.9
106,1,37,7.3
106,0,37.7,3.7
106,1,39.5,2.5
106,0,45.3,7.59999999999999
106,0,56.4,11.1
106,1,59.8,20.3
106,0,63.8,7.4
106,1,65.3,5.5
106,0,68.6,4.8
106,1,71.3,6
106,0,74.6,6
106,1,75.5,4.2
106,0,81,6.40000000000001
106,1,87.2,11.7
106,1,89,1.8
107,0,1.3,0
107,0,8.2,6.9
107,0,14.2,6
107,1,20,0
107,0,23.2,9
107,0,24.9,1.7
107,0,35.1,10.2
107,0,47.6,12.5
107,1,58,38
107,0,59,11.4
107,0,71,12
107,0,84.5,13.5
107,0,85.7,1.2
108,0,1.2,0
108,0,1.7,0.5
108,1,2.6,0
108,0,7.6,5.9
108,0,11,3.4
108,1,11.6,9
108,0,13.5,2.5
108,0,19,5.5
108,0,21.8,2.8
108,1,21.8,10.2
108,0,23,1.2
108,1,26.1,4.3
108,1,26.6,0.5
108,0,27.7,4.7
108,1,28.4,1.8
108,0,29.6,1.9
108,0,32.8,3.2
108,1,33.5,5.1
108,0,35.2,2.40000000000001
108,1,36.4,2.9
108,1,40,3.6
108,1,43.6,3.6
108,0,48.7,13.5
108,0,50.5,1.8
108,0,52.2,1.7
108,1,55.2,11.6
108,0,58.1,5.9
108,0,60.1,2
108,0,63.8,3.7
108,0,67.3,3.5
108,1,69.2,14
108,1,71.6,2.39999999999999
108,0,72.1,4.8
108,1,75.2,3.60000000000001
108,0,81,8.90000000000001
108,0,89.4,8.40000000000001
108,1,91.7,16.5
108,0,92,2.59999999999999
109,1,8.3,0
109,0,11.3,0
109,0,12.2,0.899999999999999
109,1,13.3,5
109,1,20,6.7
109,0,21.9,9.7
109,0,27.8,5.9
109,1,30.6,10.6
109,1,31.7,1.1
109,1,35.2,3.5
109,0,42.7,14.9
109,0,43,0.299999999999997
109,1,43.2,8
109,0,45.6,2.6
109,0,45.8,0.199999999999996
109,1,49.9,6.7
109,0,51,5.2
109,1,51.7,1.8
109,0,52.2,1.2
109,0,53.3,1.09999999999999
109,1,53.9,2.2
109,1,55.2,1.3
109,0,55.7,2.40000000000001
109,1,63.2,8
109,1,63.8,0.599999999999994
109,1,66.9,3.10000000000001
109,0,67.8,12.1
109,1,68.1,1.19999999999999
109,1,71.1,3
109,0,71.6,3.8
109,1,72.5,1.40000000000001
109,1,73.7,1.2
109,1,74.5,0.799999999999997
109,1,77,2.5
109,0,78.1,6.5
109,1,82.8,5.8
109,1,84.2,1.40000000000001
109,0,85.4,7.30000000000001
109,0,86.2,0.799999999999997
109,1,87.5,3.3
109,0,88.1,1.89999999999999
109,1,89.2,1.7
109,0,90.5,2.40000000000001
109,0,91.1,0.599999999999994
109,0,91.9,0.800000000000011
110,1,2.8,0
110,1,4.8,2
110,0,9.4,0
110,1,9.8,5
110,1,11.9,2.1
110,1,21.9,10
110,0,28.2,18.8
110,1,29.9,8
110,1,33.3,3.4
110,0,33.4,5.2
110,0,37.8,4.4
110,1,38.3,5
110,0,41.1,3.3
110,1,44,5.7
110,0,47.7,6.6
110,0,49,1.3
110,0,50.8,1.8
110,1,53,9
110,0,53.4,2.6
110,0,56.8,3.4
110,1,58.1,5.1
110,0,60.9,4.1
110,1,63.4,5.3
110,1,69.1,5.7
110,0,74.5,13.6
110,1,76.5,7.40000000000001
110,1,79.2,2.7
110,1,80.4,1.2
110,0,82.4,7.90000000000001
110,1,85.7,5.3
110,0,87.8,5.39999999999999
110,0,92.1,4.3
110,1,92.6,6.89999999999999
113,0,1.5,0
113,0,1.9,0.4
113,1,2,0
113,1,3.3,1.3
113,0,5,3.1
113,1,11.6,8.3
113,1,16.5,4.9
113,1,18.4,1.9
113,1,22.7,4.3
113,1,25,2.3
113,1,27.5,2.5
113,1,28.9,1.4
113,0,29,24
113,0,36.5,7.5
113,1,43.2,14.3
113,1,47.6,4.4
113,0,48.7,12.2
113,1,50.5,2.9
113,1,52.6,2.1
113,1,54.3,1.7
113,0,55.1,6.4
113,0,57,1.9
113,0,59.5,2.5
113,1,64.2,9.90000000000001
113,0,67.9,8.40000000000001
113,1,68.2,4
113,1,69.4,1.2
113,0,70.4,2.5
113,1,71.5,2.09999999999999
113,1,86.9,15.4
113,1,89.1,2.19999999999999
113,0,89.6,19.2
113,1,91.5,2.40000000000001
114,0,7.5,0
114,0,15.5,8
114,0,44.3,28.8
114,0,46.4,2.1
114,0,47.8,1.4
114,0,69.5,21.7
114,0,70.5,1
114,0,71.3,0.799999999999997
114,1,73.4,0
114,0,73.7,2.40000000000001
114,0,75.4,1.7
114,0,84.8,9.39999999999999
115,1,2.8,0
115,0,3.7,0
115,0,8.6,4.9
115,0,10,1.4
115,1,12,9.2
115,0,21.1,11.1
115,0,34.6,13.5
115,1,38.1,26.1
115,0,42,7.4
115,1,50.5,12.4
115,1,57.2,6.7
115,1,63.8,6.59999999999999
115,0,64.5,22.5
115,1,67.4,3.60000000000001
115,0,70.9,6.40000000000001
115,1,74.6,7.19999999999999
115,0,82.7,11.8
115,1,85,10.4
119,1,18.4,0
119,0,20,0
119,0,21.1,1.1
119,0,23.4,2.3
119,1,25.3,6.9
119,0,25.8,2.4
119,1,27.9,2.6
119,0,28.5,2.7
119,1,34.4,6.5
119,1,35.2,0.800000000000004
119,1,36,0.799999999999997
119,0,37,8.5
119,0,40,3
119,1,42.5,6.5
119,1,49.8,7.3
119,0,62.9,22.9
119,0,63.2,0.300000000000004
119,1,69.2,19.4
119,0,72.7,9.5
119,0,74.5,1.8
119,1,74.7,5.5
119,0,75.3,0.799999999999997
119,0,76,0.700000000000003
119,1,79.2,4.5
119,1,83,3.8
119,0,84,8
119,0,91.3,7.3
122,0,5.7,0
122,0,8.6,2.9
122,1,10.7,0
122,1,15.6,4.9
122,1,16.9,1.3
122,1,17.7,0.800000000000001
122,1,18.6,0.900000000000002
122,1,19.5,0.899999999999999
122,1,20.4,0.899999999999999
122,0,20.4,11.8
122,1,22.1,1.7
122,1,23.8,1.7
122,1,24.7,0.899999999999999
122,0,25.7,5.3
122,1,26.3,1.6
122,0,26.7,1
122,0,27.3,0.600000000000001
122,1,30,3.7
122,1,35,5
122,1,37,2
122,1,38.3,1.3
122,0,45.8,18.5
122,0,47.8,2
122,1,49.3,11
122,1,65.9,16.6
122,1,67.2,1.3
122,1,68.8,1.59999999999999
122,0,74.5,26.7
122,1,75.4,6.60000000000001
122,1,76,0.599999999999994
122,0,80.9,6.40000000000001
122,1,90.2,14.2
122,0,91,10.1
122,1,91.7,1.5
122,1,92.9,1.2
122,0,93,2
123,0,1.4,0
123,1,3.1,0
123,0,7.5,6.1
123,0,13,5.5
123,0,15.7,2.7
123,0,18.2,2.5
123,0,20,1.8
123,1,20.3,17.2
123,0,20.9,0.899999999999999
123,0,21.8,0.900000000000002
123,1,21.8,1.5
123,0,23,1.2
123,0,25.2,2.2
123,0,28.5,3.3
123,0,33.4,4.9
123,0,36.7,3.3
123,1,39,17.2
123,0,39.3,2.59999999999999
123,1,39.6,0.600000000000001
123,0,40.1,0.800000000000004
123,0,41.5,1.4
123,0,44.9,3.4
123,1,45,5.4
123,0,46.1,1.2
123,0,53.6,7.5
123,0,55.1,1.5
123,0,56.7,1.6
123,0,60.1,3.4
123,0,63.2,3.1
123,0,69,5.8
123,1,70,25
123,0,71,2
123,0,76.2,5.2
123,1,77,7
123,0,77.9,1.7
123,0,79.6,1.69999999999999
123,0,80.6,1
123,0,81.2,0.600000000000009
123,0,82.5,1.3
123,1,90.3,13.3
123,0,92.5,10
126,0,2.1,0
126,0,2.5,0.4
126,0,5.6,3.1
126,0,8.7,3.1
126,0,10,1.3
126,0,11.3,1.3
126,1,15.7,0
126,0,16.6,5.3
126,0,23.3,6.7
126,0,27.4,4.1
126,0,28,0.600000000000001
126,1,35.2,19.5
126,0,35.4,7.4
126,0,36.4,1
126,0,38.7,2.3
126,0,39.1,0.399999999999999
126,0,43.6,4.5
126,0,44.8,1.2
126,0,46,1.2
126,0,46.5,0.5
126,1,47,11.8
126,0,47.5,1
126,1,48,1
126,0,48.1,0.600000000000001
126,0,48.4,0.299999999999997
126,0,53.2,4.8
126,1,67.7,19.7
126,0,68.1,14.9
126,1,68.7,1
126,1,71,2.3
126,1,73.3,2.3
126,0,73.7,5.60000000000001
126,0,74.4,0.700000000000003
126,1,75.5,2.2
126,0,75.7,1.3
126,1,76.4,0.900000000000006
