"DVDRef","Tstart","Tend","State","Sex","Protocol"
9,20.2,26.1,"IN","1","Shinichi"
9,26.1,26.3,"A","1","Shinichi"
9,29.6,29.7,"A","0","Shinichi"
9,29.7,39.3,"IN","0","Shinichi"
9,30.8,31,"A","1","Shinichi"
9,31,31.3,"IN","1","Shinichi"
9,34.6,34.7,"A","1","Shinichi"
9,34.7,35,"IN","1","Shinichi"
9,35,35.1,"A","1","Shinichi"
9,36.8,37,"OF","1","Shinichi"
9,39.3,39.5,"A","0","Shinichi"
9,39.5,46.5,"IN","0","Shinichi"
9,43.5,43.8,"OF","1","Shinichi"
9,46.5,46.6,"A","0","Shinichi"
9,46.6,52.1,"IN","0","Shinichi"
9,50,50.3,"OF","1","Shinichi"
9,52.1,52.2,"A","1","Shinichi"
9,52.2,61.1,"IN","1","Shinichi"
9,61,64.9,"IN","0","Shinichi"
9,65.4,65.5,"A","0","Shinichi"
9,65.5,76.2,"IN","0","Shinichi"
9,67.2,68.3,"OF","1","Shinichi"
9,76.2,76.2,"OF","1","Shinichi"
9,76.2,76.4,"A","0","Shinichi"
9,76.4,90.5,"IN","0","Shinichi"
9,80.4,80.8,"OF","1","Shinichi"
9,83.6,83.8,"OF","1","Shinichi"
9,90.9,91.5,"IN","0","Shinichi"
9,91.5,91.6,"A","1","Shinichi"
9,91.6,93.7,"IN","1","Shinichi"
10,2.9,3.1,"A","1","Shinichi"
10,3.1,5,"IN","1","Shinichi"
10,6.5,6.8,"A","1","Shinichi"
10,6.8,7.4,"IN","1","Shinichi"
10,7.1,7.5,"A","0","Shinichi"
10,7.5,13.7,"IN","0","Shinichi"
10,15.3,16,"A","0","Shinichi"
10,16,17.9,"IN","0","Shinichi"
10,17.6,18,"A","1","Shinichi"
10,18,19.1,"IN","1","Shinichi"
10,19.1,20.6,"A","1","Shinichi"
10,20.6,24.3,"IN","1","Shinichi"
10,24.3,25.1,"A","1","Shinichi"
10,25.1,34.8,"IN","0","Shinichi"
10,34.5,34.8,"A","1","Shinichi"
10,34.8,38.4,"IN","1","Shinichi"
10,38.4,38.7,"A","1","Shinichi"
10,38.7,43.6,"IN","0","Shinichi"
10,40.6,40.7,"A","1","Shinichi"
10,43.3,44.3,"A","1","Shinichi"
10,44.3,48.7,"IN","1","Shinichi"
10,48.7,53.3,"A","1","Shinichi"
10,53.3,53.4,"A","0","Shinichi"
10,53.4,66.2,"IN","0","Shinichi"
10,58,58.4,"A","1","Shinichi"
10,66.1,66.3,"A","1","Shinichi"
10,66.3,69.1,"IN","1","Shinichi"
10,69.1,70,"A","1","Shinichi"
10,70,73.9,"IN","1","Shinichi"
10,73.9,74.9,"A","1","Shinichi"
10,75,75.4,"A","0","Shinichi"
10,75.4,80.2,"IN","0","Shinichi"
10,79.4,80.3,"A","1","Shinichi"
10,80.3,82,"IN","1","Shinichi"
10,82,86.1,"A","1","Shinichi"
10,86.1,90.3,"IN","1","Shinichi"
10,90.6,92.8,"A","1","Shinichi"
10,92.9,93.7,"IN","0","Shinichi"
10,13,13.2,"A","1","Shinichi"
11,7.7,8.1,"A","0","Shinichi"
11,7.8,9.1,"IN","1","Shinichi"
11,9,9.1,"A","0","Shinichi"
11,7.6,7.8,"A","1","Shinichi"
11,9.1,19.5,"IN","0","Shinichi"
11,16.6,19.6,"A","1","Shinichi"
11,19.6,30.5,"IN","1","Shinichi"
11,9.1,9.7,"A","1","Shinichi"
11,30.7,31.2,"IN","1","Shinichi"
11,31.2,31.3,"A","0","Shinichi"
11,31.3,52,"IN","0","Shinichi"
11,52,52.5,"A","0","Shinichi"
11,52,52.5,"A","1","Shinichi"
11,52.5,54.8,"IN","1","Shinichi"
11,54.8,54.9,"A","0","Shinichi"
11,54.9,60.7,"IN","0","Shinichi"
11,60.6,60.7,"A","1","Shinichi"
11,60.7,63.5,"IN","1","Shinichi"
11,63.5,63.6,"A","0","Shinichi"
11,63.6,76.1,"IN","0","Shinichi"
11,77.3,77.4,"A","1","Shinichi"
11,77.4,82.9,"IN","1","Shinichi"
11,82.8,83,"A","0","Shinichi"
11,83,92.5,"IN","0","Shinichi"
11,92.4,92.6,"A","1","Shinichi"
11,92.6,92.6,"IN","1","Shinichi"
11,30.5,30.7,"A","1","Shinichi"
14,4.2,5.3,"IN","1","Shinichi"
14,5,5.2,"A","0","Shinichi"
14,5.2,15.2,"IN","0","Shinichi"
14,4,4.2,"A","1","Shinichi"
14,15.1,15.2,"A","1","Shinichi"
14,15.2,18.5,"IN","1","Shinichi"
14,18.4,18.5,"A","0","Shinichi"
14,5.3,5.5,"A","1","Shinichi"
14,23.1,23.3,"A","1","Shinichi"
14,23.3,29.7,"IN","1","Shinichi"
14,29.6,29.7,"A","0","Shinichi"
14,29.7,34,"IN","0","Shinichi"
14,33.6,34.1,"A","1","Shinichi"
14,34.1,51.5,"IN","1","Shinichi"
14,54,54.1,"A","0","Shinichi"
14,54.1,63.5,"IN","0","Shinichi"
14,63.5,63.5,"A","1","Shinichi"
14,68.5,72.7,"IN","0","Shinichi"
14,72.7,72.8,"A","1","Shinichi"
14,72.8,75.4,"IN","1","Shinichi"
14,18.5,23.2,"IN","0","Shinichi"
14,75.5,80.3,"IN","0","Shinichi"
14,74.8,74.9,"A","0","Shinichi"
14,75.1,75.5,"A","0","Shinichi"
14,75.4,75.5,"A","1","Shinichi"
14,80.1,80.5,"A","1","Shinichi"
14,80.5,86.8,"IN","1","Shinichi"
14,86.8,93.6,"IN","0","Shinichi"
19,19.5,20.6,"A","0","Shinichi"
19,4.5,4.7,"A","1","Shinichi"
19,6.3,7.1,"A","1","Shinichi"
19,9.5,10.6,"A","1","Shinichi"
19,13.2,15.8,"A","1","Shinichi"
19,17.2,17.5,"A","0","Shinichi"
19,73.4,74.1,"A","1","Shinichi"
19,28.7,30.7,"A","1","Shinichi"
19,31.5,31.5,"A","1","Shinichi"
19,36,36.2,"A","1","Shinichi"
19,37.1,38.1,"A","1","Shinichi"
19,43.4,47.6,"A","1","Shinichi"
19,48.2,49.7,"A","0","Shinichi"
19,48.2,49.7,"A","1","Shinichi"
19,54.8,58.6,"A","1","Shinichi"
19,59.9,61.6,"A","1","Shinichi"
19,63.6,63.8,"A","1","Shinichi"
19,65,68.9,"A","1","Shinichi"
19,69.1,71.3,"OF","1","Shinichi"
19,76.3,78.1,"A","1","Shinichi"
19,74.1,75.3,"IN","1","Shinichi"
19,75.3,75.6,"A","1","Shinichi"
19,75.6,76.3,"IN","1","Shinichi"
19,84.6,85.6,"A","1","Shinichi"
19,78.6,79.5,"OF","1","Shinichi"
19,81.3,84.3,"A","1","Shinichi"
19,84.5,85.6,"A","0","Shinichi"
19,86.7,89,"A","1","Shinichi"
19,89.2,92.3,"A","1","Shinichi"
20,11.4,11.6,"IN","1","Shinichi"
20,3.4,3.6,"A","0","Shinichi"
20,3.6,7.4,"IN","0","Shinichi"
20,7.9,12.2,"IN","0","Shinichi"
20,11,11.4,"A","1","Shinichi"
20,11.6,12.1,"A","1","Shinichi"
20,13.4,17.2,"IN","0","Shinichi"
20,15.9,17,"A","1","Shinichi"
20,17,22.5,"IN","1","Shinichi"
20,23.2,25,"IN","1","Shinichi"
20,29.5,35.9,"IN","1","Shinichi"
20,35.7,35.9,"A","0","Shinichi"
20,35.9,51.8,"IN","0","Shinichi"
20,54.6,54.7,"A","1","Shinichi"
20,54.7,57.3,"IN","1","Shinichi"
20,57.3,61,"IN","0","Shinichi"
20,60.5,61.1,"A","1","Shinichi"
20,61.1,75.5,"IN","1","Shinichi"
20,75.3,75.4,"A","0","Shinichi"
20,75.4,78.1,"IN","0","Shinichi"
20,75.5,75.7,"A","1","Shinichi"
20,79.5,85.5,"IN","0","Shinichi"
20,85.4,85.8,"A","1","Shinichi"
20,85.8,91.2,"IN","1","Shinichi"
20,91.2,93.8,"IN","0","Shinichi"
24,3.2,13.8,"IN","0","Shinichi"
24,17.6,18,"A","1","Shinichi"
24,18,21.5,"IN","1","Shinichi"
24,23.7,27.7,"IN","0","Shinichi"
24,27.3,27.8,"A","1","Shinichi"
24,27.8,36.1,"IN","1","Shinichi"
24,36,36.1,"A","0","Shinichi"
24,36.1,36.2,"A","1","Shinichi"
24,36.1,40.7,"IN","0","Shinichi"
24,40.4,40.7,"A","1","Shinichi"
24,40.7,42.1,"IN","1","Shinichi"
24,41.7,42.2,"A","0","Shinichi"
24,42.1,42.3,"A","1","Shinichi"
24,42.2,50.1,"IN","0","Shinichi"
24,50.3,50.4,"A","1","Shinichi"
24,50.4,52.9,"IN","1","Shinichi"
24,52.9,53,"A","0","Shinichi"
24,52.9,53,"A","1","Shinichi"
24,53,62.7,"IN","0","Shinichi"
24,62.7,62.8,"A","0","Shinichi"
24,65.3,65.5,"A","0","Shinichi"
24,65.5,67,"IN","0","Shinichi"
24,66.9,67.1,"A","1","Shinichi"
