sort	DVDRef	DVDdate	BroodRef	Filename	DVDInfoChickNb	DVDInfoAge	DVDtime	DVDInfoNotes	TapeLength	EffectTime	HatchingDate	ChickAge	Sunrise	RelTimeMins	LogRelTimeMins	Protocol
1	1	25.04.2004	442	2004\40001LM18.xlsx	2	13	28.04.2016 08:45	plus LM19	92.59999847	91.5	12.04.2004	13	28.04.2016 05:58	167	2.247973266	Shinichi
2	5	26.04.2004	448	2004\40005.xlsx	1	3	28.04.2016 06:50	NA	87.90000153	83.90000153	25.04.2004	1	28.04.2016 05:56	54	1.806179974	Shinichi
3	9	29.04.2004	452	2004\40009.xlsx	3	3	28.04.2016 07:00	NA	93.69999695	92.40000153	27.04.2004	2	28.04.2016 05:51	69	1.897627091	Shinichi
4	10	29.04.2004	451	2004\40010.xlsx	3	3	28.04.2016 07:00	NA	93.69999695	90.80000305	27.04.2004	2	28.04.2016 05:51	69	1.897627091	Shinichi
5	11	01.05.2004	454	2004\40011.xlsx	2	3	28.04.2016 07:10	NA	92.59999847	85	29.04.2004	2	28.04.2016 05:47	83	1.968482949	Shinichi
6	14	02.05.2004	456	2004\40014.xlsx	3	3	28.04.2016 07:00	NA	93.59999847	89.59999847	30.04.2004	2	28.04.2016 05:45	75	1.929418926	Shinichi
7	19	03.05.2004	452	2004\40019.xlsx	1	7	28.04.2016 06:50	NA	93.5	89	27.04.2004	6	28.04.2016 05:43	67	1.886490725	Shinichi
8	20	03.05.2004	457	2004\40020.xlsx	2	3	28.04.2016 07:00	NA	93.80000305	90.40000153	01.05.2004	2	28.04.2016 05:43	77	1.939519253	Shinichi
9	24	03.05.2004	459	2004\40024.xlsx	2	3	28.04.2016 09:20	NA	92.40000153	89.19999695	01.05.2004	2	28.04.2016 05:43	217	2.356025857	Shinichi
10	25	04.05.2004	461	2004\40025.xlsx	3	3	28.04.2016 08:00	NA	93.30000305	89.59999847	02.05.2004	2	28.04.2016 05:41	139	2.173186268	Shinichi
11	26	04.05.2004	462	2004\40026.xlsx	2	3	28.04.2016 08:00	NA	93.69999695	89.5	02.05.2004	2	28.04.2016 05:41	139	2.173186268	Shinichi
12	27	04.05.2004	460	2004\40027.xlsx	4	3	28.04.2016 08:30	CHI 4->3C3D	93.69999695	91.09999847	01.05.2004	3	28.04.2016 05:41	169	2.252853031	Shinichi
13	30	06.05.2004	464	2004\40030.xlsx	4	4	28.04.2016 07:10	CHI 5->3C4D	93.69999695	91.40000153	03.05.2004	3	28.04.2016 05:38	92	2.008600172	Shinichi
14	31	06.05.2004	463	2004\40031.xlsx	1	3	28.04.2016 07:00	NA	93.69999695	67.5	03.05.2004	3	28.04.2016 05:38	82	1.963787827	Shinichi
15	32	06.05.2004	455	2004\40032.xlsx	3	7	28.04.2016 06:50	Feamle seemed afraid (Abandanment???)	93.40000153	92.30000305	30.04.2004	6	28.04.2016 05:38	72	1.913813852	Shinichi
16	33	06.05.2004	466	2004\40033.xlsx	0	3	28.04.2016 09:50	CHI 1->0C3D	93.69999695	86.80000305	04.05.2004	2	28.04.2016 05:38	252	2.418301291	Shinichi
17	34	06.05.2004	467	2004\40034.xlsx	2	3	28.04.2016 09:30	CHI 2->1C3D	86.80000305	80.59999847	04.05.2004	2	28.04.2016 05:38	232	2.383815366	Shinichi
18	36	07.05.2004	457	2004\40036D.xlsx	3	3	28.04.2016 06:40	DUNCAN'S VERSION	91.5	87.09999847	01.05.2004	6	28.04.2016 05:36	64	1.86923172	Shinichi
19	37	07.05.2004	472	2004\40037.xlsx	4	3	28.04.2016 06:30	NA	91.19999695	88.59999847	05.05.2004	2	28.04.2016 05:36	54	1.806179974	Shinichi
20	38	07.05.2004	474	2004\40038.xlsx	1	3	28.04.2016 08:40	NA	93.80000305	88.80000305	05.05.2004	2	28.04.2016 05:36	184	2.28780173	Shinichi
21	39	07.05.2004	456	2004\40039D.xlsx	2	7	28.04.2016 08:50	NA	93.69999695	92.90000153	30.04.2004	7	28.04.2016 05:36	194	2.309630167	Shinichi
22	44	08.05.2004	475	2004\40044.xlsx	3	3	28.04.2016 06:30	NA	93.69999695	92.59999847	06.05.2004	2	28.04.2016 05:34	56	1.819543936	Shinichi
23	45	08.05.2004	462	2004\40045.xlsx	2	7	28.04.2016 06:30	NA	93.69999695	92.40000153	02.05.2004	6	28.04.2016 05:34	56	1.819543936	Shinichi
24	48	08.05.2004	477	2004\40048.xlsx	1	3	28.04.2016 08:50	NA	91.19999695	91.19999695	06.05.2004	2	28.04.2016 05:34	196	2.31386722	Shinichi
25	50	08.05.2004	476	2004\40050.xlsx	3	3	28.04.2016 08:40	NA	93.69999695	91.19999695	06.05.2004	2	28.04.2016 05:34	186	2.292256071	Shinichi
26	54	09.05.2004	482	2004\40054.xlsx	2	3	28.04.2016 07:00	NA	93.80000305	90	07.05.2004	2	28.04.2016 05:33	87	1.986771734	Shinichi
27	58	09.05.2004	479	2004\40058.xlsx	3	3	28.04.2016 06:50	NA	86.80000305	85.80000305	07.05.2004	2	28.04.2016 05:33	77	1.939519253	Shinichi
28	59	09.05.2004	480	2004\40059.xlsx	2	3	28.04.2016 08:30	DUNCAN'S VERSION	93.69999695	93.5	07.05.2004	2	28.04.2016 05:33	177	2.271841607	Shinichi
29	63	10.05.2004	484	2004\40063.xlsx	4	3	28.04.2016 06:30	NA	93.69999695	87.69999695	08.05.2004	2	28.04.2016 05:31	59	1.838849091	Shinichi
30	66	10.05.2004	483	2004\40066.xlsx	5	3	28.04.2016 08:40	NA	93.80000305	95.80000305	08.05.2004	2	28.04.2016 05:31	189	2.298853076	Shinichi
31	69	11.05.2004	472	2004\40069.xlsx	2	7	28.04.2016 06:30	NA	93.69999695	92.19999695	05.05.2004	6	28.04.2016 05:29	61	1.851258349	Shinichi
32	70	11.05.2004	486	2004\40070.xlsx	2	3	28.04.2016 06:40	NA	93.80000305	90.80000305	09.05.2004	2	28.04.2016 05:29	71	1.908485019	Shinichi
33	71	11.05.2004	457	2004\40071.xlsx	1	11	28.04.2016 06:50	NA	93.69999695	88.40000153	01.05.2004	10	28.04.2016 05:29	81	1.959041392	Shinichi
34	72	11.05.2004	456	2004\40072.xlsx	0	11	28.04.2016 08:50	CHI 1->0C11D (UNFINISHED)	93.80000305	86	30.04.2004	11	28.04.2016 05:29	201	2.324282455	Shinichi
35	73	12.05.2004	487	2004\40073.xlsx	1	3	28.04.2016 06:40	NA	93.59999847	84.80000305	10.05.2004	2	28.04.2016 05:28	72	1.913813852	Shinichi
36	74	12.05.2004	475	2004\40074.xlsx	2	7	28.04.2016 06:50	NA	92.5	89.5	06.05.2004	6	28.04.2016 05:28	82	1.963787827	Shinichi
37	75	12.05.2004	462	2004\40075.xlsx	2	11	28.04.2016 06:50	NA	92.59999847	81.59999847	02.05.2004	10	28.04.2016 05:28	82	1.963787827	Shinichi
38	76	13.05.2004	488	2004\40076.xlsx	3	3	28.04.2016 06:30	NA	93.69999695	90.90000153	10.05.2004	3	28.04.2016 05:26	64	1.86923172	Shinichi
39	77	13.05.2004	489	2004\40077.xlsx	2	3	28.04.2016 06:40	NA	93.80000305	92.19999695	11.05.2004	2	28.04.2016 05:26	74	1.924279286	Shinichi
40	78	13.05.2004	490	2004\40078.xlsx	4	3	28.04.2016 06:40	NA	93.69999695	90.90000153	11.05.2004	2	28.04.2016 05:26	74	1.924279286	Shinichi
41	79	13.05.2004	477	2004\40079.xlsx	1	7	28.04.2016 10:00	NA	93.69999695	89.90000153	06.05.2004	7	28.04.2016 05:26	274	2.45331834	Shinichi
42	80	13.05.2004	491	2004\40080.xlsx	3	3	28.04.2016 08:40	NA	93.80000305	93.80000305	11.05.2004	2	28.04.2016 05:26	194	2.309630167	Shinichi
43	81	13.05.2004	464	2004\40081.xlsx	3	11	28.04.2016 08:50	NA	93.69999695	90.69999695	03.05.2004	10	28.04.2016 05:26	204	2.330413773	Shinichi
44	82	14.05.2004	494	2004\40082.xlsx	4	3	28.04.2016 06:10	NA	92.69999695	91.5	12.05.2004	2	28.04.2016 05:25	45	1.740362689	Shinichi
45	83	14.05.2004	495	2004\40083.xlsx	4	3	28.04.2016 06:20	NA	93.80000305	90.5	12.05.2004	2	28.04.2016 05:25	55	1.812913357	Shinichi
46	84	14.05.2004	484	2004\40084.xlsx	3	7	28.04.2016 06:30	NA	93.69999695	93.69999695	08.05.2004	6	28.04.2016 05:25	65	1.875061263	Shinichi
47	85	14.05.2004	498	2004\40085.xlsx	4	2	28.04.2016 06:40	NA	93.69999695	91.59999847	13.05.2004	1	28.04.2016 05:25	75	1.929418926	Shinichi
48	86	14.05.2004	493	2004\40086.xlsx	4	3	28.04.2016 08:50	NA	93.69999695	88.69999695	12.05.2004	2	28.04.2016 05:25	205	2.33243846	Shinichi
49	87	14.05.2004	496	2004\40087.xlsx	3	3	28.04.2016 09:00	NA	93.69999695	92.69999695	12.05.2004	2	28.04.2016 05:25	215	2.352182518	Shinichi
50	88	15.05.2004	500	2004\40088.xlsx	2	3	28.04.2016 06:50	NA	93.80000305	87.40000153	13.05.2004	2	28.04.2016 05:23	87	1.986771734	Shinichi
51	89	15.05.2004	472	2004\40089.xlsx	2	11	28.04.2016 06:30	NA	93.09999847	91.09999847	05.05.2004	10	28.04.2016 05:23	67	1.886490725	Shinichi
52	90	15.05.2004	486	2004\40090.xlsx	1	7	28.04.2016 06:40	NA	93.69999695	84.09999847	09.05.2004	6	28.04.2016 05:23	77	1.939519253	Shinichi
53	91	15.05.2004	498	2004\40091.xlsx	3	3	28.04.2016 07:00	CHI 4->2C3D	93.69999695	87	13.05.2004	2	28.04.2016 05:23	97	2.029383778	Shinichi
54	92	15.05.2004	497	2004\40092.xlsx	5	3	28.04.2016 09:00	NA	93.69999695	92.30000305	13.05.2004	2	28.04.2016 05:23	217	2.356025857	Shinichi
55	94	15.05.2004	501	2004\40094.xlsx	1	3	28.04.2016 09:00	NA	93.69999695	84.80000305	13.05.2004	2	28.04.2016 05:23	217	2.356025857	Shinichi
56	97	16.05.2004	502	2004\40097.xlsx	4	3	28.04.2016 06:30	NA	93.69999695	89.19999695	14.05.2004	2	28.04.2016 05:22	68	1.892094603	Shinichi
57	98	16.05.2004	505	2004\40098.xlsx	4	3	28.04.2016 06:30	NA	93.59999847	91.5	14.05.2004	2	28.04.2016 05:22	68	1.892094603	Shinichi
58	99	16.05.2004	475	2004\40099.xlsx	2	11	28.04.2016 06:30	NA	93.69999695	89.19999695	06.05.2004	10	28.04.2016 05:22	68	1.892094603	Shinichi
59	103	17.05.2004	491	2004\40103.xlsx	2	7	28.04.2016 06:40	NA	93.59999847	92.69999695	11.05.2004	6	28.04.2016 05:20	80	1.954242509	Shinichi
60	105	17.05.2004	489	2004\40105.xlsx	1	7	28.04.2016 08:30	NA	93.69999695	93.69999695	11.05.2004	6	28.04.2016 05:20	190	2.301029996	Shinichi
61	106	17.05.2004	488	2004\40106.xlsx	2	7	28.04.2016 08:30	NA	93.69999695	91.59999847	10.05.2004	7	28.04.2016 05:20	190	2.301029996	Shinichi
62	107	17.05.2004	477	2004\40107.xlsx	1	11	28.04.2016 08:30	NA	93.69999695	92.40000153	06.05.2004	11	28.04.2016 05:20	190	2.301029996	Shinichi
63	108	17.05.2004	490	2004\40108.xlsx	3	7	28.04.2016 08:30	NA	93.69999695	92.59999847	11.05.2004	6	28.04.2016 05:20	190	2.301029996	Shinichi
64	109	18.05.2004	493	2004\40109.xlsx	4	7	28.04.2016 06:30	NA	93.69999695	86.30000305	12.05.2004	6	28.04.2016 05:19	71	1.908485019	Shinichi
65	110	18.05.2004	494	2004\40110.xlsx	3	7	28.04.2016 06:40	NA	93.69999695	91	12.05.2004	6	28.04.2016 05:19	81	1.959041392	Shinichi
66	111	18.05.2004	484	2004\40111.xlsx	3	11	28.04.2016 06:50	NA	93.69999695	90.80000305	08.05.2004	10	28.04.2016 05:19	91	2.004321374	Shinichi
67	112	18.05.2004	495	2004\40112.xlsx	2	7	28.04.2016 06:40	NA	93.69999695	90.09999847	12.05.2004	6	28.04.2016 05:19	81	1.959041392	Shinichi
68	113	18.05.2004	496	2004\40113.xlsx	3	7	28.04.2016 09:00	NA	93.69999695	92.19999695	12.05.2004	6	28.04.2016 05:19	221	2.36361198	Shinichi
69	114	19.05.2004	497	2004\40114.xlsx	4	7	28.04.2016 06:30	NA	93.69999695	86.19999695	13.05.2004	6	28.04.2016 05:17	73	1.919078092	Shinichi
70	115	19.05.2004	498	2004\40115.xlsx	1	7	28.04.2016 06:40	NA	93.69999695	90.90000153	13.05.2004	6	28.04.2016 05:17	83	1.968482949	Shinichi
71	117	21.05.2004	509	2004\40117.xlsx	4	3	28.04.2016 06:50	CHI 4->3C3D	93.69999695	90.09999847	19.05.2004	2	28.04.2016 05:15	95	2.021189299	Shinichi
72	118	21.05.2004	510	2004\40118.xlsx	4	3	28.04.2016 06:50	CHI 4->3C3D	93.59999847	92.59999847	19.05.2004	2	28.04.2016 05:15	95	2.021189299	Shinichi
73	119	21.05.2004	491	2004\40119.xlsx	2	11	28.04.2016 06:50	NA	93.59999847	75.19999695	11.05.2004	10	28.04.2016 05:15	95	2.021189299	Shinichi
74	120	21.05.2004	511	2004\40120.xlsx	3	3	28.04.2016 08:50	NA	93.69999695	84.09999847	19.05.2004	2	28.04.2016 05:15	215	2.352182518	Shinichi
75	121	21.05.2004	489	2004\40121.xlsx	1	11	28.04.2016 08:50	NA	93.69999695	87.90000153	11.05.2004	10	28.04.2016 05:15	215	2.352182518	Shinichi
76	122	21.05.2004	488	2004\40122.xlsx	2	11	28.04.2016 08:50	NA	93.69999695	88	10.05.2004	11	28.04.2016 05:15	215	2.352182518	Shinichi
77	123	21.05.2004	490	2004\40123.xlsx	3	11	28.04.2016 08:50	NA	93.80000305	92.40000153	11.05.2004	10	28.04.2016 05:15	215	2.352182518	Shinichi
78	126	22.05.2004	493	2004\40126.xlsx	3	11	28.04.2016 06:50	NA	93.69999695	91.90000153	12.05.2004	10	28.04.2016 05:14	96	2.025305865	Shinichi
79	127	22.05.2004	494	2004\40127.xlsx	3	11	28.04.2016 06:50	NA	93.30000305	87.19999695	12.05.2004	10	28.04.2016 05:14	96	2.025305865	Shinichi
80	129	22.05.2004	513	2004\40129.xlsx	4	3	28.04.2016 08:50	CHI 4->3C3D	93.69999695	91.80000305	20.05.2004	2	28.04.2016 05:14	216	2.354108439	Shinichi
81	130	22.05.2004	496	2004\40130.xlsx	3	11	28.04.2016 08:50	NA	93.69999695	91.40000153	12.05.2004	10	28.04.2016 05:14	216	2.354108439	Shinichi
82	131	22.05.2004	512	2004\40131.xlsx	3	3	28.04.2016 08:50	NA	93.40000153	92.80000305	20.05.2004	2	28.04.2016 05:14	216	2.354108439	Shinichi
83	133	23.05.2004	497	2004\40133.xlsx	2	11	28.04.2016 08:10	NA	93.09999847	91.19999695	13.05.2004	10	28.04.2016 05:12	178	2.274157849	Shinichi
84	137	24.05.2004	514	2004\40137.xlsx	3	3	28.04.2016 06:40	NA	93.69999695	91.40000153	22.05.2004	2	28.04.2016 05:11	89	1.995635195	Shinichi
85	141	25.05.2004	510	2004\40141.xlsx	2	7	28.04.2016 06:40	NA	93.80000305	92.59999847	19.05.2004	6	28.04.2016 05:10	90	2	Shinichi
86	146	26.05.2004	513	2004\40146.xlsx	2	7	28.04.2016 08:40	NA	93.69999695	91.30000305	20.05.2004	6	28.04.2016 05:09	211	2.344392274	Shinichi
87	148	26.05.2004	512	2004\40148.xlsx	3	7	28.04.2016 08:40	NA	93.40000153	91.40000153	20.05.2004	6	28.04.2016 05:09	211	2.344392274	Shinichi
88	152	27.05.2004	515	2004\40152.xlsx	4	3	28.04.2016 08:20	NA	93.30000305	91.40000153	25.05.2004	2	28.04.2016 05:08	192	2.305351369	Shinichi
89	157	28.05.2004	514	2004\40157.xlsx	3	7	28.04.2016 06:10	NA	93.5	90.59999847	22.05.2004	6	28.04.2016 05:07	63	1.86332286	Shinichi
90	161	28.05.2004	516	2004\40161.xlsx	5	3	28.04.2016 08:00	NA	93.80000305	89	26.05.2004	2	28.04.2016 05:07	173	2.26245109	Shinichi
91	162	28.05.2004	517	2004\40162.xlsx	3	3	28.04.2016 08:10	NA	93.59999847	87	26.05.2004	2	28.04.2016 05:07	183	2.285557309	Shinichi
92	166	29.05.2004	518	2004\40166.xlsx	2	3	28.04.2016 06:40	NA	93.69999695	91.5	27.05.2004	2	28.04.2016 05:06	94	2.017033339	Shinichi
93	170	29.05.2004	520	2004\40170.xlsx	4	3	28.04.2016 08:50	NA	93.80000305	92.5	27.05.2004	2	28.04.2016 05:06	224	2.369215857	Shinichi
94	171	29.05.2004	519	2004\40171.xlsx	4	3	28.04.2016 08:50	NA	93.69999695	93	27.05.2004	2	28.04.2016 05:06	224	2.369215857	Shinichi
95	172	29.05.2004	510	2004\40172.xlsx	1	11	28.04.2016 08:40	NA	93.5	85.19999695	19.05.2004	10	28.04.2016 05:06	214	2.350248018	Shinichi
96	173	30.05.2004	513	2004\40173.xlsx	2	11	28.04.2016 06:30	NA	93.69999695	91.59999847	20.05.2004	10	28.04.2016 05:05	85	1.977723605	Shinichi
97	174	30.05.2004	522	2004\40174.xlsx	4	3	28.04.2016 06:30	NA	93.69999695	92.40000153	28.05.2004	2	28.04.2016 05:05	85	1.977723605	Shinichi
98	175	30.05.2004	512	2004\40175.xlsx	3	11	28.04.2016 06:30	NA	91	89.80000305	20.05.2004	10	28.04.2016 05:05	85	1.977723605	Shinichi
99	176	30.05.2004	523	2004\40176.xlsx	4	3	28.04.2016 06:40	NA	93.69999695	92.80000305	28.05.2004	2	28.04.2016 05:05	95	2.021189299	Shinichi
100	177	31.05.2004	516	2004\40177.xlsx	4	7	28.04.2016 06:50	NA	93.5	93.5	26.05.2004	5	28.04.2016 05:04	106	2.064457989	Shinichi
101	178	31.05.2004	525	2004\40178.xlsx	3	3	28.04.2016 06:50	NA	93.80000305	93.80000305	29.05.2004	2	28.04.2016 05:04	106	2.064457989	Shinichi
102	179	31.05.2004	526	2004\40179.xlsx	2	3	28.04.2016 06:50	NA	93.59999847	90.40000153	29.05.2004	2	28.04.2016 05:04	106	2.064457989	Shinichi
103	180	31.05.2004	524	2004\40180.xlsx	4	3	28.04.2016 06:50	CHI 4->3C3D	93.69999695	89.5	28.05.2004	3	28.04.2016 05:04	106	2.064457989	Shinichi
104	182	01.06.2004	528	2004\40182.xlsx	4	3	28.04.2016 06:30	NA	93.5	86.19999695	30.05.2004	2	28.04.2016 05:03	87	1.986771734	Shinichi
105	183	01.06.2004	514	2004\40183.xlsx	3	11	28.04.2016 06:30	NA	93.69999695	89	22.05.2004	10	28.04.2016 05:03	87	1.986771734	Shinichi
106	184	01.06.2004	531	2004\40184.xlsx	4	3	28.04.2016 06:30	NA	93.69999695	92.30000305	31.05.2004	1	28.04.2016 05:03	87	1.986771734	Shinichi
107	185	01.06.2004	527	2004\40185.xlsx	3	3	28.04.2016 06:30	NA	92.40000153	90.19999695	30.05.2004	2	28.04.2016 05:03	87	1.986771734	Shinichi
108	186	01.06.2004	515	2004\40186.xlsx	3	7	28.04.2016 06:30	NA	92.40000153	90.5	25.05.2004	7	28.04.2016 05:03	87	1.986771734	Shinichi
109	187	01.06.2004	529	2004\40187.xlsx	3	3	28.04.2016 08:30	NA	93.80000305	84.09999847	30.05.2004	2	28.04.2016 05:03	207	2.336459734	Shinichi
110	188	01.06.2004	517	2004\40188.xlsx	3	7	28.04.2016 08:30	NA	93.59999847	90	26.05.2004	6	28.04.2016 05:03	207	2.336459734	Shinichi
111	189	01.06.2004	530	2004\40189.xlsx	5	3	28.04.2016 08:30	NA	93.80000305	91	30.05.2004	2	28.04.2016 05:03	207	2.336459734	Shinichi
112	190	02.06.2004	535	2004\40190.xlsx	3	3	28.04.2016 06:40	NA	93.40000153	92.40000153	31.05.2004	2	28.04.2016 05:03	97	2.029383778	Shinichi
113	191	02.06.2004	518	2004\40191.xlsx	2	7	28.04.2016 06:40	NA	93.69999695	88	27.05.2004	6	28.04.2016 05:03	97	2.029383778	Shinichi
114	192	02.06.2004	532	2004\40192.xlsx	4	3	28.04.2016 06:40	NA	93.80000305	90.80000305	31.05.2004	2	28.04.2016 05:03	97	2.029383778	Shinichi
115	193	02.06.2004	536	2004\40193.xlsx	5	3	28.04.2016 06:50	NA	93.80000305	90.80000305	31.05.2004	2	28.04.2016 05:03	107	2.068185862	Shinichi
116	194	02.06.2004	520	2004\40194.xlsx	1	7	28.04.2016 08:50	NA	93.69999695	90.19999695	27.05.2004	6	28.04.2016 05:03	227	2.374748346	Shinichi
117	196	02.06.2004	539	2004\40196.xlsx	3	3	28.04.2016 09:00	NA	93.5	91.80000305	31.05.2004	2	28.04.2016 05:03	237	2.392696953	Shinichi
118	197	02.06.2004	519	2004\40197.xlsx	2	7	28.04.2016 08:50	NA	93.69999695	91.90000153	27.05.2004	6	28.04.2016 05:03	227	2.374748346	Shinichi
119	198	02.06.2004	527	2004\40198.xlsx	3	4	28.04.2016 11:00	NA	93.80000305	91.90000153	30.05.2004	3	28.04.2016 05:03	357	2.564666064	Shinichi
120	200	03.06.2004	523	2004\40200.xlsx	4	7	28.04.2016 06:40	NA	93.69999695	90.90000153	28.05.2004	6	28.04.2016 05:02	98	2.033423755	Shinichi
121	201	03.06.2004	538	2004\40201.xlsx	3	3	28.04.2016 06:40	NA	93.80000305	91.19999695	01.06.2004	2	28.04.2016 05:02	98	2.033423755	Shinichi
122	202	03.06.2004	543	2004\40202.xlsx	3	3	28.04.2016 06:30	NA	91.80000305	91.80000305	01.06.2004	2	28.04.2016 05:02	88	1.991226076	Shinichi
123	203	03.06.2004	537	2004\40203.xlsx	3	3	28.04.2016 06:30	NA	93.80000305	91.80000305	01.06.2004	2	28.04.2016 05:02	88	1.991226076	Shinichi
124	204	03.06.2004	542	2004\40204.xlsx	3	3	28.04.2016 08:20	NA	93.5	92.59999847	01.06.2004	2	28.04.2016 05:02	198	2.318063335	Shinichi
125	205	03.06.2004	541	2004\40205.xlsx	1	8	28.04.2016 08:30	NA	93.69999695	82.09999847	27.05.2004	7	28.04.2016 05:02	208	2.338456494	Shinichi
126	208	04.06.2004	516	2004\40208.xlsx	4	11	28.04.2016 06:30	NA	92.5	90.09999847	26.05.2004	9	28.04.2016 05:01	89	1.995635195	Shinichi
127	210	04.06.2004	522	2004\40210.xlsx	1	8	28.04.2016 06:20	NA	93.80000305	91.30000305	28.05.2004	7	28.04.2016 05:01	79	1.949390007	Shinichi
128	211	04.06.2004	525	2004\40211.xlsx	2	7	28.04.2016 06:30	NA	93.69999695	89.19999695	29.05.2004	6	28.04.2016 05:01	89	1.995635195	Shinichi
129	212	04.06.2004	526	2004\40212.xlsx	2	7	28.04.2016 08:20	NA	93.80000305	89.5	29.05.2004	6	28.04.2016 05:01	199	2.320146286	Shinichi
130	213	04.06.2004	524	2004\40213.xlsx	1	7	28.04.2016 08:20	NA	93.69999695	91.09999847	28.05.2004	7	28.04.2016 05:01	199	2.320146286	Shinichi
131	214	04.06.2004	546	2004\40214.xlsx	1	3	28.04.2016 08:20	NA	93.40000153	84.69999695	02.06.2004	2	28.04.2016 05:01	199	2.320146286	Shinichi
132	215	04.06.2004	544	2004\40215.xlsx	3	3	28.04.2016 08:30	NA	93.80000305	89.5	02.06.2004	2	28.04.2016 05:01	209	2.340444115	Shinichi
133	220	05.06.2004	530	2004\40220.xlsx	5	7	28.04.2016 06:20	NA	93.69999695	88.59999847	30.05.2004	6	28.04.2016 05:01	79	1.949390007	Shinichi
134	221	05.06.2004	517	2004\40221.xlsx	3	11	28.04.2016 06:20	NA	93.69999695	85.5	26.05.2004	10	28.04.2016 05:01	79	1.949390007	Shinichi
135	222	05.06.2004	528	2004\40222.xlsx	2	7	28.04.2016 08:20	NA	93.69999695	50.20000076	30.05.2004	6	28.04.2016 05:01	199	2.320146286	Shinichi
136	223	05.06.2004	531	2004\40223.xlsx	2	7	28.04.2016 08:20	NA	93.80000305	92.19999695	31.05.2004	5	28.04.2016 05:01	199	2.320146286	Shinichi
137	224	05.06.2004	529	2004\40224.xlsx	4	7	28.04.2016 08:20	NA	93.69999695	88.80000305	30.05.2004	6	28.04.2016 05:01	199	2.320146286	Shinichi
138	225	05.06.2004	527	2004\40225.xlsx	3	7	28.04.2016 08:20	NA	93.69999695	92.59999847	30.05.2004	6	28.04.2016 05:01	199	2.320146286	Shinichi
139	226	05.06.2004	515	2004\40226.xlsx	3	11	28.04.2016 08:20	NA	93.69999695	92.5	25.05.2004	11	28.04.2016 05:01	199	2.320146286	Shinichi
140	228	06.06.2004	536	2004\40228.xlsx	4	7	28.04.2016 06:20	NA	93.69999695	90.90000153	31.05.2004	6	28.04.2016 05:00	80	1.954242509	Shinichi
141	229	06.06.2004	532	2004\40229.xlsx	4	7	28.04.2016 06:20	NA	93.69999695	89.19999695	31.05.2004	6	28.04.2016 05:00	80	1.954242509	Shinichi
142	230	06.06.2004	518	2004\40230.xlsx	2	11	28.04.2016 06:20	NA	88.30000305	84	27.05.2004	10	28.04.2016 05:00	80	1.954242509	Shinichi
143	231	06.06.2004	539	2004\40231.xlsx	3	7	28.04.2016 08:30	NA	93.40000153	91.5	31.05.2004	6	28.04.2016 05:00	210	2.342422681	Shinichi
144	233	06.06.2004	535	2004\40233.xlsx	2	7	28.04.2016 08:30	NA	93.69999695	91.40000153	31.05.2004	6	28.04.2016 05:00	210	2.342422681	Shinichi
145	235	07.06.2004	523	2004\40235.xlsx	4	11	28.04.2016 06:30	NA	93.69999695	83.90000153	28.05.2004	10	28.04.2016 05:00	90	2	Shinichi
146	236	07.06.2004	542	2004\40236.xlsx	3	7	28.04.2016 06:30	NA	93.80000305	91.40000153	01.06.2004	6	28.04.2016 05:00	90	2	Shinichi
147	237	07.06.2004	538	2004\40237.xlsx	3	7	28.04.2016 06:30	NA	89.59999847	88	01.06.2004	6	28.04.2016 05:00	90	2	Shinichi
148	238	07.06.2004	522	2004\40238.xlsx	1	11	28.04.2016 08:20	NA	79.80000305	76.30000305	28.05.2004	10	28.04.2016 05:00	200	2.322219295	Shinichi
149	239	07.06.2004	537	2004\40239.xlsx	2	7	28.04.2016 08:20	NA	93.69999695	91.30000305	01.06.2004	6	28.04.2016 05:00	200	2.322219295	Shinichi
150	240	07.06.2004	543	2004\40240.xlsx	3	7	28.04.2016 08:20	NA	86.30000305	82.30000305	01.06.2004	6	28.04.2016 05:00	200	2.322219295	Shinichi
151	245	08.06.2004	526	2004\40245.xlsx	2	11	28.04.2016 06:30	NA	93.40000153	89.69999695	29.05.2004	10	28.04.2016 04:59	91	2.004321374	Shinichi
152	246	08.06.2004	546	2004\40246.xlsx	1	7	28.04.2016 06:30	NA	93.69999695	92.19999695	02.06.2004	6	28.04.2016 04:59	91	2.004321374	Shinichi
153	247	08.06.2004	544	2004\40247.xlsx	3	7	28.04.2016 06:40	NA	89.80000305	86.30000305	02.06.2004	6	28.04.2016 04:59	101	2.045322979	Shinichi
154	249	08.06.2004	548	2004\40249.xlsx	2	3	28.04.2016 08:40	NA	93.80000305	92.30000305	06.06.2004	2	28.04.2016 04:59	221	2.36361198	Shinichi
155	250	08.06.2004	545	2004\40250.xlsx	2	7	28.04.2016 08:30	NA	93.5	92.30000305	02.06.2004	6	28.04.2016 04:59	211	2.344392274	Shinichi
156	251	08.06.2004	549	2004\40251.xlsx	5	3	28.04.2016 08:40	NA	93.69999695	93.69999695	06.06.2004	2	28.04.2016 04:59	221	2.36361198	Shinichi
157	252	08.06.2004	525	2004\40252.xlsx	2	11	28.04.2016 08:40	NA	93.69999695	90.80000305	29.05.2004	10	28.04.2016 04:59	221	2.36361198	Shinichi
