"BroodRef","SocialMumID","SocialDadID","BroodName","NestboxRef","SocialDadCertain","SocialdadIsGenetic","SocialMumCertain","SocialMumIsGenetic","Notes","HatchingDate","BreedingYear","HatchingDayAfter0401","NbHatched","Nb3","NbRinged","LastLiveRecordSocialDad","LastLiveRecordSocialDadSource","LastLiveRecordSocialMum","LastLiveRecordSocialMumSource","CohortDad","CohortMum","DadAge","MumAge","ParentsAge","MPrevNbRinged","MBroodNb","MPriorResidence","MPrevFemaleLastSeenAlive","MwithsameF","MDivorce","MDivorceforEx","FPrevNbRinged","FBroodNb","FPriorResidence","FPrevMaleLastSeenAlive","FwithsameM","FDivorce","FDivorceforEx","PairID","PairIDYear","PairBroodNb","AvgMass","MinMass","MaxMass","CVMass","nMass","AvgTarsus","nTarsus","nDiff","AvgClassAge"
15,985,818,"E001",72,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2005-04-24,2005,22,2,0,0,"17.11.2005","C","07.08.2005","SP",2003,2003,2,2,2,2,3,FALSE,"17.11.2005",FALSE,TRUE,FALSE,3,4,FALSE,"30.08.2005",FALSE,TRUE,FALSE,"818985","8189852005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1069,1935,"E002",61,1,0,1,0,NA,2005-04-23,2005,21,4,0,0,"16.11.2005","C","17.11.2005","C",2004,2003,1,2,1.5,NA,1,NA,NA,NA,NA,NA,4,3,FALSE,"18.07.2006",FALSE,TRUE,FALSE,"19351069","193510692005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,988,145,"E003",69,1,0,1,0,NA,2005-04-23,2005,21,3,0,0,"15.11.2005","C","14.07.2006","SP",2001,2003,4,2,3,1,7,TRUE,"14.07.2006",TRUE,FALSE,NA,1,5,TRUE,"15.11.2005",FALSE,TRUE,TRUE,"145988","1459882005",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,650,"E004",128,0,0,0,0,NA,2005-04-24,2005,22,3,0,0,"13.06.2007","EP",NA,NA,2002,NA,3,NA,NA,0,5,TRUE,"30.08.2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"650NA","650NA2005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,604,4304,"E005",74,1,0,1,0,"Found below the box dead",2005-04-24,2005,22,2,0,0,"14.08.2007","C","09.06.2006","SP",2000,2002,5,3,4,0,9,FALSE,"09.06.2006",TRUE,FALSE,NA,0,5,FALSE,"14.08.2007",FALSE,TRUE,TRUE,"4304604","43046042005",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,892,4435,"E006",123,1,0,1,0,NA,2005-04-24,2005,22,4,0,0,"17.08.2006","C","17.08.2006","C",1997,2003,8,2,5,0,14,TRUE,"17.08.2006",TRUE,FALSE,NA,0,4,TRUE,"17.08.2006",FALSE,TRUE,TRUE,"4435892","44358922005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,917,4463,"E007",71,0,0,1,0,NA,NA,NA,NA,0,0,0,"17.11.2005","C","18.11.2005","C",1999,2003,NA,NA,NA,2,11,TRUE,"18.11.2005",TRUE,FALSE,NA,2,5,TRUE,"17.11.2005",FALSE,NA,NA,"4463917","4463917NA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,819,602,"E008",70,0,0,0,0,NA,NA,NA,NA,0,0,0,"17.11.2005","C","15.11.2005","C",2002,2003,NA,NA,NA,2,8,TRUE,"07.08.2005",FALSE,NA,NA,2,7,FALSE,"17.11.2005",FALSE,NA,NA,"602819","602819NA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,427,22,"E009",50,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,"16.11.2005","C","09.07.2006","SP",2001,2002,NA,NA,NA,4,10,FALSE,"09.07.2006",TRUE,FALSE,NA,3,12,FALSE,"01.12.2007",FALSE,NA,NA,"22427","22427NA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,592,418,"E011",129,1,0,1,0,NA,NA,NA,NA,0,0,0,"06.02.2007","C","23.07.2007","SP",2002,2002,NA,NA,NA,4,9,FALSE,"23.07.2007",TRUE,FALSE,NA,1,10,FALSE,"26.10.2006",FALSE,NA,NA,"418592","418592NA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,206,2018,"E012",147,1,0,1,0,NA,2005-05-01,2005,29,4,0,0,"13.05.2006","SP","09.02.2007","C",2003,2001,2,4,3,NA,1,NA,NA,NA,NA,NA,2,11,FALSE,"30.08.2004",FALSE,FALSE,NA,"2018206","20182062005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,533,417,"E013",3,1,0,1,0,NA,2005-05-01,2005,29,1,1,1,"07.08.2007","SP","01.08.2005","SP",2002,2003,3,2,2.5,2,6,TRUE,"01.08.2005",TRUE,FALSE,NA,2,3,TRUE,"07.08.2007",FALSE,TRUE,TRUE,"417533","4175332005",3,20.6000003814697,20.6000003814697,20.6000003814697,NA,1,17,1,0,12
29,1718,1738,"E015",30,1,0,1,0,NA,2005-05-09,2005,37,1,0,0,"17.11.2005","C","13.09.2005","C",2004,2004,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"17381718","173817182005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1048,456,"E016",56,0,0,1,0,NA,2005-05-09,2005,37,1,0,0,"30.01.2005","C","15.11.2005","C",2002,2003,3,2,2.5,0,6,TRUE,"30.08.2004",FALSE,FALSE,NA,0,3,FALSE,"15.11.2005",FALSE,TRUE,FALSE,"4561048","45610482005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,560,4230,"E017",45,1,0,1,0,NA,2005-05-10,2005,38,3,1,0,"02.07.2006","SP","16.11.2005","C",2000,2003,5,2,3.5,2,12,TRUE,"30.08.2004",FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,NA,"4230560","42305602005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4424,4230,"E018",37,1,0,1,0,"Dad:FROM GENETICS; TA14518
Mum:FROM GENETICS",2005-05-10,2005,38,2,0,0,"02.07.2006","SP","13.05.2006","C",2000,2001,5,4,4.5,0,13,FALSE,"16.11.2005",FALSE,TRUE,FALSE,2,7,TRUE,"14.07.2005",FALSE,TRUE,FALSE,"42304424","423044242005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,649,460,"E019",47,1,0,1,0,"Dad:FROM GENETICS",2005-05-11,2005,39,3,0,0,"19.11.2005","C","17.11.2005","C",2002,2002,3,3,3,2,5,FALSE,"17.11.2005",TRUE,FALSE,NA,2,7,FALSE,"19.11.2005",FALSE,TRUE,TRUE,"460649","4606492005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,416,4418,"E020",51,1,0,1,0,NA,2005-05-11,2005,39,3,0,0,"17.11.2005","C","15.11.2005","C",1999,2002,6,3,4.5,3,11,FALSE,"15.11.2005",TRUE,FALSE,NA,3,7,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"4418416","44184162005",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,604,4304,"E021",74,1,0,1,0,NA,2005-05-12,2005,40,4,0,0,"14.08.2007","C","09.06.2006","SP",2000,2002,5,3,4,0,10,TRUE,"09.06.2006",TRUE,FALSE,NA,0,6,TRUE,"14.08.2007",FALSE,TRUE,TRUE,"4304604","43046042005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,521,1038,"E022",33,1,0,1,0,NA,2005-05-12,2005,40,2,0,0,"18.11.2005","C","05.06.2005","SP",2003,2003,2,2,2,2,4,TRUE,"05.06.2005",TRUE,FALSE,NA,2,4,TRUE,"18.11.2005",FALSE,TRUE,TRUE,"1038521","10385212005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,471,661,"E023",41,1,0,1,0,NA,NA,NA,NA,0,0,0,"01.12.2007","C","18.11.2005","C",2002,2002,NA,NA,NA,0,12,FALSE,"01.12.2007",FALSE,NA,NA,2,10,TRUE,"01.12.2007",FALSE,NA,NA,"661471","661471NA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,471,661,"E024",41,1,0,1,0,NA,2005-05-12,2005,40,3,0,0,"01.12.2007","C","18.11.2005","C",2002,2002,3,3,3,4,5,TRUE,"18.11.2005",TRUE,FALSE,NA,4,7,TRUE,"01.12.2007",FALSE,TRUE,TRUE,"661471","6614712005",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,427,22,"E025",50,1,0,1,0,NA,2005-05-13,2005,41,5,1,1,"16.11.2005","C","09.07.2006","SP",2001,2002,4,3,3.5,0,7,TRUE,"09.07.2006",TRUE,FALSE,NA,0,7,TRUE,"16.11.2005",FALSE,TRUE,TRUE,"22427","224272005",7,23.6000003814697,23.6000003814697,23.6000003814697,NA,1,18.1000003814697,1,0,12
40,917,4463,"E026",71,1,0,1,0,"Dad:TA14573 GETS ALL CHICKS",2005-05-13,2005,41,3,2,2,"17.11.2005","C","18.11.2005","C",1999,2003,6,2,4,0,8,TRUE,"18.11.2005",TRUE,FALSE,NA,0,2,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"4463917","44639172005",2,20,20,20,0,2,16.7000007629395,2,0,12.5
41,438,11,"E027",31,1,0,1,0,"Mum:FROM GENETICS",2005-05-14,2005,42,4,0,0,"17.11.2005","C","30.08.2005","S",2001,2002,4,3,3.5,2,8,TRUE,"30.08.2005",TRUE,FALSE,NA,2,6,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"11438","114382005",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1507,1500,"E028",43,1,0,1,0,NA,2005-05-13,2005,41,4,0,0,"15.06.2005","SP","01.07.2005","SP",2004,2004,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"15001507","150015072005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,913,818,"E029",42,1,0,1,0,NA,2005-05-14,2005,42,4,0,0,"17.11.2005","C","17.11.2005","C",2003,2003,2,2,2,0,4,FALSE,"07.08.2005",FALSE,TRUE,TRUE,2,3,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"818913","8189132005",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,342,421,"E030",54,1,0,1,0,NA,2005-05-14,2005,42,4,2,2,"15.11.2005","C","30.08.2005","S",2002,2002,3,3,3,2,5,TRUE,"30.08.2005",TRUE,FALSE,NA,2,3,TRUE,"15.11.2005",FALSE,TRUE,TRUE,"421342","4213422005",3,18.7000002861023,15.1999998092651,22.2000007629395,0.26469236713442,2,17.3999996185303,2,0,12
45,586,285,"E031",58,1,0,1,0,NA,2005-05-14,2005,42,5,0,0,"05.06.2006","SP","01.12.2007","C",2002,2002,3,3,3,0,5,FALSE,"01.12.2007",TRUE,FALSE,NA,0,6,FALSE,"05.06.2006",FALSE,TRUE,TRUE,"285586","2855862005",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,524,2018,"E032",146,1,0,1,0,"Dad:FROM GENETICS",2005-05-14,2005,42,4,0,0,"13.05.2006","SP","21.05.2006","SP",2003,2003,2,2,2,0,2,FALSE,"09.02.2007",FALSE,TRUE,FALSE,0,2,FALSE,"30.01.2005",FALSE,FALSE,NA,"2018524","20185242005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,4290,4275,"E033",40,1,0,1,0,NA,2005-05-14,2005,42,4,1,1,"17.11.2005","C","15.11.2005","C",2000,2000,5,5,5,3,13,TRUE,"15.11.2005",TRUE,FALSE,NA,3,12,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"42754290","427542902005",10,24.3999996185303,24.3999996185303,24.3999996185303,NA,1,18.7999992370605,1,0,12
48,442,457,"E034",32,1,0,1,0,NA,2005-05-14,2005,42,2,0,1,"29.06.2006","SP","16.11.2005","C",2002,2002,3,3,3,2,5,TRUE,"16.11.2005",TRUE,FALSE,NA,2,7,TRUE,"29.06.2006",FALSE,TRUE,TRUE,"457442","4574422005",4,9.19999980926514,9.19999980926514,9.19999980926514,NA,1,14.3000001907349,1,0,12
49,819,602,"E035",70,1,0,1,0,NA,2005-05-14,2005,42,5,2,2,"17.11.2005","C","15.11.2005","C",2002,2003,3,2,2.5,0,5,TRUE,"15.11.2005",TRUE,FALSE,NA,0,4,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"602819","6028192005",4,22.75,22.5,23,0.0155408083777263,2,17.3000001907349,2,0,12
50,431,356,"E036",62,1,0,1,0,NA,2005-05-15,2005,43,2,2,2,"30.05.2006","C","16.11.2005","C",2002,2002,3,3,3,0,6,TRUE,"16.11.2005",TRUE,FALSE,NA,0,6,TRUE,"30.05.2006",FALSE,TRUE,TRUE,"356431","3564312005",5,23.75,22.5,25,0.0744322927564787,2,17.6499996185303,2,0,12
