sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
34	72	2004\40072.xlsx	12	0	10	8	0	13.3	0	12.1	2.7	Shinichi	1.9	0	86.00000305	13.3	72.7	12.9	0	8	8	0	9.28	9.28	0
35	73	2004\40073.xlsx	4	9	0	1	0.2	34.4	42.7	0.8	0.2	Shinichi	0.2	6	84.79999847	76.9	7.9	1	6	3	3	30.21	24.34	5.87	50
36	74	2004\40074.xlsx	4	21	1	0	0	5.5	62.5	0	0.7	Shinichi	0	6	89.5	68	21.5	0.7	14	3	11	41.9	3.69	38.21	25
37	75	2004\40075.xlsx	0	23	2	0	0	0	37.7	0.1	0	Shinichi	0	0	81.59999847	37.7	43.9	0.1	17	0	17	27.72	0	27.72	0
38	76	2004\40076.xlsx	15	10	1	0	1.2	41.7	38.8	0	0.1	Shinichi	1.2	17	90.89999695	79.3	11.6	0.1	7	10	3	25.61	27.52	1.91	70.8
39	77	2004\40077.xlsx	7	10	0	0	0	10.6	43.6	7.7	0	Shinichi	0	10	92.20000305	54.2	38	7.7	7	5	2	28.37	6.9	21.47	62.5
40	78	2004\40078.xlsx	13	12	1	0	0.1	22.7	59.5	0.1	0	Shinichi	0.2	15	90.89999695	82.1	8.8	0	8	9	1	39.27	14.98	24.29	62.5
41	79	2004\40079.xlsx	6	7	0	0	1.1	7.4	63.3	0	0	Shinichi	1.1	9	89.89999695	69.6	20.3	0	5	4	1	42.25	4.94	37.31	75
42	80	2004\40080.xlsx	9	11	1	0	0	39.8	42.5	0	0	Shinichi	0	18	93.80000305	82.3	11.5	0	7	6	1	27.19	25.46	1.73	94.7
43	81	2004\40081.xlsx	3	30	0	4	0	0.2	4.4	0.5	7.9	Shinichi	0	6	90.69999695	4.6	86.1	8.4	20	2	18	2.91	0.13	2.78	18.8
44	82	2004\40082.xlsx	7	6	4	0	0.1	24	39.3	3.9	0.1	Shinichi	3.2	9	91.49999695	63.2	28.3	0.9	4	5	1	25.77	15.74	10.03	75
45	83	2004\40083.xlsx	14	14	0	0	0	11.7	41.3	0.1	0	Shinichi	0	24	90.50000305	53	37.5	0.1	9	9	0	27.38	7.76	19.62	88.9
46	84	2004\40084.xlsx	7	10	0	0	0.3	30	41.9	0	0.2	Shinichi	0.4	11	93.69999695	71.6	22.1	0.1	6	4	2	26.83	19.21	7.62	68.8
47	85	2004\40085.xlsx	10	11	1	0	0.1	12.7	47.1	1.9	0.6	Shinichi	1.4	18	91.59999695	59.7	31.9	1.2	7	7	0	30.85	8.32	22.53	90
48	86	2004\40086.xlsx	4	19	1	0	0	1.2	40.6	0.7	1	Shinichi	0.4	8	88.69999695	41.8	46.9	1.3	13	3	10	27.46	0.81	26.65	36.4
49	87	2004\40087.xlsx	11	8	0	0	1.6	26.5	49.5	0.7	0.3	Shinichi	2.5	13	92.69999695	74.4	18.3	0.1	5	7	2	32.04	17.15	14.89	72.2
50	88	2004\40088.xlsx	7	6	1	2	0	26.5	41.9	1.4	1.5	Shinichi	0.9	9	87.40000305	68.4	19	2	4	5	1	28.76	18.19	10.57	75
51	89	2004\40089.xlsx	18	14	1	0	0.2	3.1	40.9	1.8	0	Shinichi	0.3	23	91.09999847	43.8	47.3	1.7	9	12	3	26.94	2.04	24.9	74.2
