sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
515	1148	2005\50591.xlsx	21	19	0	0	0	9.7	25.4	2.4	0.6	Shinichi	0.1	23	92.3	35.1	57.2	2.9	12	14	2	16.51	6.31	10.2	59
516	1155	2005\50598.xlsx	9	8	3	0	3.1	13.1	45.5	8.8	0.3	Shinichi	6.8	11	91.70000305	55.5	36.2	5.4	5	6	1	29.77	8.57	21.2	68.8
517	1162	2005\50605.xlsx	14	25	0	0	1.4	31.4	19.7	2.2	1.1	Shinichi	2	24	77	49.7	27.3	2.7	19	11	8	15.35	24.47	9.12	63.2
518	1163	2005\50606.xlsx	19	10	0	0	1.3	23.7	12.3	0.8	1.6	Shinichi	1.3	13	89.99999695	34.7	55.3	2.4	7	13	6	8.2	15.8	7.6	46.4
519	1164	2005\50607.xlsx	17	11	1	0	1.5	10.5	41	5	0.3	Shinichi	4.3	14	83.69999847	50	33.7	2.5	8	12	4	29.39	7.53	21.86	51.9
520	1165	2005\50608.xlsx	28	24	1	0	0.2	5.9	8.7	2.1	2.5	Shinichi	0.5	27	90.30000305	14.4	75.9	4.3	16	19	3	5.78	3.92	1.86	52.9
521	1166	2005\50609.xlsx	10	13	4	2	0.7	23.7	34.3	13.1	2.8	Shinichi	1.7	18	90.79999695	57.3	33.5	14.9	9	7	2	22.67	15.66	7.01	81.8
522	1177	2005\50620.xlsx	31	21	0	0	1.2	13.7	21.9	2.1	4.7	Shinichi	1.2	34	92.60000153	34.4	58.2	6.8	14	20	6	14.19	8.88	5.31	66.7
523	1183	2005\50626.xlsx	10	11	4	0	0	16.5	62.2	7.4	0	Shinichi	2.7	16	91.2	78.7	12.5	4.7	7	7	0	40.92	10.86	30.06	80
524	1184	2005\50627.xlsx	12	9	0	0	0.2	34.4	46.8	0.2	0	Shinichi	0.2	15	89.79999847	81	8.8	0.2	6	8	2	31.27	22.98	8.29	75
525	1185	2005\50628.xlsx	13	14	1	0	0	3.4	22.4	0.6	0.9	Shinichi	0.4	16	91	25.8	65.2	1.1	9	9	0	14.77	2.24	12.53	61.5
526	1186	2005\50629.xlsx	8	9	1	1	0	32.2	34.3	2.2	0.2	Shinichi	0	14	90.7	66.5	24.2	2.4	6	5	1	22.69	21.3	1.39	87.5
527	1187	2005\50630.xlsx	5	9	4	2	0.7	6.6	37.7	4.8	3.7	Shinichi	0.9	6	84.19999847	43.6	40.6	8.3	6	4	2	26.86	4.7	22.16	46.2
528	1195	2005\50638.xlsx	10	13	1	0	0.1	14.2	38.2	0.1	1.5	Shinichi	0.1	12	91.19999847	52.3	38.9	1.6	9	7	2	25.13	9.34	15.79	54.5
529	1210	2005\50653.xlsx	13	15	0	0	0	11.1	44.7	2.3	0	Shinichi	0	23	91.5	55.8	35.7	2.3	10	9	1	29.31	7.28	22.03	85.2
530	1211	2005\50654.xlsx	4	6	1	0	0	31.2	48.7	2	0	Shinichi	2	7	90.7	79.9	10.8	0	4	3	1	32.22	20.64	11.58	77.8
531	1221	2005\50664.xlsx	1	23	0	1	0	0.1	27.2	0	0.7	Shinichi	0	2	92.69999695	27.3	65.4	0.7	15	1	14	17.61	0.06	17.55	8.7
532	1222	2005\50665.xlsx	0	24	0	0	0	0	45.3	0	0	Shinichi	0	0	91.39999695	45.3	46.1	0	16	0	16	29.74	0	29.74	0
533	1223	2005\50666.xlsx	17	14	0	0	0.1	3.1	23.4	0	1.1	Shinichi	0.1	19	92.19999695	26.4	65.8	1.1	9	11	2	15.23	2.02	13.21	63.3
534	1224	2005\50667.xlsx	9	8	0	0	0	11.6	69.7	1.6	0	Shinichi	0.5	16	92	81.3	10.7	1.1	5	6	1	45.46	7.57	37.89	100
535	1228	2005\50671.xlsx	21	18	0	1	0.1	15	16.5	0.4	1.6	Shinichi	0.1	22	92.39999695	31.4	61	2	12	14	2	10.71	9.74	0.97	57.9
536	1230	2005\50673.xlsx	15	30	1	0	0	6.1	7.2	1	1.5	Shinichi	0.4	27	89.49999847	13.3	76.2	2.1	20	10	10	4.83	4.09	0.74	61.4
537	1233	2005\50676.xlsx	2	37	0	0	0.1	1.1	14.1	0	1.8	Shinichi	0.2	4	73	15.1	57.9	1.7	30	2	28	11.59	0.9	10.69	10.5
538	1243	2005\50686.xlsx	4	30	1	1	0	0.4	33.6	0.1	0.3	Shinichi	0	8	92.79999695	34	58.8	0.4	19	3	16	21.72	0.26	21.46	24.2
539	1244	2005\50687.xlsx	27	22	0	0	0.6	8.9	29.1	0.3	0.2	Shinichi	0.6	20	92.7	37.4	55.3	0.5	14	17	3	18.83	5.76	13.07	41.7
540	1246	2005\50689.xlsx	14	15	1	1	0.3	2.9	34.9	0.5	0.2	Shinichi	0.4	21	90.20000305	37.5	52.7	0.6	10	9	1	23.22	1.93	21.29	75
541	1256	2005\50699.xlsx	6	10	1	2	0	13.4	8.8	11.2	1.2	Shinichi	0.7	6	90.29999847	22.2	68.1	11.7	7	4	3	5.85	8.9	3.05	40
542	1257	2005\50700.xlsx	19	28	1	2	0	6.3	18.6	0.7	1.9	Shinichi	0.4	28	87.59999695	24.9	62.7	2.2	19	13	6	12.74	4.32	8.42	60.9
543	1264	2005\50707.xlsx	9	5	7	1	0.2	24.4	49.1	26.3	1.5	Shinichi	22.9	9	89.69999695	73.3	16.4	5.1	3	6	3	32.84	16.32	16.52	69.2
544	1266	2005\50709.xlsx	0	22	0	1	0	0	14.8	0	10.6	Shinichi	0	0	90.69999695	14.8	75.9	10.6	15	0	15	9.79	0	9.79	0
545	1267	2005\50710.xlsx	23	18	0	0	1.8	11.6	36	0.1	0.3	Shinichi	1.9	25	93.5	45.8	47.7	0.3	12	15	3	23.1	7.44	15.66	62.5
546	1270	2005\50713.xlsx	13	14	0	0	2.4	34.5	24.8	0.5	1.1	Shinichi	3.1	20	89.99999695	56.9	33.1	0.9	9	9	0	16.53	23	6.47	76.9
547	1291	2005\50734.xlsx	23	21	0	0	0.6	9.4	15.4	0.5	1.1	Shinichi	1	26	91.20000305	24.2	67	1.2	14	15	1	10.13	6.18	3.95	60.5
548	1293	2005\50736.xlsx	36	17	0	1	0.2	7.6	9	0.5	6.5	Shinichi	0.5	22	93.19999695	16.4	76.8	6.7	11	23	12	5.79	4.89	0.9	42.3
549	1299	2005\50742.xlsx	17	16	1	0	0.9	5	31.9	1.4	0.5	Shinichi	1.4	22	83.8	36	47.8	1.4	11	12	1	22.84	3.58	19.26	68.8
550	1302	2005\50745.xlsx	16	13	0	0	1.2	12.1	13.9	0.9	2.6	Shinichi	2.8	13	93.59999847	24.8	68.8	1.9	8	10	2	8.91	7.76	1.15	46.4
551	1308	2005\50751.xlsx	17	13	10	0	0	12.4	7.9	42.1	3.1	Shinichi	0.8	19	92.30000305	20.3	72	44.4	8	11	3	5.14	8.06	2.92	65.5
552	1309	2005\50752.xlsx	0	32	0	0	0	0	39.6	0	4.4	Shinichi	0	0	91.89999695	39.6	52.3	4.4	21	0	21	25.85	0	25.85	0
553	1313	2005\50756.xlsx	13	11	0	0	0	8.1	8.2	3.1	1.3	Shinichi	0.3	13	91.6	16.3	75.3	4.1	7	9	2	5.37	5.31	0.06	56.5
554	1326	2005\50769.xlsx	10	15	0	1	0	18.8	36.7	2.8	1.2	Shinichi	0.4	16	92.20000153	55.5	36.7	3.6	10	7	3	23.88	12.23	11.65	66.7
555	1333	2005\50776.xlsx	7	26	0	2	0	5.4	30.1	0.8	4.7	Shinichi	0.5	14	93.20000305	35.5	57.7	5	17	5	12	19.38	3.48	15.9	43.8
556	1344	2005\50787.xlsx	8	16	2	2	0.3	4.2	17.8	2.1	2.9	Shinichi	1.85	13	93.29999695	21.7	71.6	3.45	10	5	5	11.45	2.7	8.75	56.5
557	1349	2005\50792.xlsx	8	27	1	1	0	5.5	17.6	2.1	2.8	Shinichi	0	15	91.29999847	23.1	68.2	4.9	18	5	13	11.57	3.61	7.96	44.1
558	1350	2005\50793.xlsx	13	13	0	2	3.9	18.5	47.6	4.1	1.9	Shinichi	6.8	19	92.1	62.2	29.9	3.1	8	8	0	31.01	12.05	18.96	76
559	1351	2005\50794.xlsx	11	19	1	0	0.3	1.1	19.1	0	1	Shinichi	0.3	20	89.79999695	19.9	69.9	1	13	7	6	12.76	0.73	12.03	69
560	1352	2005\50795.xlsx	6	11	1	0	0.1	18.6	35.2	1.9	1.5	Shinichi	1.4	9	93.09999695	53.7	39.4	2.1	7	4	3	22.69	11.99	10.7	56.2
561	1353	2005\50796.xlsx	8	8	1	1	0	6.6	54.2	1.4	1.4	Shinichi	1.2	11	88.39999847	60.8	27.6	1.6	5	5	0	36.79	4.48	32.31	73.3
562	1356	2005\50799.xlsx	4	14	2	0	0	6.8	46	4.5	2.3	Shinichi	3.4	6	85.10000305	52.8	32.3	3.4	10	3	7	32.43	4.79	27.64	35.3
563	1364	2005\50807.xlsx	9	4	6	0	0	17.6	33.6	10	0.5	Shinichi	1.9	8	91.30000153	51.2	40.1	8.6	3	6	3	22.08	11.57	10.51	66.7
564	1372	2005\50815.xlsx	16	15	1	0	0	21.5	32.7	1.6	0.4	Shinichi	0.7	24	91.99999695	54.2	37.8	1.3	10	10	0	21.33	14.02	7.31	80
565	1373	2005\50816.xlsx	8	29	1	0	0	1.2	21.6	2.8	2.2	Shinichi	0.2	13	92.39999847	22.8	69.6	4.8	19	5	14	14.03	0.78	13.25	36.1
566	1383	2005\50826.xlsx	13	10	0	1	0.1	17.8	24.4	1.1	1	Shinichi	0.8	14	92	42.1	49.9	1.4	7	8	1	15.91	11.61	4.3	63.6
567	1386	2005\50829.xlsx	2	1	7	1	0	3.1	0.5	13.5	1.2	Shinichi	1.3	1	91.20000153	3.6	87.6	13.4	1	1	0	0.33	2.04	1.71	50
568	1397	2005\50840.xlsx	13	6	0	0	0.7	3.6	24.8	0.9	0.1	Shinichi	1.2	10	90.99999695	27.7	63.3	0.5	4	9	5	16.35	2.37	13.98	55.6
569	1401	2005\50844.xlsx	11	9	1	0	3.6	11.1	44.4	4.9	1.7	Shinichi	6.3	10	88.09999695	51.9	36.2	3.9	6	7	1	30.24	7.56	22.68	52.6
570	1403	2005\50846.xlsx	14	24	0	0	0	10.6	9.6	5.4	0.9	Shinichi	0.6	15	92.39999695	20.2	72.2	5.7	16	9	7	6.23	6.88	0.65	40.5
571	1414	2005\50857.xlsx	11	6	1	1	0.2	34.6	22.3	2.9	1.7	Shinichi	1	11	91.99999695	56.7	35.3	3.8	4	7	3	14.54	22.57	8.03	68.8
572	1415	2005\50858.xlsx	12	9	0	0	0.1	41	35.2	0.6	0.4	Shinichi	0.5	14	92.19999695	76.1	16.1	0.6	6	8	2	22.91	26.68	3.77	70
573	1416	2005\50859.xlsx	11	8	2	0	0.3	45.8	32.7	4	0	Shinichi	1.5	12	93.09999847	78.2	14.9	2.8	5	7	2	21.07	29.52	8.45	66.7
574	1418	2005\50861.xlsx	26	17	4	0	0.4	8.7	48.4	1.8	0.9	Shinichi	1	25	91.89999695	56.7	35.2	2.1	11	17	6	31.6	5.68	25.92	59.5
575	1425	2005\50868.xlsx	27	16	0	0	1.1	8.1	30.2	2.7	1.1	Shinichi	2.1	25	92.19999847	37.2	55	2.8	10	18	8	19.65	5.27	14.38	59.5
576	1426	2005\50869.xlsx	19	16	1	0	1.6	33.3	31.6	1.8	0.9	Shinichi	2.5	23	90.59999695	63.3	27.3	1.8	11	13	2	20.93	22.05	1.12	67.6
577	1434	2005\50877.xlsx	18	11	0	0	0.9	18.9	44.1	1.6	0.4	Shinichi	1.8	18	91.59999847	62.1	29.5	1.1	7	12	5	28.89	12.38	16.51	64.3
578	1440	2005\50883.xlsx	11	16	0	0	0	3.6	40.5	1.7	0.9	Shinichi	0.8	17	91.59999695	44.1	47.5	1.8	10	7	3	26.53	2.36	24.17	65.4
579	1441	2005\50884.xlsx	12	13	0	0	0	20.3	23.7	0	0.2	Shinichi	0.1	20	90.19999695	44	46.2	0.1	9	8	1	15.76	13.5	2.26	83.3
580	1442	2005\50885.xlsx	19	15	0	0	1.2	24.1	33.7	1.9	1.6	Shinichi	2	26	90.69999695	56.6	34.1	2.7	10	13	3	22.29	15.94	6.35	78.8
581	1447	2005\50890.xlsx	18	7	6	0	0.1	24.4	15.8	18.9	0.4	Shinichi	0.8	14	90.40000153	40.1	50.3	18.6	5	12	7	10.49	16.19	5.7	58.3
582	1449	2005\50892.xlsx	14	38	6	0	0.2	1.5	8.2	6.1	0.7	Shinichi	1.1	18	88.09999847	9.5	78.6	5.9	26	10	16	5.58	1.02	4.56	35.3
583	1450	2005\50893.xlsx	9	9	0	0	0.1	27.8	56.6	1.4	2	Shinichi	1.7	17	93.69999695	84.3	9.4	1.8	6	6	0	36.24	17.8	18.44	100
584	1452	2005\50895.xlsx	21	17	0	0	0.3	11	37.9	1.6	0.4	Shinichi	0.4	25	86.80000305	48.6	38.2	1.9	12	15	3	26.2	7.6	18.6	67.6
585	1454	2005\50897.xlsx	9	6	2	0	1	31.5	43.4	3.3	2.1	Shinichi	4.2	6	90.99999847	73.9	17.1	2.2	4	6	2	28.62	20.77	7.85	42.9
586	1457	2005\50900.xlsx	21	10	2	0	0.4	27.4	20.7	0.6	0.3	Shinichi	0.7	14	90.70000305	47.7	43	0.6	7	14	7	13.69	18.13	4.44	46.7
587	1458	2005\50901.xlsx	14	13	2	0	0	32.2	14.3	1.7	1.9	Shinichi	1.2	21	87.5	46.5	41	2.4	9	10	1	9.81	22.08	12.27	80.8
588	1459	2005\50902.xlsx	29	21	0	0	0.4	16	25.1	3.4	0.4	Shinichi	0.9	28	92.39999847	40.7	51.7	3.3	14	19	5	16.3	10.39	5.91	57.1
589	1463	2005\50906.xlsx	18	36	1	0	0.2	3.1	14.2	2.5	2.4	Shinichi	0.6	22	88.29999847	17.1	71.2	4.5	24	12	12	9.65	2.11	7.54	41.5
590	1464	2005\50907.xlsx	11	26	0	0	0	2.1	36.6	0.3	0.3	Shinichi	0	22	91.30000153	38.7	52.6	0.6	17	7	10	24.05	1.38	22.67	61.1
591	1465	2005\50908.xlsx	13	16	0	0	0.1	4.2	10.5	0.2	1.2	Shinichi	0.1	22	91.7	14.6	77.1	1.4	10	9	1	6.87	2.75	4.12	78.6
592	1466	2005\50909.xlsx	44	25	0	0	0	10.8	7	2	1.2	Shinichi	0.1	49	86.80000305	17.8	69	3.1	17	30	13	4.84	7.47	2.63	72.1
593	1467	2005\50910.xlsx	25	35	3	3	2.8	43.6	25.1	7.5	3.4	Shinichi	7.8	41	91.29999695	65.9	25.4	5.9	23	16	7	16.5	28.65	12.15	69.5
594	1469	2005\50912.xlsx	9	12	1	1	1.1	17.2	41.2	0.8	0.3	Shinichi	1.9	9	89.79999695	57.3	32.5	0.3	8	6	2	27.53	11.49	16.04	45
595	1472	2005\50915.xlsx	3	23	2	1	0	0.6	25.2	1.2	0.3	Shinichi	0.1	6	90.79999695	25.8	65	1.4	15	2	13	16.65	0.4	16.25	24
596	1473	2005\50916.xlsx	25	9	0	0	0.4	19.1	22.9	2.6	1.8	Shinichi	0.7	9	91.6	41.6	50	4.1	6	16	10	15	12.51	2.49	27.3
597	1474	2005\50917.xlsx	8	7	0	0	0.3	27.7	40.4	0.7	0.2	Shinichi	0.9	11	92.00000305	67.8	24.2	0.3	5	5	0	26.35	18.07	8.28	78.6
598	1475	2005\50918.xlsx	11	6	2	0	0	42.3	36.5	2.4	0.6	Shinichi	1.4	8	90.89999695	78.8	12.1	1.6	4	7	3	24.09	27.92	3.83	50
599	1476	2005\50919.xlsx	0	5	0	0	0	0	73.4	0	0	Shinichi	0	0	87.2	73.4	13.8	0	3	0	3	50.5	0	50.5	0
600	1477	2005\50920.xlsx	31	11	0	0	1.1	17.6	26.5	0	0.2	Shinichi	1.1	15	91.3	43	48.3	0.2	7	20	13	17.42	11.57	5.85	36.6
601	1480	2005\50923.xlsx	25	14	2	0	0.1	21.8	32.3	3.3	2.8	Shinichi	1.1	24	92.6	54	38.6	5.1	9	16	7	20.93	14.13	6.8	63.2
602	1481	2005\50924.xlsx	17	22	0	1	0.4	12.4	36.2	0.3	2.9	Shinichi	0.7	26	92.4	48.2	44.2	2.9	14	11	3	23.51	8.05	15.46	68.4
603	1482	2005\50925.xlsx	9	15	3	0	0.6	14.5	33.6	3.5	0.5	Shinichi	3.6	14	92.19999847	47.5	44.7	1	10	6	4	21.87	9.44	12.43	60.9
604	1488	2005\50931.xlsx	0	5	0	0	0	0	46.9	0	4.4	Shinichi	0	0	76.49999695	46.9	29.6	4.4	4	0	4	36.78	0	36.78	0
605	1490	2005\50933.xlsx	15	23	0	0	0.3	2.5	9.3	1.8	0.1	Shinichi	0.4	19	91.99999695	11.5	80.5	1.8	15	10	5	6.07	1.63	4.44	51.4
606	1494	2005\50937.xlsx	20	8	0	0	0	4.9	30.6	19.3	0	Shinichi	0.6	12	93.69999695	35.5	58.2	18.7	5	13	8	19.59	3.14	16.45	44.4
607	1495	2005\50938.xlsx	16	17	1	1	0.5	7	41.6	0.2	0.5	Shinichi	0.7	19	91.59999847	48.1	43.5	0.5	11	10	1	27.25	4.59	22.66	59.4
608	1496	2005\50939.xlsx	7	17	0	0	0	9.8	28.5	0	0.2	Shinichi	0	14	91.3	38.3	53	0.2	11	5	6	18.73	6.44	12.29	60.9
609	1497	2005\50940.xlsx	12	15	0	1	1.1	32.5	39.8	0	1.1	Shinichi	1.1	20	92.19999847	71.2	21	1.1	10	8	2	25.9	21.15	4.75	76.9
610	1498	2005\50941.xlsx	17	13	0	1	0.9	11.9	49.1	9.3	0.2	Shinichi	1.8	22	90.60000305	60.1	30.5	8.6	9	11	2	32.52	7.88	24.64	75.9
611	1499	2005\50942.xlsx	11	9	1	0	1.1	3.6	28	2.6	2.5	Shinichi	1.1	8	93.69999695	30.5	63.2	5.1	6	7	1	17.93	2.31	15.62	42.1
612	1500	2005\50943.xlsx	16	19	2	3	0.9	31.6	21.6	21	5	Shinichi	4.3	25	89.2	52.3	36.9	22.6	13	11	2	14.53	21.26	6.73	73.5
613	1501	2005\50944.xlsx	14	9	0	0	1.7	5.3	42.8	0.7	0.2	Shinichi	1.7	14	89.99999695	46.4	43.6	0.9	6	9	3	28.53	3.53	25	63.6
614	1503	2005\50946.xlsx	11	8	1	1	2.7	31.6	40.9	1.6	1.4	Shinichi	3.8	14	90.90000305	69.8	21.1	1.9	5	7	2	27	20.86	6.14	77.8
615	1504	2005\50947.xlsx	19	12	0	0	0.5	6	29.6	3.8	0.5	Shinichi	0.5	21	92.10000153	35.1	57	4.3	8	12	4	19.28	3.91	15.37	70
616	1505	2005\50948.xlsx	27	17	0	0	0.3	5.5	9.4	2.3	6.1	Shinichi	1.2	25	92.7	14.6	78.1	7.5	11	17	6	6.08	3.56	2.52	58.1
617	1506	2005\50949.xlsx	16	20	0	0	0.2	4.1	27.5	0.1	0	Shinichi	0.2	22	92.9	31.4	61.5	0.1	13	10	3	17.76	2.65	15.11	62.9
618	1508	2005\50951.xlsx	0	6	0	0	0	0	50.2	0	0.4	Shinichi	0	0	86.09999847	50.2	35.9	0.4	4	0	4	34.98	0	34.98	0
619	1509	2005\50952.xlsx	19	21	0	1	0	8	20.1	0.1	1.4	Shinichi	0.2	30	93	28.1	64.9	1.3	14	12	2	12.97	5.16	7.81	76.9
620	1515	2005\50958.xlsx	12	10	0	0	0	12.9	25.1	0	0	Shinichi	0	15	89.59999695	38	51.6	0	7	8	1	16.81	8.64	8.17	71.4
621	1516	2005\50959.xlsx	8	9	0	1	0	1.4	10.5	0.6	0.8	Shinichi	0	9	91.29999695	11.9	79.4	1.4	6	5	1	6.9	0.92	5.98	56.2
622	1519	2005\50962.xlsx	16	20	0	1	1.7	19.3	33.4	0.6	2.5	Shinichi	1.7	25	91.70000153	51	40.7	3.1	13	10	3	21.85	12.63	9.22	71.4
623	1520	2005\50963.xlsx	22	17	1	0	0.7	7	11.1	0	3.9	Shinichi	1.2	20	90.99999695	17.4	73.6	3.4	11	15	4	7.32	4.62	2.7	52.6
624	1521	2005\50964.xlsx	7	16	0	0	0	3.1	12.8	0	0.4	Shinichi	0	12	90.49999695	15.9	74.6	0.4	11	5	6	8.49	2.06	6.43	54.5
625	1526	2005\50969.xlsx	0	9	1	0	0	0	46.7	0.1	0.3	Shinichi	0.1	0	88.79999695	46.7	42.1	0.3	6	0	6	31.55	0	31.55	0
626	1527	2005\50970.xlsx	10	20	2	1	0	3.2	11.1	0.5	0.2	Shinichi	0	16	91.19999847	14.3	76.9	0.7	13	7	6	7.3	2.11	5.19	55.2
627	1528	2005\50971.xlsx	10	30	3	0	0.4	7.9	14.8	3.9	0.8	Shinichi	0.5	20	92.69999695	22.3	70.4	4.6	19	6	13	9.58	5.11	4.47	51.3
628	1533	2005\50976.xlsx	18	17	0	0	1.1	6.6	27.4	0	0	Shinichi	1.1	21	89.5	32.9	56.6	0	11	12	1	18.37	4.42	13.95	61.8
629	1535	2005\50978.xlsx	17	8	2	0	0	6.3	6.1	0.6	1.5	Shinichi	0	11	89.09999695	12.4	76.7	2.1	5	11	6	4.11	4.24	0.13	45.8
630	1536	2005\50979.xlsx	0	9	0	0	0	0	46.1	0	0.1	Shinichi	0	0	91.6	46.1	45.5	0.1	6	0	6	30.2	0	30.2	0
631	1542	2005\50985.xlsx	14	25	0	0	0	3.8	7.2	0.4	1.7	Shinichi	0	18	91.09999695	11	80.1	2.1	16	9	7	4.74	2.5	2.24	47.4
632	1543	2005\50986.xlsx	5	0	1	2	0	48.9	0	1.5	0.6	Shinichi	0.1	0	66.80000305	48.9	17.9	2	0	4	4	0	43.92	43.92	0
633	1544	2005\50987.xlsx	12	58	2	0	0.4	4.2	14.3	7	1.3	Shinichi	0.7	22	89.69999695	18.1	71.6	8	39	8	31	9.57	2.81	6.76	31.9
634	1551	2005\50994.xlsx	20	32	0	1	1.3	9.3	23.9	0.7	1.2	Shinichi	1.6	25	92.09999695	31.9	60.2	1.6	21	13	8	15.57	6.06	9.51	49
635	1554	2005\50997.xlsx	0	10	0	0	0	0	43.9	0	0.5	Shinichi	0	0	90.4	43.9	46.5	0.5	7	0	7	29.14	0	29.14	0
636	1557	2005\51000.xlsx	22	13	0	0	0.2	7.3	23.4	3.2	0.4	Shinichi	0.3	20	91.90000305	30.5	61.4	3.5	8	14	6	15.28	4.77	10.51	58.8
637	1558	2005\51001.xlsx	18	15	1	0	0.3	7.4	40.7	0.8	1.3	Shinichi	0.9	21	91.60000305	47.8	43.8	1.5	10	12	2	26.66	4.85	21.81	65.6
638	1560	2005\51003.xlsx	13	29	0	1	0	3.1	9.9	1	0.7	Shinichi	0.1	23	92.59999695	13	79.6	1.6	19	8	11	6.41	2.01	4.4	56.1
639	1561	2005\51004.xlsx	32	23	0	0	0.2	4.1	9.7	0	1.8	Shinichi	0.2	39	93.00000305	13.6	79.4	1.8	15	21	6	6.26	2.65	3.61	72.2
640	1562	2005\51005.xlsx	9	15	0	2	0.8	14.8	21.9	0.1	0.1	Shinichi	0.9	16	93	35.9	57.1	0.1	10	6	4	14.13	9.55	4.58	69.6
641	1563	2005\51006.xlsx	11	26	0	0	0.5	2.4	16.3	0	0	Shinichi	0.5	17	93.80000305	18.2	75.6	0	17	7	10	10.43	1.54	8.89	47.2
642	1564	2005\51007.xlsx	5	21	0	0	0.4	12.6	42.7	1	0.3	Shinichi	0.8	10	91.19999695	54.9	36.3	0.9	14	3	11	28.09	8.29	19.8	40
643	1565	2005\51008.xlsx	10	5	1	0	0	42.4	10.5	0.5	0.5	Shinichi	0.1	3	93.69999695	52.9	40.8	0.9	3	6	3	6.72	27.15	20.43	21.4
644	1566	2005\51009.xlsx	0	13	0	1	0	0	33.2	0	4.6	Shinichi	0	0	92.79999695	33.2	59.6	4.6	8	0	8	21.47	0	21.47	0
645	1567	2005\51010.xlsx	15	7	0	0	2.4	45.5	24.5	13.1	0	Shinichi	3	13	91.2	67.6	23.6	12.5	5	10	5	16.12	29.93	13.81	61.9
646	1568	2005\51011.xlsx	12	36	0	0	1.2	5.1	23.4	2.1	0	Shinichi	1.2	17	91.3	27.3	64	2.1	24	8	16	15.38	3.35	12.03	36.2
647	1569	2005\51012.xlsx	25	23	0	0	1.8	17.4	33.4	0	1.1	Shinichi	2.4	22	90.09999847	49	41.1	0.5	15	17	2	22.24	11.59	10.65	46.8
648	1570	2005\51013.xlsx	0	46	0	0	0	0	29.6	0	0.4	Shinichi	0	0	92.89999695	29.6	63.3	0.4	30	0	30	19.12	0	19.12	0
649	1571	2005\51014.xlsx	31	15	2	0	3.1	33.2	20.8	0.8	0.8	Shinichi	4.1	22	90.90000153	50.9	40	0.6	10	20	10	13.73	21.91	8.18	48.9
650	1574	2006\60003.xlsx	12	13	6	0	1.8	35	46.9	9	0.9	Shinichi	7.2	19	92.9	80.1	12.8	4.5	8	8	0	30.29	22.6	7.69	79.2
651	1575	2006\60004.xlsx	13	18	2	1	6.3	48.4	45.4	8	1.9	Shinichi	13.6	20	91.99999847	87.5	4.5	2.6	12	8	4	29.61	31.57	1.96	66.7
652	1576	2006\60005.xlsx	5	5	5	0	1.3	8.5	78.7	3.4	0.6	Shinichi	3.5	4	91.69999695	85.9	5.8	1.8	3	3	0	51.49	5.56	45.93	44.4
653	1583	2006\60012.xlsx	0	14	22	1	0	0	21.3	15.4	1.5	Shinichi	4.1	0	92.30000305	21.3	71	12.8	9	0	9	13.85	0	13.85	0
654	1585	2006\60014.xlsx	1	6	0	0	2.8	6.3	80.8	0.6	0.7	Shinichi	3.6	2	91.90000305	84.3	7.6	0.5	4	1	3	52.75	4.11	48.64	33.3
655	1586	2006\60015.xlsx	20	12	3	1	5	34.1	52	9	2.6	Shinichi	13.1	18	92.60000305	81.1	11.5	3.5	8	13	5	33.69	22.1	11.59	58.1
656	1588	2006\60017.xlsx	1	4	2	1	0	0.8	47.3	0.7	6.9	Shinichi	0	2	91.19999695	48.1	43.1	7.6	3	1	2	31.12	0.53	30.59	50
657	1589	2006\60018.xlsx	13	8	11	1	0.6	7.1	61.6	5.3	0.9	Shinichi	5.1	15	86.59999695	68.1	18.5	1.7	6	9	3	42.68	4.92	37.76	75
658	1599	2006\60028.xlsx	15	19	0	0	1.2	21	23	0	0	Shinichi	1.2	21	91.69999695	42.8	48.9	0	12	10	2	15.05	13.74	1.31	63.6
659	1603	2006\60032.xlsx	11	7	0	0	0	18	38.7	7.1	1.9	Shinichi	2	14	71.09999847	56.7	14.4	7	6	9	3	32.66	15.19	17.47	82.4
660	1605	2006\60034.xlsx	0	32	0	0	0	0	31	0	8.9	Shinichi	0	0	90.70000305	31	59.7	8.9	21	0	21	20.51	0	20.51	0
661	1606	2006\60035.xlsx	9	25	2	0	0.5	12.9	21.9	3.1	0.5	Shinichi	1.9	16	92.60000305	34.3	58.3	2.2	16	6	10	14.19	8.36	5.83	48.5
662	1611	2006\60040.xlsx	7	14	17	1	0.2	5.3	47.4	18.4	15	Shinichi	12.2	12	90.90000305	52.5	38.4	21.4	9	5	4	31.29	3.5	27.79	60
663	1614	2006\60043.xlsx	10	5	26	0	0	3.8	10.7	21.5	0.7	Shinichi	5.3	2	93.10000305	14.5	78.6	16.9	3	6	3	6.9	2.45	4.45	14.3
664	1617	2006\60046.xlsx	11	15	5	0	0	4.5	19.2	2.1	3.2	Shinichi	0	4	89.49999695	23.7	65.8	5.3	10	7	3	12.87	3.02	9.85	16
