Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40020.xlsx,11.4,11.6,1,0,20
2004\40020.xlsx,13.4,17.2,0,5.5,20
2004\40020.xlsx,17,22.5,1,5.6,20
2004\40020.xlsx,23.2,25,1,6.2,20
2004\40020.xlsx,29.5,35.9,1,6.3,20
2004\40020.xlsx,35.9,51.8,0,22.5,20
2004\40020.xlsx,54.7,57.3,1,25.2,20
2004\40020.xlsx,57.3,61,0,21.4,20
2004\40020.xlsx,61.1,75.5,1,6.4,20
2004\40020.xlsx,75.4,78.1,0,18.1,20
2004\40020.xlsx,79.5,85.5,0,4.1,20
2004\40020.xlsx,85.8,91.2,1,24.7,20
2004\40020.xlsx,91.2,93.8,0,11.7,20
2004\40024.xlsx,3.2,13.8,0,0,24
2004\40024.xlsx,18,21.5,1,0,24
2004\40024.xlsx,23.7,27.7,0,20.5,24
2004\40024.xlsx,27.8,36.1,1,9.8,24
2004\40024.xlsx,36.1,40.7,0,12.4,24
2004\40024.xlsx,40.7,42.1,1,12.9,24
2004\40024.xlsx,42.2,50.1,0,6.1,24
2004\40024.xlsx,50.4,52.9,1,9.7,24
2004\40024.xlsx,53,62.7,0,10.8,24
2004\40024.xlsx,65.5,67,0,12.5,24
2004\40024.xlsx,67.1,72.5,1,16.7,24
2004\40024.xlsx,75.4,80.2,0,9.9,24
2004\40024.xlsx,80,80.2,1,12.9,24
2004\40024.xlsx,80.9,85.9,1,0.9,24
2004\40024.xlsx,87,92.4,0,11.6,24
2004\40025.xlsx,14.5,14.9,1,0,25
2004\40025.xlsx,15.5,16.1,1,1,25
2004\40025.xlsx,21.4,26.5,1,5.9,25
2004\40025.xlsx,28.9,43.6,1,7.5,25
2004\40025.xlsx,48.1,50.9,1,19.2,25
2004\40025.xlsx,53.3,68.6,1,5.2,25
2004\40025.xlsx,75.7,76,1,22.4,25
2004\40025.xlsx,75.9,76.3,0,0,25
2004\40025.xlsx,78.1,78.1,1,2.4,25
2004\40025.xlsx,78.5,78.6,0,2.6,25
2004\40025.xlsx,79.1,79.5,0,0.6,25
2004\40025.xlsx,79.8,80.2,0,0.7,25
2004\40025.xlsx,82.5,84.1,1,4.4,25
2004\40025.xlsx,84.1,84.5,0,4.3,25
2004\40025.xlsx,85.1,92.9,1,2.6,25
2004\40025.xlsx,93.3,93.3,0,9.2,25
2004\40026.xlsx,4.2,6.5,0,0,26
2004\40026.xlsx,6.7,6.8,1,0,26
2004\40026.xlsx,9.1,10.2,1,2.4,26
2004\40026.xlsx,10.1,12.2,0,5.9,26
2004\40026.xlsx,14.1,14.4,1,5,26
2004\40026.xlsx,17.6,18.2,0,7.5,26
2004\40026.xlsx,19.1,19.3,0,1.5,26
2004\40026.xlsx,20.5,24.8,0,1.4,26
2004\40026.xlsx,26.2,32,0,5.7,26
2004\40026.xlsx,42.4,44.6,0,16.2,26
2004\40026.xlsx,44.8,54,1,30.7,26
2004\40026.xlsx,54.1,61.6,1,9.3,26
2004\40026.xlsx,63.6,73.6,0,21.2,26
2004\40026.xlsx,73.7,76.4,1,19.6,26
2004\40026.xlsx,77.2,79.1,0,13.6,26
2004\40026.xlsx,83,88.8,0,5.8,26
2004\40026.xlsx,89,90.7,1,15.3,26
2004\40026.xlsx,90.9,91.3,1,1.9,26
2004\40026.xlsx,91.4,91.7,0,8.4,26
2004\40027.xlsx,2.8,4.8,0,0,27
2004\40027.xlsx,4.7,13.6,1,0,27
2004\40027.xlsx,13.5,23.9,0,10.7,27
2004\40027.xlsx,23.7,32.2,1,19,27
2004\40027.xlsx,31.2,33.8,0,17.7,27
2004\40027.xlsx,32.5,33.8,1,8.8,27
2004\40027.xlsx,35.9,41.5,0,4.7,27
2004\40027.xlsx,41.4,44.7,1,8.9,27
