"DVDRef","Filename","MVisit1","FVisit1","MVisit2","FVisit2","ShareTime1","MTime1","FTime1","MTime2","FTime2","Protocol","ShareTime12","NbAlternation","NbSynchro_ChickFeedingEquanim","NbSynchro_LessConspicuous","NbSynchroFemaleStart","MmeanDuration","FmeanDuration","EffectiveTime","MFTime1","MFTime02","MFTime2","FVisit1RateH","MVisit1RateH","DiffVisit1Rate","MFVisit1RateH","FTime1RateH","MTime1RateH","DiffTime1Rate","AlternationValue","SynchronyFeedValue","SynchronyMvtValue","PropSynchroFemaleStart"
239,"2004\40239.xlsx",11,19,2,0,0.2,27.4,43.8,4.9,1,"Shinichi",2.7,20,1,20,1,2.49090909090909,2.30526315789474,91.2999969482422,71,20.3,3.4,12,7,5,19.715225193495,28.78,18.01,10.77,69,3.4,69,100
240,"2004\40240.xlsx",19,20,0,0,0.6,15.8,29.3,1.19999999999999,0.100000000000001,"Shinichi",1,30,5,22,4,0.831578947368421,1.465,82.3000030517578,44.5,37.8,0.9,15,14,1,28.4325627367036,21.36,11.52,9.84,78.9,13.2,57.9,80
245,"2004\40245.xlsx",0,22,0,0,0,0,30.7,0,0.700000000000005,"Shinichi",0,0,0,0,0,NA,1.39545454545455,89.7000015258789,30.7,59,0.7,15,0,15,14.7157188132173,20.54,0,20.54,0,0,0,NA
246,"2004\40246.xlsx",9,10,0,0,0,20.4,41.7,0,0.400000000000006,"Shinichi",0.1,12,1,7,0,2.26666666666667,4.17,92.1999969482422,62.1,30.1,0.3,7,6,1,12.3644255719439,27.14,13.28,13.86,66.7,5.6,38.9,0
247,"2004\40247.xlsx",17,18,1,0,0.1,3.29999999999998,22.9,1.29999999999998,0.50000000000001,"Shinichi",0.3,29,2,16,1,0.194117647058822,1.27222222222222,86.3000030517578,26.0999999999999,60.2,1.6,13,12,1,24.3337187223567,15.92,2.29,13.63,85.3,5.9,47.1,50
249,"2004\40249.xlsx",8,6,3,1,0,35.9,45.1,10.4,1.8,"Shinichi",5,10,0,7,0,4.4875,7.51666666666667,92.3000030517578,81,11.3,7.2,4,5,1,9.10075809563045,29.32,23.34,5.98,76.9,0,53.8,NA
250,"2004\40250.xlsx",15,11,2,0,0.1,17.3,27.2,2,0.299999999999999,"Shinichi",0.5,19,4,15,2,1.15333333333333,2.47272727272727,92.3,44.4,47.9,1.9,7,10,3,16.9014084507042,17.68,11.25,6.43,76,16,60,50
251,"2004\40251.xlsx",20,6,2,0,3.4,38.4,42.9,3.09999999999997,0.500000000000004,"Shinichi",5.4,12,2,13,1,1.92,7.15,93.6999969482422,77.9,15.8,1.6,4,13,9,16.6488799445928,27.47,24.59,2.88,48,8,52,50
252,"2004\40252.xlsx",5,14,1,2,0.1,3.5,31.2,0.899999999999993,5.4,"Shinichi",0.8,8,1,5,1,0.699999999999999,2.22857142857143,90.7999969482422,34.6,56.2,5.6,9,3,6,12.5550665012668,20.62,2.31,18.31,44.4,5.6,27.8,100
254,"2004\40254.xlsx",0,14,2,1,0,0,16.2,0.600000000000001,4.90000000000001,"Shinichi",0,0,0,0,0,NA,1.15714285714286,87.6999984741211,16.2,71.5,5.5,10,0,10,9.57810735022841,11.08,0,11.08,0,0,0,NA
256,"2004\40256.xlsx",37,24,0,0,0.1,13.4,17.9,2.30000000000001,2.39999999999998,"Shinichi",0.5,41,9,25,5,0.362162162162163,0.745833333333333,91.9999969482422,31.2,60.8,4.3,16,24,8,39.7826100152923,11.67,8.74,2.93,68.3,15,41.7,55.6
257,"2004\40257.xlsx",29,24,1,0,0.4,6.89999999999998,26.3,1.80000000000001,1.80000000000001,"Shinichi",1.7,37,16,40,6,0.237931034482758,1.09583333333333,89.6999969482422,32.8,56.9,2.3,16,19,3,35.4515062228474,17.59,4.62,12.97,71.2,30.8,76.9,37.5
258,"2004\40258.xlsx",10,11,0,0,0,24.5,34.7,2.10000000000004,4.60000000000002,"Shinichi",5.4,17,2,13,1,2.45,3.15454545454545,89.6000030517578,59.2,30.4,1.3,7,7,0,14.0624995210341,23.24,16.41,6.83,85,10,65,50
259,"2004\40259.xlsx",10,19,0,2,0,4.50000000000002,13.4,0.699999999999999,3.20000000000001,"Shinichi",0.1,15,5,8,3,0.450000000000002,0.705263157894738,90.0999984741211,17.9,72.2,3.8,13,7,6,19.3118760207279,8.92,3,5.92,53.6,17.9,28.6,60
260,"2004\40260.xlsx",35,18,1,0,0.2,10.2,31.1,3.70000000000001,1.8,"Shinichi",1.5,34,10,26,4,0.291428571428572,1.72777777777778,90.9000030517578,41.1,49.8,4.2,12,23,11,34.9834971753448,20.53,6.73,13.8,65.4,19.2,50,40
261,"2004\40261.xlsx",0,23,1,0,0,0,37.2,0,0.600000000000001,"Shinichi",0,0,0,0,0,NA,1.61739130434783,91.4999969482422,37.2,54.3,0.6,15,0,15,15.0819677161368,24.39,0,24.39,0,0,0,NA
262,"2004\40262.xlsx",16,24,1,1,0,1.70000000000001,2.49999999999998,1.10000000000001,1.19999999999998,"Shinichi",0,21,10,13,8,0.106250000000001,0.104166666666666,87.0999969482422,4.19999999999999,82.9,2.3,17,11,6,27.554535982661,1.72,1.17,0.55,53.8,25.6,33.3,80
263,"2004\40263.xlsx",11,23,0,0,0.4,1.60000000000003,15.4,0.799999999999997,1.7,"Shinichi",0.6,22,4,14,2,0.145454545454549,0.669565217391304,85.3999984741211,16.6,68.8,2.3,16,8,8,23.887588248824,10.82,1.12,9.7,66.7,12.1,42.4,50
