"DVDRef","DVDdate","BroodRef","Filename","DVDInfoChickNb","DVDInfoAge","DVDtime","DVDInfoNotes","TapeLength","EffectTime","HatchingDate","ChickAge","ChickAgeCat","Sunrise","RelTimeMins","LogRelTimeMins","RelTimeHrs","Protocol"
63,2004-05-10,484,"2004\40063.xlsx",4,3,2016-05-16 06:30:00,NA,93.6999969482422,87.6999969482422,2004-05-08,2,"Age06",2016-05-16 05:31:00,59,1.83884909073726,0.98,"Shinichi"
66,2004-05-10,483,"2004\40066.xlsx",5,3,2016-05-16 08:40:00,NA,93.8000030517578,95.8000030517578,2004-05-08,2,"Age06",2016-05-16 05:31:00,189,2.29885307640971,3.15,"Shinichi"
69,2004-05-11,472,"2004\40069.xlsx",2,7,2016-05-16 06:30:00,NA,93.6999969482422,92.1999969482422,2004-05-05,6,"Age06",2016-05-16 05:29:00,61,1.85125834871908,1.02,"Shinichi"
70,2004-05-11,486,"2004\40070.xlsx",2,3,2016-05-16 06:40:00,NA,93.8000030517578,90.8000030517578,2004-05-09,2,"Age06",2016-05-16 05:29:00,71,1.90848501887865,1.18,"Shinichi"
71,2004-05-11,457,"2004\40071.xlsx",1,11,2016-05-16 06:50:00,NA,93.6999969482422,88.4000015258789,2004-05-01,10,"Age10",2016-05-16 05:29:00,81,1.95904139232109,1.35,"Shinichi"
72,2004-05-11,456,"2004\40072.xlsx",0,11,2016-05-16 08:50:00,"CHI 1->0C11D (UNFINISHED)",93.8000030517578,86,2004-04-30,11,"Age10",2016-05-16 05:29:00,201,2.32428245529769,3.35,"Shinichi"
73,2004-05-12,487,"2004\40073.xlsx",1,3,2016-05-16 06:40:00,NA,93.5999984741211,84.8000030517578,2004-05-10,2,"Age06",2016-05-16 05:28:00,72,1.91381385238372,1.2,"Shinichi"
74,2004-05-12,475,"2004\40074.xlsx",2,7,2016-05-16 06:50:00,NA,92.5,89.5,2004-05-06,6,"Age06",2016-05-16 05:28:00,82,1.96378782734556,1.37,"Shinichi"
75,2004-05-12,462,"2004\40075.xlsx",2,11,2016-05-16 06:50:00,NA,92.5999984741211,81.5999984741211,2004-05-02,10,"Age10",2016-05-16 05:28:00,82,1.96378782734556,1.37,"Shinichi"
76,2004-05-13,488,"2004\40076.xlsx",3,3,2016-05-16 06:30:00,NA,93.6999969482422,90.9000015258789,2004-05-10,3,"Age06",2016-05-16 05:26:00,64,1.86923171973098,1.07,"Shinichi"
77,2004-05-13,489,"2004\40077.xlsx",2,3,2016-05-16 06:40:00,NA,93.8000030517578,92.1999969482422,2004-05-11,2,"Age06",2016-05-16 05:26:00,74,1.92427928606188,1.23,"Shinichi"
78,2004-05-13,490,"2004\40078.xlsx",4,3,2016-05-16 06:40:00,NA,93.6999969482422,90.9000015258789,2004-05-11,2,"Age06",2016-05-16 05:26:00,74,1.92427928606188,1.23,"Shinichi"
79,2004-05-13,477,"2004\40079.xlsx",1,7,2016-05-16 10:00:00,NA,93.6999969482422,89.9000015258789,2004-05-06,7,"Age06",2016-05-16 05:26:00,274,2.45331834004704,4.57,"Shinichi"
80,2004-05-13,491,"2004\40080.xlsx",3,3,2016-05-16 08:40:00,NA,93.8000030517578,93.8000030517578,2004-05-11,2,"Age06",2016-05-16 05:26:00,194,2.3096301674259,3.23,"Shinichi"
81,2004-05-13,464,"2004\40081.xlsx",3,11,2016-05-16 08:50:00,NA,93.6999969482422,90.6999969482422,2004-05-03,10,"Age10",2016-05-16 05:26:00,204,2.33041377334919,3.4,"Shinichi"
82,2004-05-14,494,"2004\40082.xlsx",4,3,2016-05-16 06:10:00,NA,92.6999969482422,91.5,2004-05-12,2,"Age06",2016-05-16 05:25:00,45,1.74036268949424,0.75,"Shinichi"
83,2004-05-14,495,"2004\40083.xlsx",4,3,2016-05-16 06:20:00,NA,93.8000030517578,90.5,2004-05-12,2,"Age06",2016-05-16 05:25:00,55,1.81291335664286,0.92,"Shinichi"
84,2004-05-14,484,"2004\40084.xlsx",3,7,2016-05-16 06:30:00,NA,93.6999969482422,93.6999969482422,2004-05-08,6,"Age06",2016-05-16 05:25:00,65,1.8750612633917,1.08,"Shinichi"
85,2004-05-14,498,"2004\40085.xlsx",4,2,2016-05-16 06:40:00,NA,93.6999969482422,91.5999984741211,2004-05-13,1,"Age06",2016-05-16 05:25:00,75,1.92941892571429,1.25,"Shinichi"
