"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"55",20.7967771810664,20,3.25,16.75,2.5,3.5,31,0.93,2.57,89.3999984741211,11.5,9,3,2005,44,76,287,3,4,3.5,5,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"28776",3,"287762005",5,3,16.3666667938232,13.6000003814697,16.3333333333333,2.3965250262913,0.305505171195872,FALSE,-2.51567457424307,1.73207674067199
"56",17.2230704728751,13.5,2.15,11.35,7,1.5,25.5,0.35,1.15,88.6999969482422,5,12,1,2005,44,988,145,4,2,3,9,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"145988",6,"1459882005",2,1,26.5,26.5,18.2000007629395,NA,NA,FALSE,3.31709609998325,NA
"57",20.7988111772451,22.5,4.65,17.85,3,4,32.5,1.46,2.54,93.75,12,9,3.5,2005,44,960,650,3,2,2.5,6,TRUE,TRUE,TRUE,5,TRUE,NA,NA,"650960",5,"6509602005",5,4,13.1749999523163,7.19999980926514,14.9500000476837,4.78774485115493,1.87349930959022,FALSE,-2.52031880898618,1.29357758492682
"58",20.2512247298696,18.5,1.84,16.66,3.5,3,31,0.17,2.83,91.9499977111817,8.5,12,3,2005,44,4273,4153,5,5,5,13,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"41534273",7,"415342732005",5,2,19.5999994277954,17.3999996185303,16.6000003814697,3.11126956748093,0.141421895717003,FALSE,0.103291355980951,2.7812437427428
"59",19.088523762021,18,0.890000000000001,17.11,4.5,1,29,-1.4,2.4,91.2500030517578,8,11.5,3,2005,44,540,1053,2,2,2,4,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"1053540",1,"10535402005",5,2,18,14,16.6499996185303,5.65685424949238,1.62634505724937,FALSE,-1.61189990626686,1.86157300180242
"60",20.9545300962148,20.5,1.2,19.3,0.5,1.5,31.5,-1.215,2.715,90.0500007629394,10,10.5,3,2005,44,646,500,2,3,2.5,4,TRUE,FALSE,TRUE,8,TRUE,FALSE,TRUE,"500646",4,"5006462005",4,3,26.2333335876465,25.7000007629395,18.3333333333333,0.680685629665017,1.04083299973307,FALSE,2.74324853289926,1.74842568724991
"61",16.3013462411291,16,1.98,14.02,2,2,23.5,0.73,1.27,86.4499969482422,9,7,3,2005,44,346,1956,1,3,2,1,FALSE,FALSE,FALSE,6,TRUE,NA,NA,"1956346",1,"19563462005",4,3,26.5333334604899,24.1000003814697,18.3666667938232,2.12210565361163,0.55075696237826,FALSE,2.96645238467888,1.8167078991825
"62",19.7660731580237,15.5,-1.18,16.68,1,1,30.5,-1.255,2.255,92.5,10,10,4,2005,44,45,166,4,4,4,8,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"16645",8,"166452005",5,3,20.6666666666667,18.5,16.5333334604899,2.43378942561214,0.550757250973191,FALSE,1.32355063697982,1.82854743066704
"63",10.8858061176184,7,1.08,5.92,2,0,17,-0.5,0.5,93.6999969482422,4,6,1,2005,44,592,418,3,3,3,5,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"418592",5,"4185922005",4,1,16.5,16.5,15,NA,NA,FALSE,0.689487756387634,NA
"66",19.4799003940281,18,1.51,16.49,1,3,29.5,0.46,2.54,91.0999969482422,10,10,2.5,2005,46,4391,4265,5,2,3.5,14,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"42654391",1,"426543912005",5,2,13.5,12.5,15.5,1.4142135623731,0.141421895716933,FALSE,-3.46244816528261,1.74423938711106
