"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"809",15.7894739724022,6,0,6,12,1,22,0.39,0.61,83.5999984741211,2,14,2,2006,78,784,417,4,3,3.5,9,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,"417784",1,"4177842006",2,2,26,25,19.1999998092651,1.4142135623731,0.282842442734806,FALSE,0.513226453786356,0.754165060256464
"810",26.5668131783925,22,5.94,16.06,7,8.5,40,4.47,4.03,90.4000007629394,10,17,3,2006,78,2658,2053,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"20532658",1,"205326582006",3,3,24.1333338419596,22.6000003814697,18.6333338419596,1.36137200655607,0.11547049432125,FALSE,-0.0479139375996006,1.55685174396557
"812",18.9351511792262,19,0.77,18.23,2,4,27.5,1.075,2.925,85.8499984741211,10.5,8.5,3,2006,79,1827,2202,1,2,1.5,2,FALSE,FALSE,FALSE,5,FALSE,FALSE,NA,"22021827",1,"220218272006",5,4,24.0250000953674,22,18.75,1.59661107180875,0.700000217982722,TRUE,-0.425031560771788,1.50130263279256
"813",31.8365382604291,15,1.31,13.69,18,4.5,49,0.69,3.81,92.3499992370606,25,7,3,2006,79,571,1227,2,3,2.5,5,TRUE,TRUE,NA,7,TRUE,NA,NA,"1227571",2,"12275712006",4,2,18.1999998092651,14,17.5,5.93969669222719,2.12132034355964,FALSE,-3.37019204269848,0.989328205313475
"814",15.0525092874751,13,0.66,12.34,1.5,4,21.5,2.105,1.895,85.6999969482422,8,6.5,2,2006,80,1047,500,3,3,3,7,FALSE,NA,NA,4,FALSE,NA,NA,"5001047",1,"50010472006",2,2,27.6499996185303,26.7999992370605,19.3500003814697,1.20208206749682,0.494975286310277,TRUE,1.81764397752951,0.0469948282730739
"815",20.444355589684,20,1.2,18.8,5,5,31,1.325,3.675,91.1,12.5,7.5,3.5,2006,80,927,494,3,3,3,2,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"494927",1,"4949272006",5,3,24.6333332061768,23.7999992370605,18.4000002543132,0.971254277688706,0.199999809265859,TRUE,0.989656109301765,0.744595388444161
"818",13.5038611771708,8,0.19,7.81,7.5,0,20.5,-0.625,0.625,91.0999969482422,3,10.5,3,2006,81,1100,959,3,4,3.5,5,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"9591100",4,"95911002006",4,3,22.5999997456868,16.2999992370605,18.2666670481364,5.50726836158536,1.97315345425454,TRUE,-0.736494731695199,1.49872337959686
"822",29.7642507594361,34.5,3.5,31,1.5,7.5,45,1.315,6.185,91.1,14.5,15,3,2006,82,2166,1464,2,1,1.5,4,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,"14642166",1,"146421662006",4,3,18.1333332061768,17.7000007629395,17.4000002543132,0.585945887527263,0.264575419471794,TRUE,-3.20647204735775,1.04781624470285
"823",12.0953318580608,9,-2.97,11.97,2,2,18,0.565,1.435,89.1,7,5,3,2006,82,857,1569,2,3,2.5,5,TRUE,FALSE,FALSE,7,TRUE,FALSE,FALSE,"1569857",4,"15698572006",3,3,27.9333330790202,26.6000003814697,19.6666666666667,1.35030803698233,0.568623332356725,TRUE,1.37141889981883,1.0046766932569
"824",22.1229042735894,16,-2.22,18.22,2,3,33,0.31,2.69,89.5000030517578,12,10,3,2006,82,912,114,5,3,4,10,FALSE,FALSE,FALSE,3,FALSE,NA,NA,"114912",1,"1149122006",3,3,23.6333338419596,22.2000007629395,18.5,1.45028713934862,0.200000762939499,FALSE,-0.240729853344466,0.983696478840975
"825",33.048465412918,27,4.1,22.9,6,11,51,2.545,8.455,92.7,15,18,4,2006,82,45,166,5,5,5,12,TRUE,TRUE,FALSE,13,TRUE,TRUE,FALSE,"16645",12,"166452006",4,4,21.5250000953674,19.8999996185303,18.1749997138977,1.17295957569261,0.149999512566738,FALSE,-1.60030459170798,0.990494687146783
"826",16.4649065536503,14.5,2.39,12.11,4.5,2,24.5,0.59,1.41,88.65,6,10.5,1.5,2006,83,843,2904,1,3,2,1,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"2904843",1,"29048432006",2,1,20.7000007629395,20.7000007629395,17.6000003814697,NA,NA,FALSE,-1.10057915221543,NA
"827",19.0561102731845,19,-0.640000000000001,19.64,2,6,29,3.46,2.54,91.4499969482422,8.5,10.5,1.5,2006,83,860,2246,1,3,2,1,FALSE,NA,NA,6,FALSE,FALSE,FALSE,"2246860",1,"22468602006",2,2,24.1499996185303,23.7999992370605,19.3500003814697,0.494975286310277,0.494975286310277,FALSE,-1.68235602247049,0.660111952913474
"832",10.4529613019755,7,-0.56,7.56,4,0,15,-0.47,0.47,86.1000030517578,7,3,3,2006,87,427,661,4,4,4,10,FALSE,FALSE,FALSE,12,FALSE,NA,NA,"661427",1,"6614272006",4,3,24.2333329518636,20.2999992370605,18.8666661580404,3.64600275369009,0.83864960980722,TRUE,-0.485482580855576,2.02915770493501
"837",10.3318758452904,9,1.51,7.49,2,0,15.5,-0.61,0.61,89.9499984741211,4,6,2,2006,92,988,2970,1,3,2,1,FALSE,NA,NA,11,TRUE,NA,NA,"2970988",1,"29709882006",5,2,26.5999994277954,26.3999996185303,19,0.282842442734738,0,TRUE,1.57399981082109,0.282842442734738
"838",19.729279281457,15.5,0.510000000000002,14.99,2.5,1.5,29,-0.945,2.445,87.95,11,8.5,3,2006,97,2167,2944,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,NA,NA,"29442167",1,"294421672006",3,3,24.6666660308838,23.2999992370605,18.2000001271566,1.58219278046251,0.0999994277969153,FALSE,1.48376359562937,1.7458102080285
"839",18.1639023055986,11.5,-1.34,12.84,6.5,2,27.5,-0.445,2.445,90.5000007629395,10.5,8,2,2006,97,206,2661,1,5,3,1,FALSE,TRUE,FALSE,17,FALSE,TRUE,FALSE,"2661206",1,"26612062006",4,2,22.9499998092651,18.5,17.6999998092651,6.29325008282046,1.6970560051079,FALSE,0.919034028062186,2.33295592276135
"842",24.5362054002758,17.5,2.29,15.21,9.5,2.5,37.5,-0.795,3.295,91.6999969482422,17,7.5,3,2006,99,892,4435,9,3,6,20,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"4435892",11,"44358922006",5,3,23.0999997456868,21.5,18.3000005086263,1.38924420673348,0.173204640273562,FALSE,-0.313290752758981,1.20966744917303
"843",19.3163339356464,19.5,0.550000000000001,18.95,1,3.5,29,0.775,2.725,90.1,10,9,3,2006,99,2840,46,5,1,3,12,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"462840",1,"4628402006",3,3,24.4666665395101,23.2999992370605,18.3666661580404,1.20138885870482,0.83864960980722,FALSE,0.899786928461169,1.21553354508196
"844",17.2746016387071,12,-0.98,12.98,3,2.5,25.5,0.645,1.855,87.6999969482422,10.5,7.5,3,2006,101,2004,823,3,3,3,8,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"8232004",6,"82320042006",4,3,23.7666664123535,22.6000003814697,18.7666670481364,1.15036186937939,0.51315999527036,TRUE,-0.721763986698742,1.42070744114566
"845",13.7704920329192,2,0,2,12,1,21,0.81,0.19,91.4999984741211,1,13,2,2006,102,929,984,3,3,3,3,FALSE,NA,NA,6,FALSE,TRUE,FALSE,"984929",1,"9849292006",4,2,25.5,24.5,17.3000001907349,1.4142135623731,0.424264338451741,TRUE,4.39058207727575,0.42413923551849
"846",20.95123239672,16,0.91,15.09,5,1.5,31.5,-0.775,2.275,90.15,12.5,8.5,2,2006,103,980,23,5,3,4,10,FALSE,FALSE,TRUE,6,FALSE,NA,NA,"23980",1,"239802006",3,2,24.6000003814697,24,18.0999994277954,0.848528676903551,0.282842442734738,TRUE,1.6474867417879,0.188480174787077
"847",16.2829769406702,14.5,-0.690000000000001,15.19,1,4,23.5,2.135,1.865,86.6,8,8,3,2006,105,4380,4378,2,2,2,1,FALSE,NA,NA,2,FALSE,FALSE,TRUE,"43784380",1,"437843802006",3,3,25,24.7999992370605,19.0666662851969,0.200000762939499,0.305505171195914,FALSE,-0.179590194339551,0.85730216784468
"849",15.1376152086736,16,1.36,14.64,0,0,22,-1.36,1.36,87.1999969482422,8,8,1,2006,106,622,2187,1,4,2.5,2,TRUE,NA,NA,5,FALSE,NA,NA,"2187622",1,"21876222006",1,1,26.5,26.5,18.7999992370605,NA,NA,TRUE,1.93477650940862,NA
"852",21.5568350926513,21,2.17,18.83,3,3.5,33,0.205,3.295,91.5499992370605,11.5,10.5,4,2006,114,256,650,4,4,4,10,TRUE,NA,NA,9,TRUE,NA,NA,"650256",4,"6502562006",4,4,22.9750001430511,15.6999998092651,18.5,4.85824065482643,1.08934237926137,TRUE,-0.899063552252965,2.69109645859643
"854",14.1245954034764,8.5,0.95,7.55,8,0,20.5,-0.845,0.845,86.8,3,11,2,2006,115,2691,23,5,1,3,11,FALSE,NA,NA,2,FALSE,NA,NA,"232691",2,"2326912006",4,2,18.3499994277954,16.3999996185303,15.3499999046326,2.75771617688765,0.777817054695449,TRUE,1.73313225872813,0.942582009227168
"856",34.8291429595308,34.5,1.05,33.45,6.5,8.5,51.5,0.55,7.95,87.9000022888183,19.5,16,5,2006,116,784,417,4,3,3.5,10,FALSE,FALSE,FALSE,9,FALSE,FALSE,NA,"417784",2,"4177842006",5,5,22.7200000762939,20,17.8199996948242,2.32314458831092,0.72249564568832,TRUE,0.412569937547294,1.57045361501908
"857",22.0573217811853,15,1.01,13.99,7.5,3.5,33.5,0.835,2.665,91.0500030517578,14.5,7,2,2006,117,2865,1954,2,1,1.5,4,FALSE,NA,NA,3,FALSE,NA,NA,"19542865",1,"195428652006",3,2,25.5,25.5,18.25,0,0.777816380345815,TRUE,2.20190426553105,1.81513259398059
"859",17.3817546704825,16,0.73,15.27,5.5,2.5,26.5,0.695,1.805,91.4499969482422,6,11.5,3,2006,118,1100,959,3,4,3.5,6,TRUE,NA,NA,9,TRUE,FALSE,FALSE,"9591100",5,"95911002006",3,2,28.4499998092651,28.2999992370605,19.4499998092651,0.212132843575471,0.63639583332808,TRUE,2.38725830221634,1.69724276017772
"860",39.7985332451457,40,4.92,35.08,7,12.5,60.5,2.68,9.82,91.3,21.5,18.5,4,2006,119,2658,2053,1,1,1,3,FALSE,NA,NA,3,FALSE,NA,NA,"20532658",3,"205326582006",4,4,26.0999999046326,23.5,18.9499998092651,2.35655142747419,0.129099937348885,TRUE,1.18919431925408,2.10120227155136
"862",23.8687425024562,26,4.23,21.77,3,7,37,3.125,3.875,92.95,12,12,3.5,2006,120,843,2904,1,3,2,2,TRUE,NA,NA,5,TRUE,NA,NA,"2904843",2,"29048432006",4,4,27.9749999046326,26.8999996185303,19.0999999046326,0.946485244891458,0.163299160452081,FALSE,2.71861332303851,0.989355967791776
"863",35.9384059897374,33,3.27,29.73,6.5,12,55.5,3.205,8.795,92.6500015258789,14.5,21,4,2006,120,45,166,5,5,5,13,TRUE,NA,NA,14,TRUE,NA,NA,"16645",13,"166452006",5,4,25.625,24.2999992370605,18,1.01118802440673,0.583095233098954,TRUE,2.90287222636618,1.45318877652984
"864",25.9459450899379,20,-2.62,22.62,2,5,40,0.94,4.06,92.5000030517578,14,12,4,2006,120,1827,NA,NA,2,NA,NA,NA,NA,NA,6,FALSE,NA,NA,"NA1827",1,"NA18272006",4,4,23.7249999046326,21.5,19.0750002861023,2.00395469205434,0.368555593161042,FALSE,-1.47379075973528,1.24371289311165
"865",12.0777257307989,11.5,2.11,9.39,2.5,0.5,18.5,-0.31,0.81,91.8499969482422,5,7.5,2,2006,121,2405,1464,2,1,1.5,5,TRUE,NA,NA,3,FALSE,NA,NA,"14642405",1,"146424052006",2,2,21.3499994277954,17.3999996185303,17.8999996185303,5.58614330163384,0.848528676903551,FALSE,-1.14174028264707,3.60599464792448
"866",15.9146101492123,16,3.33,12.67,0.5,2.5,24,1.185,1.315,90.5000007629395,8,8.5,2,2006,121,927,494,3,3,3,3,TRUE,NA,NA,6,TRUE,FALSE,FALSE,"494927",2,"4949272006",2,2,26.1499996185303,25.2999992370605,19,1.20208206749682,0.141421895716935,FALSE,1.12400000155599,0.872056242758851
"870",26.6042452912769,15,2.2,12.8,15.5,3.5,39.5,0.755,2.745,89.0999969482422,21,5.5,4,2006,123,592,418,4,4,4,9,FALSE,NA,NA,9,FALSE,FALSE,FALSE,"418592",9,"4185922006",4,4,23.9000000953674,20.2000007629395,18.3250002861023,2.62678452642055,0.90691770663809,TRUE,0.429113313504888,1.41899933191511
"871",14.9748502525054,12.5,0.510000000000002,11.99,4,2.5,22.5,1.34,1.16,90.1499977111816,5.5,9.5,2,2006,123,860,114,5,3,4,11,FALSE,NA,NA,7,FALSE,FALSE,FALSE,"114860",6,"1148602006",4,2,25.7000007629395,24.7000007629395,18.25,1.4142135623731,0.0707095991592676,FALSE,2.40190502847055,1.24920379736374
"874",14.9512464315014,9,-0.6,9.6,5,2,23,0.98,1.02,92.2999969482422,10,5,3,2006,132,206,2661,1,5,3,2,TRUE,NA,NA,18,TRUE,NA,NA,"2661206",2,"26612062006",4,2,NA,NA,NA,NA,NA,NA,NA,NA
"892",8.32369942196532,11,3.48,7.52,0,0,12,-0.3,0.3,86.5,4,4,1,2007,46,3350,3430,2,1,1.5,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"34303350",1,"343033502007",5,0,NA,NA,NA,NA,NA,NA,NA,NA
"898",9.38417707648475,5,0,5,5.5,0,13.5,-0.3,0.3,86.8,3,6.5,3.5,2007,53,927,2202,2,4,3,3,FALSE,FALSE,TRUE,7,FALSE,FALSE,FALSE,"2202927",1,"22029272007",5,3,16.7333329518636,11,15.5999997456868,5.90705754432699,1.57162301866939,TRUE,-0.459501811848038,2.30486908659297
"901",23.983940778607,26.5,4.4,22.1,0.5,3.5,34.5,0.0950000000000002,3.405,86.4,11.5,12,2,2007,54,860,2693,2,4,3,1,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,"2693860",1,"26938602007",4,2,25.9499998092651,25.3999996185303,17.6499996185303,0.777817729045015,0.919238276062818,TRUE,4.03422805965775,1.36734068967371
"909",33.4470989761092,31,2.16,28.84,2,9,49,-0.640000000000001,9.64,87.9,16,18,3,2007,60,2492,2944,2,2,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"29442492",1,"294424922007",4,3,25.1333332061768,23.5,17.9666665395101,1.95533410875164,0.416332955557368,TRUE,2.48800145360676,1.6520394988678
"912",28.4081076698557,24,1.42,22.58,6,6,41.5,0.165,5.835,87.8,11,17,3,2007,66,3340,4304,7,1,4,15,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"43043340",1,"430433402007",4,3,24.2000001271566,21.5,18.3666667938232,2.40208258076039,0.4932890724404,TRUE,0.633119051345575,1.26929969770288
"918",27.020067507341,23.5,2.85,20.65,10,6,39,2.04,3.96,86.45,8.5,18.5,3,2007,72,3350,3430,2,1,1.5,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"34303350",2,"343033502007",5,3,24.8999996185303,22.7999992370605,18.2666664123535,1.90000037143108,0.55075696237826,TRUE,1.56350660591062,1.42061873184545
"919",15.6134992971099,12.5,3.07,9.43,4,0.5,18.5,-0.41,0.91,72.0000015258789,6,10,2.5,2007,76,4425,1697,3,4,3.5,5,FALSE,FALSE,TRUE,8,TRUE,TRUE,FALSE,"16974425",2,"169744252007",3,2,23.3500003814697,22,17.6999998092651,1.90918884868337,0.282842442734806,TRUE,1.31903460026679,1.24914034656674
"920",43.2769250951069,29.5,0.199999999999999,29.3,17,12.5,62.5,3.085,9.415,86.9,30,13,4,2007,78,4380,3285,1,3,2,2,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"32854380",2,"328543802007",4,4,22.7500004768372,21,18.4749999046326,1.58008471990158,0.531507763131183,TRUE,-1.06646620266909,2.26537360286774
"921",26.8287870945922,24,4.12,19.88,5,6.5,39.5,1.46,5.04,88.35,11,16,4,2007,79,3507,3442,1,1,1,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"34423507",2,"344235072007",5,4,18.0499999523163,13.1999998092651,16.1750001907349,4.69219237047965,1.13541459296275,TRUE,-0.467562146649902,2.51924663413809
"923",20.9092191467352,11.5,0.56,10.94,6.5,3,30.5,0.87,2.13,87.5,7.5,13,2,2007,80,2004,417,5,4,4.5,13,FALSE,FALSE,TRUE,9,FALSE,FALSE,FALSE,"4172004",2,"41720042007",2,2,26.3500003814697,25,18.75,1.90918884868337,0.494975286310209,TRUE,1.89996872533051,0.754101609459779
"925",42.0952380952381,38,2.69,35.31,8.5,10,62.5,-0.455,10.455,89.1,25,16.5,3,2007,81,3427,2453,2,1,1.5,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,"24533427",1,"245334272007",4,3,23.533332824707,22.2999992370605,17.8666667938232,1.0785794775407,0.665833251087847,TRUE,1.11838767056622,1.202606549728
"926",17.3723897911833,11.5,0.00999999999999979,11.49,7,3,24.5,1.225,1.775,85.1,5,12,2,2007,83,2166,3460,1,2,1.5,1,FALSE,FALSE,TRUE,2,TRUE,TRUE,FALSE,"34602166",1,"346021662007",4,2,22.3000001907349,21.3999996185303,18.0999994277954,1.27279301535529,0.282842442734738,FALSE,-0.652513448946906,1.93284151747177
"929",19.7676502296917,17.5,0.439999999999998,17.06,5,3,28,0.955,2.045,85.1500007629394,12.5,7.5,3,2007,85,2840,46,6,2,4,13,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"462840",2,"4628402007",3,3,23.8333333333333,22.5,17.1999994913737,1.17189318562304,0.721110096391785,TRUE,2.95430420618168,0.533537434942607
"932",18.9058870219591,22,1.22,20.78,2,2,28,-0.5,2.5,88.95,8.5,10.5,3,2007,87,3475,3450,1,1,1,1,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"34503475",1,"345034752007",4,3,16.8666667938232,13.1000003814697,16.4333330790202,3.42685428553532,0.321454471575177,FALSE,-2.24606117267233,3.01295164207309
"935",27.4000236191711,20.5,1.05,19.45,9,5.5,39,2.025,3.475,85.35,12,15,4,2007,90,3395,2173,2,1,1.5,3,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"21733395",2,"217333952007",5,3,23.3000005086263,20.7000007629395,18.4666665395101,2.30651230392959,0.513160243061347,TRUE,-0.497267165613984,1.11655925413537
"937",11.4079105455375,12.5,2.29,10.21,0,0.5,16.5,-0.105,0.605,86.85,5.5,5.5,1,2007,91,860,2693,2,4,3,2,FALSE,TRUE,FALSE,9,FALSE,TRUE,FALSE,"2693860",2,"26938602007",1,1,28.2000007629395,28.2000007629395,19.2999992370605,NA,NA,TRUE,2.48284135067787,NA
"938",15.0515265997929,5.5,0.21,5.29,10,0.5,21.5,0.065,0.435,85.4,2.5,12.5,3.5,2007,93,3516,2453,2,1,1.5,2,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,"24533516",1,"245335162007",6,3,15.6666666666667,11.5,16.7333329518636,5.13257543038626,1.11504886970572,TRUE,-4.13722255987846,2.98442688982388
"944",27.8658257638851,19,-1.56,20.56,5,5,40.5,0.59,4.41,87.1999992370606,13,15,3,2007,99,586,2651,2,5,3.5,3,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,"2651586",3,"26515862007",4,3,22.8333339691162,19.7000007629395,16.9000002543132,3.55715245850918,1.56204978865489,FALSE,2.64546463725189,2.26388445128131
"947",10.9820321041317,7.5,-0.99,8.49,1.5,1.5,15,0.52,0.98,82.5,6,5.5,1,2007,101,592,3311,1,5,3,1,FALSE,NA,NA,11,FALSE,NA,NA,"3311592",1,"33115922007",5,1,22.2999992370605,22.2999992370605,17.6000003814697,NA,NA,TRUE,0.499419321905567,NA
"948",16.3343509843141,17,4.35,12.65,1.5,2,23,0.405,1.595,84.5,7.5,9,2,2007,105,3536,2542,2,1,1.5,4,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,"25423536",2,"254235362007",5,2,26.6999998092651,25.3999996185303,19.75,1.83847790082484,0.353553390593274,TRUE,-0.0539036902145725,1.01341648633922
"951",13.5125714919438,8,0.0299999999999994,7.97,6.5,0.5,19.5,-0.225,0.725,87.05,10,3.5,2,2007,111,2489,2605,2,2,2,4,TRUE,FALSE,FALSE,3,TRUE,NA,NA,"26052489",2,"260524892007",4,2,22.4499998092651,21.6000003814697,18.8000001907349,1.20208071879762,0.424264338451741,TRUE,-2.11522587846987,2.19215504565223
"955",16.2790289674181,10.5,-0.19,10.69,7.5,3.5,22.5,1.875,1.625,82.9000007629394,12,4.5,2,2007,117,3555,3370,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,NA,NA,"33703555",1,"337035552007",3,2,23.1000003814697,21.6000003814697,17.4499998092651,2.12132034355964,0.212132843575471,TRUE,1.64500256110191,2.61635908066676
"957",16.1842686699072,13,0.609999999999999,12.39,6.5,1.5,23.5,0.14,1.36,87.2,5,11.5,3,2007,120,1100,3460,1,5,3,3,TRUE,FALSE,TRUE,11,TRUE,NA,NA,"34601100",2,"346011002007",4,3,23.9666665395101,22.6000003814697,19.0666669209798,1.72143320830338,1.02632048612272,TRUE,-1.21292511959177,2.93893974823155
"960",40.0878354377241,36,3.02,32.98,6,13,59,3.325,9.675,88,18,22,5,2007,122,860,2693,2,4,3,3,TRUE,NA,NA,10,TRUE,NA,NA,"2693860",3,"26938602007",5,5,23,20.3999996185303,17.8,1.93261505080575,0.681909518395442,TRUE,0.738646595034272,0.725659547824394
"969",12.3006833712984,7,-0.72,7.72,6,2,18,1.56,0.44,87.8,3,9,1,2007,126,3341,3496,1,1,1,2,FALSE,FALSE,FALSE,1,FALSE,NA,NA,"34963341",1,"349633412007",2,1,NA,NA,NA,NA,NA,NA,NA,NA
"970",16.3404894074997,11.5,-0.0500000000000007,11.55,6.5,1.5,22,-0.00499999999999989,1.505,79.75,5.5,11,1,2007,126,3404,1697,3,1,2,8,FALSE,NA,NA,3,TRUE,NA,NA,"16973404",3,"169734042007",5,1,17.2000007629395,17.2000007629395,16.2000007629395,NA,NA,FALSE,-1.37515945039628,NA
"981",36.5108140102465,33,2.06666666666667,30.9333333333333,3.66666666666667,9.66666666666667,54,0.946666666666665,8.72,89.3333333333333,17.3333333333333,19,4,2008,28,4380,3285,2,4,3,5,TRUE,FALSE,FALSE,7,TRUE,FALSE,FALSE,"32854380",5,"328543802008",4,4,16.9749999046326,9.10000038146973,16.2250003814697,5.49749922743849,1.62352526136556,TRUE,-1.65775622592917,1.85440240759685
"986",21.0309311552414,16.6666666666667,1.77333333333334,14.8933333333333,7,2.33333333333333,30.6666666666667,0.0699999999999998,2.26333333333333,87.4666656494141,8,13,2,2008,51,2004,NA,NA,5,NA,NA,NA,NA,NA,11,FALSE,TRUE,NA,"NA2004",1,"NA20042008",3,2,23.0999994277954,22.7999992370605,18.8000001907349,0.424264338451809,0.282842442734806,TRUE,-1.46522625993958,1.08431284056844
"989",15.8502006928675,16.6666666666667,1.20666666666667,15.46,2.33333333333333,2.33333333333333,24,0.553333333333333,1.78,90.5999994913737,9,6.66666666666667,3,2008,57,927,2202,3,5,4,7,FALSE,TRUE,FALSE,8,FALSE,TRUE,FALSE,"2202927",2,"22029272008",4,3,20.9333330790202,19.8999996185303,16.3333336512248,0.907377375785666,0.611009926173826,TRUE,2.05099097857265,1.09879005892594
"992",36.3433981483051,31,-1.69333333333334,32.6933333333333,2.66666666666667,10.6666666666667,55.3333333333333,0.666666666666666,10,91.1666636149089,18.6666666666667,17.3333333333333,5,2008,66,3302,2651,3,2,2.5,5,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"26513302",1,"265133022008",5,5,22.4,20.6000003814697,18.8399997711182,1.32853263792499,0.456070404239709,TRUE,-2.2573795947255,1.65006242359556
"996",41.8602713147601,37.3333333333333,2.95333333333334,34.38,8.33333333333333,13.6666666666667,64,2.68333333333333,10.9833333333333,91.7999989827474,16.6666666666667,25,5,2008,83,3050,3496,2,3,2.5,4,FALSE,TRUE,FALSE,6,FALSE,TRUE,FALSE,"34963050",2,"349630502008",5,5,22.4600002288818,20.5,16.6599998474121,1.4638990286939,1.00149875479677,TRUE,2.8250610768672,1.79320886837638
"1001",27.3873984781211,24,3.00666666666667,20.9933333333333,2.66666666666667,5.33333333333333,40.3333333333333,0.18,5.15333333333333,88.4333307902018,14.3333333333333,13,4,2008,99,3760,2605,3,1,2,6,FALSE,TRUE,FALSE,2,FALSE,NA,NA,"26053760",2,"260537602008",4,4,23.0500001907349,21.7000007629395,18.5250000953674,1.30256166669716,0.713558846891482,TRUE,-0.881660520366947,1.3989120286098
"1002",16.260545934525,11.3333333333333,1.36666666666667,9.96666666666667,7,1.33333333333333,24.6666666666667,0.42,0.913333333333333,91.2666646321615,4.66666666666667,11.6666666666667,2,2008,105,4380,3285,2,4,3,7,TRUE,FALSE,FALSE,9,TRUE,FALSE,FALSE,"32854380",7,"328543802008",4,2,22.9000005722046,20.7000007629395,15.8500003814697,3.11126956748093,1.76776695296637,TRUE,5.13119638289552,1.01403750494717
"1005",18.4317003177825,16.3333333333333,0.94,15.3933333333333,4.33333333333333,2.33333333333333,27,0.43,1.90333333333333,88.3666656494141,11.3333333333333,7,4,2008,123,3302,3359,2,2,2,4,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,"33593302",2,"335933022008",5,4,19.4249997138977,12.1000003814697,16.5749998092651,5.62931266819337,1.6918920369977,TRUE,-0.0141102435471674,2.52452507190957
"1070",24.6478882068003,12,0.960000000000001,11.04,9,2,35,-1.57,3.57,85.1999969482422,17,8,2,2009,18,4380,3285,3,5,4,8,FALSE,FALSE,TRUE,10,FALSE,FALSE,TRUE,"32854380",8,"328543802009",2,2,NA,NA,NA,NA,NA,NA,NA,NA
"1077",16.1660293917492,17,2.18,14.82,2.33333333333333,2.66666666666667,24.3333333333333,0.233333333333333,2.43333333333333,90.5000010172526,8.66666666666667,7.66666666666667,3,2009,31,4510,4072,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"40724510",1,"407245102009",4,3,13,11.1000003814697,14.5666666030884,1.95192195370478,0.814452824459143,TRUE,-1.81216763168864,0.684238161566997
"1078",14.5692504334831,9.66666666666667,0.613333333333333,9.05333333333333,8,1,21.3333333333333,0.0966666666666667,0.903333333333333,88.866667175293,4,10.6666666666667,2,2009,31,3050,3496,3,4,3.5,6,FALSE,TRUE,FALSE,8,FALSE,TRUE,FALSE,"34963050",4,"349630502009",3,2,21.1000003814697,20.7000007629395,16.1500000953674,0.565684885469544,0.494974611960642,TRUE,2.64003529830151,0.589400780074308
"1081",11.0299481408126,10.3333333333333,0.84,9.49333333333333,2.33333333333333,0.666666666666667,16,0.16,0.506666666666667,87.1666661580404,6.33333333333333,4,2,2009,36,4511,4509,1,2,1.5,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"45094511",1,"450945112009",5,2,10.4500002861023,7.80000019073486,14.1999998092651,3.7476660751586,1.13137111963829,TRUE,-3.51741404340891,1.10746891933276
