"DVDRef","NbAlternation","Type"
"938","34","1_Observed"
"951","21","1_Observed"
"959","2","1_Observed"
"972","26","1_Observed"
"973","26","1_Observed"
"985","8","1_Observed"
"990","25","1_Observed"
"992","12","1_Observed"
"993","18","1_Observed"
"1012","35","1_Observed"
"1013","12","1_Observed"
"1014","8","1_Observed"
"1019","19","1_Observed"
"1022","35","1_Observed"
"1029","35","1_Observed"
"1036","10","1_Observed"
"1040","23","1_Observed"
"1046","21","1_Observed"
"1051","23","1_Observed"
"1056","22","1_Observed"
"1061","35","1_Observed"
"1063","24","1_Observed"
"1064","37","1_Observed"
"1072","20","1_Observed"
"1076","10","1_Observed"
"1077","13","1_Observed"
"1082","22","1_Observed"
"1084","22","1_Observed"
"1090","25","1_Observed"
"1091","26","1_Observed"
"1093","20","1_Observed"
"1094","33","1_Observed"
"1095","2","1_Observed"
"1105","17","1_Observed"
"1112","14","1_Observed"
"1115","14","1_Observed"
"1116","34","1_Observed"
"1117","27","1_Observed"
"1125","20","1_Observed"
"1127","8","1_Observed"
"1128","15","1_Observed"
"1129","21","1_Observed"
"1136","15","1_Observed"
"1137","27","1_Observed"
"1138","30","1_Observed"
"1146","17","1_Observed"
"1147","17","1_Observed"
"1148","23","1_Observed"
"1155","11","1_Observed"
"1162","24","1_Observed"
"1163","13","1_Observed"
"1164","14","1_Observed"
"1165","27","1_Observed"
"1166","18","1_Observed"
"1177","34","1_Observed"
"1183","16","1_Observed"
"1185","16","1_Observed"
"1186","14","1_Observed"
"1187","6","1_Observed"
"1195","12","1_Observed"
"1210","23","1_Observed"
"1211","7","1_Observed"
"1221","2","1_Observed"
"1223","19","1_Observed"
"1224","16","1_Observed"
"1228","22","1_Observed"
"1230","27","1_Observed"
"1233","4","1_Observed"
"1243","8","1_Observed"
"1244","20","1_Observed"
"1246","21","1_Observed"
"1256","6","1_Observed"
"1257","28","1_Observed"
"1264","9","1_Observed"
"1267","25","1_Observed"
"1270","20","1_Observed"
"1291","26","1_Observed"
"1293","22","1_Observed"
"1299","22","1_Observed"
"1302","13","1_Observed"
"1308","19","1_Observed"
"1313","13","1_Observed"
"1326","16","1_Observed"
"1333","14","1_Observed"
"1344","13","1_Observed"
"1349","15","1_Observed"
"1350","19","1_Observed"
"1351","20","1_Observed"
"1352","9","1_Observed"
"1353","11","1_Observed"
"1356","6","1_Observed"
"1364","8","1_Observed"
"1372","24","1_Observed"
"1373","13","1_Observed"
"1383","14","1_Observed"
"1386","1","1_Observed"
"1397","10","1_Observed"
"1401","10","1_Observed"
"1403","15","1_Observed"
"1414","11","1_Observed"
"1415","14","1_Observed"
"1416","12","1_Observed"
"1418","25","1_Observed"
"1425","25","1_Observed"
"1426","23","1_Observed"
"1434","18","1_Observed"
"1440","17","1_Observed"
"1441","20","1_Observed"
"1442","26","1_Observed"
"1447","14","1_Observed"
"1449","18","1_Observed"
"1450","17","1_Observed"
"1452","25","1_Observed"
"1454","6","1_Observed"
"1457","14","1_Observed"
"1458","21","1_Observed"
"1459","28","1_Observed"
"1463","22","1_Observed"
"1464","22","1_Observed"
"1465","22","1_Observed"
"1466","49","1_Observed"
"1467","41","1_Observed"
"1469","9","1_Observed"
"1472","6","1_Observed"
"1473","9","1_Observed"
"1474","11","1_Observed"
"1475","8","1_Observed"
"1477","15","1_Observed"
"1481","26","1_Observed"
"1482","14","1_Observed"
"1490","19","1_Observed"
"1494","12","1_Observed"
"1495","19","1_Observed"
"1496","14","1_Observed"
"1497","20","1_Observed"
"1498","22","1_Observed"
"1499","8","1_Observed"
"1500","25","1_Observed"
"1501","14","1_Observed"
"1503","14","1_Observed"
"1504","21","1_Observed"
"1505","25","1_Observed"
"1506","22","1_Observed"
"1509","30","1_Observed"
"1515","15","1_Observed"
"1516","9","1_Observed"
"1519","25","1_Observed"
"1520","20","1_Observed"
"1521","12","1_Observed"
"1527","16","1_Observed"
"1528","20","1_Observed"
"1533","21","1_Observed"
"1535","11","1_Observed"
"1542","18","1_Observed"
"1544","22","1_Observed"
"1551","25","1_Observed"
"1557","20","1_Observed"
"1558","21","1_Observed"
"1560","23","1_Observed"
"1561","39","1_Observed"
"1562","16","1_Observed"
"1563","17","1_Observed"
"1564","10","1_Observed"
"1565","3","1_Observed"
"1567","13","1_Observed"
"1568","17","1_Observed"
"1569","22","1_Observed"
"1571","22","1_Observed"
"1575","20","1_Observed"
"1576","4","1_Observed"
"1585","2","1_Observed"
"1586","18","1_Observed"
"1588","2","1_Observed"
"1589","15","1_Observed"
"1599","21","1_Observed"
"1603","14","1_Observed"
"1606","16","1_Observed"
"1611","12","1_Observed"
"1614","2","1_Observed"
"1617","4","1_Observed"
"1624","6","1_Observed"
"1627","17","1_Observed"
"1631","1","1_Observed"
"1634","9","1_Observed"
"1635","6","1_Observed"
"1639","18","1_Observed"
"1641","20","1_Observed"
"1642","10","1_Observed"
"1643","8","1_Observed"
"1644","6","1_Observed"
"1645","30","1_Observed"
"1647","17","1_Observed"
"1648","27","1_Observed"
"1649","11","1_Observed"
"1650","22","1_Observed"
"1651","23","1_Observed"
"1653","12","1_Observed"
"1655","21","1_Observed"
"1657","14","1_Observed"
"1659","32","1_Observed"
"1660","16","1_Observed"
"1661","11","1_Observed"
"1662","22","1_Observed"
"1664","13","1_Observed"
"1665","21","1_Observed"
"1666","20","1_Observed"
"1667","11","1_Observed"
"1668","15","1_Observed"
"1669","18","1_Observed"
"1670","4","1_Observed"
"1671","22","1_Observed"
"1672","47","1_Observed"
"1673","7","1_Observed"
"1675","8","1_Observed"
"1676","18","1_Observed"
"1677","7","1_Observed"
"1686","16","1_Observed"
"1693","2","1_Observed"
"1694","16","1_Observed"
"1695","7","1_Observed"
"1696","15","1_Observed"
"1697","23","1_Observed"
"1698","24","1_Observed"
"1699","7","1_Observed"
"1700","9","1_Observed"
"1701","2","1_Observed"
"1702","15","1_Observed"
"1703","20","1_Observed"
"1704","16","1_Observed"
"1708","15","1_Observed"
"1709","14","1_Observed"
"1710","16","1_Observed"
"1713","17","1_Observed"
"1718","15","1_Observed"
"1727","17","1_Observed"
"1729","5","1_Observed"
"1731","20","1_Observed"
"1732","16","1_Observed"
"1733","25","1_Observed"
"1734","22","1_Observed"
"1735","12","1_Observed"
"1736","38","1_Observed"
"1737","49","1_Observed"
"1738","23","1_Observed"
"1739","30","1_Observed"
"1740","20","1_Observed"
"1741","14","1_Observed"
"1742","10","1_Observed"
"1743","16","1_Observed"
"1745","10","1_Observed"
"1746","10","1_Observed"
"1747","15","1_Observed"
"1748","42","1_Observed"
"1749","29","1_Observed"
"1750","36","1_Observed"
"1752","13","1_Observed"
"1753","16","1_Observed"
"1754","20","1_Observed"
"1755","10","1_Observed"
"1758","9","1_Observed"
"1779","11","1_Observed"
"1784","6","1_Observed"
"1786","22","1_Observed"
"1791","4","1_Observed"
"1794","31","1_Observed"
"1803","31","1_Observed"
"1805","11","1_Observed"
"1813","37","1_Observed"
"1815","21","1_Observed"
"1822","12","1_Observed"
"1824","26","1_Observed"
"1829","33","1_Observed"
"1830","30","1_Observed"
"1834","13","1_Observed"
"1835","4","1_Observed"
"1836","34","1_Observed"
"1839","26","1_Observed"
"1842","4","1_Observed"
"1843","18","1_Observed"
"1845","19","1_Observed"
"1847","42","1_Observed"
"1848","14","1_Observed"
"1851","18","1_Observed"
"1854","19","1_Observed"
"1857","21","1_Observed"
"1861","23","1_Observed"
"1864","26","1_Observed"
"1866","13","1_Observed"
"1868","9","1_Observed"
"1871","18","1_Observed"
"1872","12","1_Observed"
"1876","2","1_Observed"
"1878","20","1_Observed"
"1880","7","1_Observed"
"1883","18","1_Observed"
"1886","18","1_Observed"
"1887","8","1_Observed"
"1892","16","1_Observed"
"1896","6","1_Observed"
"1906","10","1_Observed"
"1911","7","1_Observed"
"1915","14","1_Observed"
"1916","14","1_Observed"
"1917","27","1_Observed"
"1921","12","1_Observed"
"1926","45","1_Observed"
"1927","7","1_Observed"
"1928","9","1_Observed"
"1937","14","1_Observed"
"1946","26","1_Observed"
"1949","26","1_Observed"
"1953","47","1_Observed"
"1963","17","1_Observed"
"1964","20","1_Observed"
"1965","13","1_Observed"
"1969","13","1_Observed"
"1973","15","1_Observed"
"1975","22","1_Observed"
"1977","24","1_Observed"
"1979","26","1_Observed"
"1981","43","1_Observed"
"1985","43","1_Observed"
"1986","38","1_Observed"
"1987","31","1_Observed"
"1995","24","1_Observed"
"1997","18","1_Observed"
"2000","30","1_Observed"
"2002","14","1_Observed"
"2004","14","1_Observed"
"2005","6","1_Observed"
"2012","14","1_Observed"
"2014","16","1_Observed"
"2015","19","1_Observed"
"2078","12","1_Observed"
"2106","23","1_Observed"
"2107","9","1_Observed"
"2111","10","1_Observed"
"2113","8","1_Observed"
"2114","12","1_Observed"
"2119","10","1_Observed"
"2122","16","1_Observed"
"2128","13","1_Observed"
"2134","14","1_Observed"
"2140","9","1_Observed"
"2155","16","1_Observed"
"2167","18","1_Observed"
"2173","12","1_Observed"
"2183","14","1_Observed"
"2185","21","1_Observed"
"2187","17","1_Observed"
"2188","21","1_Observed"
"2191","16","1_Observed"
"2192","20","1_Observed"
"2194","17","1_Observed"
"2196","24","1_Observed"
"2199","23","1_Observed"
"2201","16","1_Observed"
"2230","14","1_Observed"
"2231","10","1_Observed"
"2236","24","1_Observed"
"2239","23","1_Observed"
"2240","16","1_Observed"
"2241","28","1_Observed"
"2242","34","1_Observed"
"2244","22","1_Observed"
"2248","13","1_Observed"
"2250","28","1_Observed"
"2253","55","1_Observed"
"2254","28","1_Observed"
"2257","17","1_Observed"
"2258","30","1_Observed"
"2260","28","1_Observed"
"2261","31","1_Observed"
"2268","24","1_Observed"
"2269","21","1_Observed"
"2270","38","1_Observed"
"2271","35","1_Observed"
"2273","18","1_Observed"
"2275","30","1_Observed"
"2276","12","1_Observed"
"2279","25","1_Observed"
"2281","6","1_Observed"
"2282","16","1_Observed"
"2284","25","1_Observed"
"2288","15","1_Observed"
"2290","15","1_Observed"
"2292","17","1_Observed"
"2294","22","1_Observed"
"2296","14","1_Observed"
"2302","16","1_Observed"
"2310","5","1_Observed"
"2313","6","1_Observed"
"2316","10","1_Observed"
"2317","7","1_Observed"
"2318","19","1_Observed"
"2322","10","1_Observed"
"2325","23","1_Observed"
"2326","9","1_Observed"
"2330","10","1_Observed"
"2332","17","1_Observed"
"2334","15","1_Observed"
"2335","34","1_Observed"
"2337","22","1_Observed"
"2339","19","1_Observed"
"2345","1","1_Observed"
"2346","25","1_Observed"
"2351","24","1_Observed"
"2352","29","1_Observed"
"2353","19","1_Observed"
"2354","20","1_Observed"
"2356","26","1_Observed"
"2361","27","1_Observed"
"2362","14","1_Observed"
"2363","27","1_Observed"
"2364","18","1_Observed"
"2370","11","1_Observed"
"2375","29","1_Observed"
"2376","17","1_Observed"
"2382","5","1_Observed"
"2383","2","1_Observed"
"2384","9","1_Observed"
"2388","12","1_Observed"
"2389","11","1_Observed"
"2391","27","1_Observed"
"2392","24","1_Observed"
"2393","15","1_Observed"
"2394","26","1_Observed"
"2396","17","1_Observed"
"2398","24","1_Observed"
"2401","26","1_Observed"
"2402","16","1_Observed"
"2403","14","1_Observed"
"2408","20","1_Observed"
"2409","27","1_Observed"
"2410","25","1_Observed"
"2415","33","1_Observed"
"2420","20","1_Observed"
"2424","16","1_Observed"
"2425","11","1_Observed"
"2441","26","1_Observed"
"2442","17","1_Observed"
"2444","32","1_Observed"
"2446","16","1_Observed"
"2448","34","1_Observed"
"2449","22","1_Observed"
"2450","5","1_Observed"
"2452","6","1_Observed"
"2453","28","1_Observed"
"2455","38","1_Observed"
"2456","25","1_Observed"
"2457","4","1_Observed"
"2459","18","1_Observed"
"2461","10","1_Observed"
"2465","19","1_Observed"
"2467","2","1_Observed"
"2470","24","1_Observed"
"2473","18","1_Observed"
"2475","2","1_Observed"
"2476","24","1_Observed"
"2480","25","1_Observed"
"2481","31","1_Observed"
"2482","24","1_Observed"
"2484","17","1_Observed"
"2485","8","1_Observed"
"2489","26","1_Observed"
"2490","12","1_Observed"
"2491","19","1_Observed"
"2492","19","1_Observed"
"2494","17","1_Observed"
"2495","11","1_Observed"
"2499","14","1_Observed"
"2500","16","1_Observed"
"2501","20","1_Observed"
"2504","18","1_Observed"
"2505","29","1_Observed"
"2507","16","1_Observed"
"2508","18","1_Observed"
"2509","12","1_Observed"
"2510","8","1_Observed"
"2511","37","1_Observed"
"2512","22","1_Observed"
"2514","28","1_Observed"
"2515","22","1_Observed"
"2516","16","1_Observed"
"2520","11","1_Observed"
"2521","20","1_Observed"
"2522","14","1_Observed"
"2523","20","1_Observed"
"2524","9","1_Observed"
"2525","12","1_Observed"
"2526","29","1_Observed"
"2527","27","1_Observed"
"2528","2","1_Observed"
"2529","18","1_Observed"
"2530","9","1_Observed"
"2531","16","1_Observed"
"2532","20","1_Observed"
"2534","18","1_Observed"
"2535","4","1_Observed"
"2536","11","1_Observed"
"2537","20","1_Observed"
"2538","23","1_Observed"
"2540","17","1_Observed"
"2541","20","1_Observed"
"2542","38","1_Observed"
"2543","20","1_Observed"
"2544","13","1_Observed"
"2558","15","1_Observed"
"2559","16","1_Observed"
"2563","22","1_Observed"
"2568","12","1_Observed"
"2569","15","1_Observed"
"2570","18","1_Observed"
"2574","39","1_Observed"
"2576","18","1_Observed"
"2577","12","1_Observed"
"2579","5","1_Observed"
"2580","6","1_Observed"
"2582","11","1_Observed"
"2583","17","1_Observed"
"2586","22","1_Observed"
"2587","19","1_Observed"
"2588","15","1_Observed"
"2589","33","1_Observed"
"2590","23","1_Observed"
"2591","17","1_Observed"
"2592","11","1_Observed"
"2593","30","1_Observed"
"2594","13","1_Observed"
"2595","2","1_Observed"
"2598","12","1_Observed"
"2599","16","1_Observed"
"2600","23","1_Observed"
"2602","11","1_Observed"
"2606","34","1_Observed"
"2607","17","1_Observed"
"2608","15","1_Observed"
"2612","6","1_Observed"
"2613","10","1_Observed"
"2616","1","1_Observed"
"2617","20","1_Observed"
"2619","18","1_Observed"
"2623","12","1_Observed"
"2625","26","1_Observed"
"2626","15","1_Observed"
"2627","32","1_Observed"
"2632","2","1_Observed"
"2637","33","1_Observed"
"2638","5","1_Observed"
"2640","19","1_Observed"
"2641","16","1_Observed"
"2642","17","1_Observed"
"2645","22","1_Observed"
"2646","28","1_Observed"
"2647","21","1_Observed"
"2649","37","1_Observed"
"2658","10","1_Observed"
"2659","23","1_Observed"
"2664","14","1_Observed"
"2666","15","1_Observed"
"2670","6","1_Observed"
"2673","30","1_Observed"
"2679","19","1_Observed"
"2680","14","1_Observed"
"2681","17","1_Observed"
"2688","23","1_Observed"
"2690","16","1_Observed"
"2692","17","1_Observed"
"2693","12","1_Observed"
"2696","18","1_Observed"
"2697","16","1_Observed"
"2698","12","1_Observed"
"2699","10","1_Observed"
"2700","11","1_Observed"
"2701","19","1_Observed"
"2705","14","1_Observed"
"2706","9","1_Observed"
"2707","11","1_Observed"
"2708","15","1_Observed"
"2709","26","1_Observed"
"2710","12","1_Observed"
"2711","23","1_Observed"
"2712","18","1_Observed"
"2713","17","1_Observed"
"2714","20","1_Observed"
"2715","13","1_Observed"
"2716","14","1_Observed"
"2717","22","1_Observed"
"2718","23","1_Observed"
"2719","29","1_Observed"
"2720","10","1_Observed"
"2721","23","1_Observed"
"2722","8","1_Observed"
"2723","25","1_Observed"
"2724","9","1_Observed"
"2726","18","1_Observed"
"2727","35","1_Observed"
"2730","16","1_Observed"
"2731","50","1_Observed"
"2732","15","1_Observed"
