"DVDRef","BroodRef","FVisit1","MVisit1","EffectiveTime","FVisit1RateH","MVisit1RateH","VisitRateDifference","TotalProRate","AlternationValue","SynchronyFeedValue","PropSynchroFemaleStart","DVDInfoChickNb","ChickAgeCat","RelTimeHrs","MFVisit1","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","MeanAsim","Adev","MeanSsim","Sdev","meanDadAge","DeltaDadAge","FirstDadReproAge","LastDadReproAge","meanMumAge","DeltaMumAge","FirstMumReproAge","LastMumReproAge"
1,"442",29,1,91.4999984741211,19,1,18,20,6.9,0,NA,2,"Age10",2.78,30,"2004",10,"4290","4275",4,4,4,10,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,"42754290",7,"427542902004",2,NA,NA,NA,NA,NA,NA,6.89655172413793,0.00344827586206975,1.03448275862069,-1.03448275862069,4.54545454545455,-0.545454545454546,4,5,4.54545454545455,-0.545454545454546,4,5
36,"457",10,6,87.1,7,4,3,11,66.7,6.7,100,3,"Age06",1.07,16,"2004",29,"419","4503",4,2,3,6,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4503419",2,"45034192004",1,25.3999996185303,25.3999996185303,18.6000003814697,NA,NA,FALSE,58.8,7.90000000000001,9.06666666666667,-2.36666666666667,4,0,4,4,2,0,2,2
39,"456",10,9,92.8999969482422,6,6,0,12,100,5.6,0,2,"Age06",3.23,19,"2004",28,"1048","902",1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"9021048",1,"90210482004",0,NA,NA,NA,NA,NA,NA,70.6666666666667,29.3333333333333,6.72222222222222,-1.12222222222222,1.8,-0.8,1,2,1.66666666666667,-0.666666666666667,1,2
45,"462",13,12,92.3999969482422,8,8,0,16,66.7,4.2,0,2,"Age06",0.93,25,"2004",30,"605","4423",3,2,2.5,1,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"4423605",1,"44236052004",2,17.8000001907349,17,15,1.13137111963829,0.707106781186548,FALSE,64.9166666666667,1.78333333333335,6.45833333333333,-2.25833333333333,3.44444444444444,-0.444444444444445,3,4,2.33333333333333,-0.333333333333333,2,3
69,"472",11,11,92.1999969482422,7,7,0,14,95.2,9.5,0,2,"Age06",1.02,22,"2004",33,"1100","831",1,2,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"8311100",1,"83111002004",2,21.1000003814697,19.5,17.3999996185303,2.26274223927665,0.141421895717003,FALSE,64.4761904761905,30.7238095238095,6.23809523809524,3.26190476190476,1,0,1,1,3.28571428571429,-1.28571428571429,2,5
71,"457",7,2,88.3999969482422,5,1,4,6,25,0,NA,1,"Age10",1.35,9,"2004",29,"419","4503",4,2,3,6,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4503419",2,"45034192004",1,25.3999996185303,25.3999996185303,18.6000003814697,NA,NA,FALSE,34.75,-9.75,4,-4,4,0,4,4,2,0,2,2
74,"475",21,4,89.5,14,3,11,17,25,0,NA,2,"Age06",1.37,25,"2004",34,"571","4423",3,1,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"4423571",1,"44235712004",1,16,16,16.1000003814697,NA,NA,FALSE,27.5,-2.5,3.83333333333333,-3.83333333333333,3.44444444444444,-0.444444444444445,3,4,2.33333333333333,-1.33333333333333,1,3
79,"477",7,6,89.8999969482422,5,4,1,9,75,8.3,0,1,"Age06",4.57,13,"2004",34,"988","145",3,1,2,4,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"145988",1,"1459882004",0,NA,NA,NA,NA,NA,NA,73,2,11.8333333333333,-3.53333333333333,3.6,-0.6,3,4,1.83333333333333,-0.833333333333333,1,3
81,"464",30,3,90.6999969482422,20,2,18,22,18.8,9.4,33.3,3,"Age10",3.4,33,"2004",31,"32","4229",4,3,3.5,6,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"422932",4,"4229322004",3,24.6666666666667,23.7999992370605,18.4666665395101,0.757188484757405,1.28581996301776,TRUE,17.8125,0.987500000000001,3.59375,5.80625,4,0,4,4,3,0,3,3
84,"484",10,7,93.6999969482422,6,4,2,10,68.8,0,NA,3,"Age06",1.08,17,"2004",36,"723","24",3,3,3,5,FALSE,NA,NA,3,FALSE,FALSE,NA,"24723",1,"247232004",1,NA,NA,NA,NA,NA,NA,68.125,0.674999999999997,3.875,-3.875,3,0,3,3,3,0,3,3
89,"472",14,18,91.0999984741211,9,12,3,21,74.2,12.9,50,2,"Age10",1.12,32,"2004",33,"1100","831",1,2,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"8311100",1,"83111002004",2,21.1000003814697,19.5,17.3999996185303,2.26274223927665,0.141421895717003,FALSE,59.4193548387097,14.7806451612903,8.54838709677419,4.35161290322581,1,0,1,1,3.28571428571429,-1.28571428571429,2,5
90,"486",4,4,84.0999969482422,3,3,0,6,85.7,0,NA,1,"Age06",1.28,8,"2004",37,"929","46",3,1,2,6,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"46929",1,"469292004",0,NA,NA,NA,NA,NA,NA,84,1.7,2.14285714285714,-2.14285714285714,4.27272727272727,-1.27272727272727,3,6,1.6,-0.6,1,3
103,"491",20,14,92.6999984741211,13,9,4,22,63.6,18.2,50,2,"Age06",1.33,34,"2004",39,"1074","4422",3,1,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"44221074",1,"442210742004",2,23.25,21.5,17.9499998092651,2.47487373415292,0.63639583332808,FALSE,48.7272727272727,14.8727272727273,8.21212121212121,9.98787878787879,3,0,3,3,1,0,1,1
105,"489",10,7,93.6999969482422,6,4,2,10,56.2,0,NA,1,"Age06",3.17,17,"2004",39,"416","4418",5,2,3.5,8,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,"4418416",3,"44184162004",1,24.5,24.5,18.5,NA,NA,FALSE,50.75,5.45,4.5,-4.5,5.54545454545455,-0.545454545454546,5,6,2.54545454545455,-0.545454545454545,2,3
106,"488",12,16,91.5999969482422,8,10,2,18,70.4,3.7,0,2,"Age06",3.17,28,"2004",38,"371","4230",4,2,3,10,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"4230371",4,"42303712004",2,24.3500003814697,23.2000007629395,18.5,1.62634505724937,0.424262989752541,FALSE,63.2592592592593,7.14074074074075,8.33333333333333,-4.63333333333333,4.5,-0.5,4,5,2,0,2,2
107,"477",11,2,92.3999969482422,7,1,6,8,33.3,0,NA,1,"Age10",3.17,13,"2004",34,"988","145",3,1,2,4,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"145988",1,"1459882004",0,NA,NA,NA,NA,NA,NA,33.3333333333333,-0.0333333333333314,2.08333333333333,-2.08333333333333,3.6,-0.6,3,4,1.83333333333333,-0.833333333333333,1,3
108,"490",23,15,92.5999969482422,15,10,5,25,59.5,8.1,33.3,3,"Age06",3.17,38,"2004",39,"955","591",2,1,1.5,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"591955",1,"5919552004",3,19.966667175293,16.6000003814697,17.2333329518636,3.50761075828093,0.602770776117486,FALSE,59.5135135135135,-0.0135135135135158,11.972972972973,-3.87297297297297,2.5,-0.5,2,3,1,0,1,1
109,"493",21,24,88.2999969482422,14,16,2,30,56.8,11.4,40,4,"Age06",1.18,45,"2004",40,"256","132",3,2,2.5,3,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"132256",1,"1322562004",3,19.1666666666667,14.1000003814697,16.5666669209798,4.52364114130572,1.36503985895231,FALSE,52.4545454545455,4.34545454545454,13.1590909090909,-1.75909090909091,3,0,3,3,3,-1,2,4
110,"494",15,18,90.9999969482422,10,12,2,22,62.5,15.6,60,3,"Age06",1.35,33,"2004",40,"346","4264",4,2,3,7,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4264346",4,"42643462004",3,24.3333326975505,22.7999992370605,18.0333334604899,1.36137200655607,0.0577352471605975,FALSE,66.3125,-3.8125,11.65625,3.94375,4,0,4,4,2.5,-0.5,2,3
113,"496",12,21,92.1999969482422,8,14,6,22,46.9,12.5,50,3,"Age06",3.68,33,"2004",40,"76","287",2,3,2.5,3,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"28776",1,"287762004",3,23.6333332061768,22.7999992370605,16.9666665395101,1.35769490097489,0.986577049344011,FALSE,50.4375,-3.5375,11.0625,1.4375,2.55555555555556,-0.555555555555555,2,3,3.33333333333333,-0.333333333333333,3,4
114,"497",11,1,86.1999969482422,8,1,7,9,18.2,9.1,0,4,"Age06",1.22,12,"2004",41,"428","4421",3,2,2.5,1,FALSE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"4421428",1,"44214282004",2,26.6499996185303,25.5,17.8500003814697,1.62634505724937,0.212131494876271,FALSE,18.1818181818182,0.0181818181818159,2.18181818181818,6.91818181818182,3.25,-0.25,3,4,2,0,2,2
115,"498",9,9,90.8999969482422,6,6,0,12,70.6,0,NA,1,"Age06",1.38,18,"2004",41,"512","765",1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"765512",1,"7655122004",0,NA,NA,NA,NA,NA,NA,70.3529411764706,0.2470588235294,4,-4,1.4,-0.4,1,2,1.4,-0.4,1,2
119,"491",15,12,75.1999984741211,12,10,2,22,57.7,7.7,50,2,"Age10",1.58,27,"2004",39,"1074","4422",3,1,2,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"44221074",1,"442210742004",2,23.25,21.5,17.9499998092651,2.47487373415292,0.63639583332808,FALSE,50,7.7,7.53846153846154,0.161538461538462,3,0,3,3,1,0,1,1
122,"488",12,24,87.9999969482422,8,16,8,24,45.7,8.6,0,2,"Age10",3.58,36,"2004",38,"371","4230",4,2,3,10,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"4230371",4,"42303712004",2,24.3500003814697,23.2000007629395,18.5,1.62634505724937,0.424262989752541,FALSE,41.4285714285714,4.27142857142857,11.8857142857143,-3.28571428571429,4.5,-0.5,4,5,2,0,2,2
123,"490",32,9,92.4000030517578,21,6,15,27,45,15,66.7,3,"Age10",3.58,41,"2004",39,"955","591",2,1,1.5,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"591955",1,"5919552004",3,19.966667175293,16.6000003814697,17.2333329518636,3.50761075828093,0.602770776117486,FALSE,37.1,7.9,7,8,2.5,-0.5,2,3,1,0,1,1
126,"493",32,18,91.8999969482422,21,12,9,33,55.1,24.5,25,3,"Age10",1.6,50,"2004",40,"256","132",3,2,2.5,3,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"132256",1,"1322562004",3,19.1666666666667,14.1000003814697,16.5666669209798,4.52364114130572,1.36503985895231,FALSE,39.265306122449,15.834693877551,12.8979591836735,11.6020408163265,3,0,3,3,3,-1,2,4
127,"494",24,11,87.2000030517578,17,8,9,25,64.7,11.8,75,3,"Age10",1.6,35,"2004",40,"346","4264",4,2,3,7,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"4264346",4,"42643462004",3,24.3333326975505,22.7999992370605,18.0333334604899,1.36137200655607,0.0577352471605975,FALSE,48.6470588235294,16.0529411764706,8.88235294117647,2.91764705882353,4,0,4,4,2.5,-0.5,2,3
130,"496",33,31,91.3999969482422,22,20,2,42,68.3,19,50,3,"Age10",3.6,64,"2004",40,"76","287",2,3,2.5,3,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"28776",1,"287762004",3,23.6333332061768,22.7999992370605,16.9666665395101,1.35769490097489,0.986577049344011,FALSE,58.7936507936508,9.5063492063492,17.7460317460317,1.25396825396826,2.55555555555556,-0.555555555555555,2,3,3.33333333333333,-0.333333333333333,3,4
133,"497",14,2,91.1999984741211,9,1,8,10,20,0,NA,2,"Age10",2.97,16,"2004",41,"428","4421",3,2,2.5,1,FALSE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"4421428",1,"44214282004",2,26.6499996185303,25.5,17.8500003814697,1.62634505724937,0.212131494876271,FALSE,20,0,0.866666666666667,-0.866666666666667,3.25,-0.25,3,4,2,0,2,2
141,"510",11,13,92.6000030517578,7,8,1,15,73.9,4.3,100,2,"Age06",1.5,24,"2004",47,"1054","823",1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"8231054",1,"82310542004",1,20.5,20.5,17.3999996185303,NA,NA,FALSE,66.7826086956522,7.11739130434783,6.21739130434783,-1.91739130434783,2,-1,1,3,2,-1,1,3
146,"513",13,11,91.2999969482422,9,7,2,16,69.6,0,NA,2,"Age06",3.52,24,"2004",48,"4290","4275",4,4,4,11,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,"42754290",8,"427542902004",2,22.3000001907349,20.6000003814697,17.4499998092651,2.40416278629445,1.34350261451463,FALSE,69.4782608695652,0.121739130434776,6.34782608695652,-6.34782608695652,4.54545454545455,-0.545454545454546,4,5,4.54545454545455,-0.545454545454546,4,5
148,"512",15,23,91.4000015258789,10,15,5,25,45.9,5.4,0,3,"Age06",3.52,38,"2004",48,"438","11",3,2,2.5,6,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"11438",4,"114382004",3,24,21.7999992370605,18.966667175293,1.94679280164201,0.251661097315836,FALSE,55.6216216216216,-9.72162162162162,10.5135135135135,-5.11351351351351,3.33333333333333,-0.333333333333333,3,4,2,0,2,2
157,"514",21,14,90.6,14,9,5,23,76.5,17.6,66.7,3,"Age06",1.05,35,"2004",50,"471","661",2,2,2,3,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"661471",3,"6614712004",3,22.2333329518636,17.2999992370605,17.6999994913737,4.32935744530074,1.039230044058,TRUE,62,14.5,14.1470588235294,3.45294117647059,2.66666666666667,-0.666666666666667,2,4,2.5,-0.5,2,3
172,"510",8,10,85.2,6,7,1,13,82.4,0,NA,1,"Age10",3.57,18,"2004",47,"1054","823",1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"8231054",1,"82310542004",1,20.5,20.5,17.3999996185303,NA,NA,FALSE,78.5882352941176,3.81176470588237,5.17647058823529,-5.17647058823529,2,-1,1,3,2,-1,1,3
173,"513",16,13,91.5999969482422,10,9,1,19,46.4,3.6,0,2,"Age10",1.42,29,"2004",48,"4290","4275",4,4,4,11,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,"42754290",8,"427542902004",2,22.3000001907349,20.6000003814697,17.4499998092651,2.40416278629445,1.34350261451463,FALSE,56.2857142857143,-9.88571428571429,8.39285714285714,-4.79285714285714,4.54545454545455,-0.545454545454546,4,5,4.54545454545455,-0.545454545454546,4,5
175,"512",15,17,89.8,10,11,1,21,61.3,12.9,100,3,"Age10",1.42,32,"2004",48,"438","11",3,2,2.5,6,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"11438",4,"114382004",3,24,21.7999992370605,18.966667175293,1.94679280164201,0.251661097315836,FALSE,60.3870967741935,0.912903225806453,15.6451612903226,-2.74516129032258,3.33333333333333,-0.333333333333333,3,4,2,0,2,2
183,"514",9,9,88.9999969482422,6,6,0,12,58.8,5.9,100,3,"Age10",1.45,18,"2004",50,"471","661",2,2,2,3,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"661471",3,"6614712004",3,22.2333329518636,17.2999992370605,17.6999994913737,4.32935744530074,1.039230044058,TRUE,67.7647058823529,-8.96470588235294,4.76470588235294,1.13529411764706,2.66666666666667,-0.666666666666667,2,4,2.5,-0.5,2,3
186,"515",9,7,90.5000015258789,6,5,1,11,73.3,6.7,0,3,"Age06",1.45,16,"2004",53,"649","460",2,2,2,3,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"460649",2,"4606492004",3,24.3666661580404,22.7999992370605,18.7666664123535,1.4011902790122,0.550756269750371,FALSE,68.1333333333333,5.16666666666667,9.26666666666667,-2.56666666666667,2.5,-0.5,2,3,2.5,-0.5,2,3
188,"517",23,16,89.9999984741211,15,11,4,26,68.4,13.2,60,3,"Age06",3.45,39,"2004",54,"4376","383",2,4,3,5,FALSE,FALSE,TRUE,8,TRUE,NA,NA,"3834376",4,"38343762004",3,21.1333338419596,20.2000007629395,19.1000003814697,1.20968272313427,0.529150478486297,FALSE,59.2105263157895,9.18947368421053,9.97368421052632,3.22631578947368,2,0,2,2,4,0,4,4
191,"518",17,15,87.9999969482422,12,10,2,22,71,16.1,60,2,"Age06",1.62,32,"2004",55,"533","417",2,1,1.5,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"417533",1,"4175332004",2,27.3500003814697,27.2000007629395,19.4000005722046,0.212131494876271,0.282842442734738,FALSE,58.6451612903226,12.3548387096774,9.12903225806452,6.97096774193549,3.2,-1.2,2,5,1.6,-0.6,1,2
194,"520",10,13,90.1999969482422,7,9,2,16,77.3,4.5,100,1,"Age06",3.78,23,"2004",55,"442","457",2,2,2,3,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"457442",2,"4574422004",0,NA,NA,NA,NA,NA,NA,69.1818181818182,8.11818181818182,9.18181818181818,-4.68181818181818,2.66666666666667,-0.666666666666667,2,3,2.66666666666667,-0.666666666666667,2,3
197,"519",14,15,91.8999969482422,9,10,1,19,82.1,7.1,100,2,"Age06",3.78,29,"2004",55,"284","456",2,2,2,3,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"456284",2,"4562842004",0,NA,NA,NA,NA,NA,NA,65.6428571428571,16.4571428571429,7.92857142857143,-0.828571428571428,2,0,2,2,2,0,2,2
200,"523",15,9,90.8999969482422,10,6,4,16,78.3,4.3,0,4,"Age06",1.63,24,"2004",56,"45","166",3,3,3,6,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"16645",6,"166452004",4,19.7499997615814,12.1999998092651,16.6999998092651,5.06063236338587,1.52315450429747,FALSE,59.6521739130435,18.6478260869565,6.04347826086956,-1.74347826086956,4.14285714285714,-1.14285714285714,3,5,4.14285714285714,-1.14285714285714,3,5
205,"541",4,9,82.0999969482422,3,7,4,10,58.3,0,NA,1,"Age06",3.47,13,"2004",55,"843","1053",1,1,1,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,"1053843",1,"10538432004",0,NA,NA,NA,NA,NA,NA,57.1666666666667,1.13333333333333,3.33333333333333,-3.33333333333333,1.57142857142857,-0.571428571428571,1,2,2.6,-1.6,1,3
208,"516",14,5,90.1,9,3,6,12,33.3,5.6,0,4,"Age06",1.48,19,"2004",54,"4273","4153",4,4,4,10,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"41534273",4,"415342732004",4,19.6999998092651,18,17.8500003814697,1.89384906371216,0.506622353339792,FALSE,29,4.3,4,1.6,4.66666666666667,-0.666666666666667,4,5,4.66666666666667,-0.666666666666667,4,5
210,"522",8,15,91.3000030517578,5,10,5,15,59.1,4.5,0,1,"Age06",1.32,23,"2004",56,"41","517",1,3,2,2,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"51741",2,"517412004",1,27,27,19,NA,NA,FALSE,59.4545454545455,-0.354545454545452,5.81818181818182,-1.31818181818182,1,0,1,1,3,0,3,3
211,"525",7,9,89.1999969482422,5,6,1,11,80,6.7,0,2,"Age06",1.48,16,"2004",57,"562","393",2,1,1.5,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"393562",2,"3935622004",2,28.6499996185303,27,19,2.33345183843591,0.707106781186548,FALSE,75.8666666666667,4.13333333333334,5,1.7,2.4,-0.4,2,3,1,0,1,1
213,"524",16,11,91.0999969482422,11,7,4,18,84.6,11.5,66.7,1,"Age06",3.32,27,"2004",56,"646","500",1,2,1.5,2,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,"500646",2,"5006462004",1,27.7999992370605,27.7999992370605,18.8999996185303,NA,NA,FALSE,70.1538461538462,14.4461538461538,7.65384615384615,3.84615384615385,1.9,-0.9,1,3,2.66666666666667,-0.666666666666667,2,3
220,"530",10,12,88.5999969482422,7,8,1,15,76.2,0,NA,5,"Age06",1.32,22,"2004",58,"353","725",2,2,2,3,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,"725353",2,"7253532004",4,23.5749998092651,18.5,18.0749998092651,3.40428634738226,0.741057862569994,FALSE,70,6.2,5.9047619047619,-5.9047619047619,2.66666666666667,-0.666666666666667,2,3,2.66666666666667,-0.666666666666667,2,3
221,"517",33,7,85.4999969482422,23,5,18,28,35.9,12.8,40,3,"Age10",1.32,40,"2004",54,"4376","383",2,4,3,5,FALSE,FALSE,TRUE,8,TRUE,NA,NA,"3834376",4,"38343762004",3,21.1333338419596,20.2000007629395,19.1000003814697,1.20968272313427,0.529150478486297,FALSE,30.0512820512821,5.84871794871795,8.2051282051282,4.5948717948718,2,0,2,2,4,0,4,4
224,"529",15,26,88.7999969482422,10,18,8,28,60,2.5,100,4,"Age06",3.32,41,"2004",58,"1063","363",2,1,1.5,3,FALSE,NA,NA,1,FALSE,TRUE,TRUE,"3631063",1,"36310632004",3,22.1333332061768,18.1000003814697,18.0666662851969,3.86307248149635,1.11504886970576,FALSE,61.05,-1.05,11.925,-9.425,2,0,2,2,1,0,1,1
225,"527",23,24,92.5999969482422,15,16,1,31,76.1,17.4,87.5,3,"Age06",3.32,47,"2004",58,"521","1038",1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"1038521",2,"10385212004",3,21.8333333333333,19.5,17.4666665395101,3.95516507106082,0.808290156623841,FALSE,59.9130434782609,16.1869565217391,13,4.4,1.33333333333333,-0.333333333333333,1,2,1,0,1,1
226,"515",30,20,92.4999969482422,19,13,6,32,73.5,16.3,25,3,"Age10",3.32,50,"2004",53,"649","460",2,2,2,3,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"460649",2,"4606492004",3,24.3666661580404,22.7999992370605,18.7666664123535,1.4011902790122,0.550756269750371,FALSE,67.8775510204082,5.62244897959184,13.6530612244898,2.6469387755102,2.5,-0.5,2,3,2.5,-0.5,2,3
228,"536",15,13,90.8999969482422,10,9,1,19,88.9,0,NA,4,"Age06",1.33,28,"2004",59,"1069","115",3,1,2,7,TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,"1151069",2,"11510692004",4,18.9750003814697,14,17.6249995231628,4.12421731016052,0.6344288419478,FALSE,71.7777777777778,17.1222222222222,7.14814814814815,-7.14814814814815,3.5,-0.5,3,4,1.75,-0.75,1,2
229,"532",20,16,89.1999969482422,13,11,2,24,88.6,11.4,50,4,"Age06",1.33,36,"2004",59,"753","822",1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"822753",1,"8227532004",4,17.2749998569489,14.8000001907349,16.75,1.88922379370193,0.568624338653553,FALSE,70.2285714285714,18.3714285714286,13.0285714285714,-1.62857142857143,1,0,1,1,1,0,1,1
230,"518",6,6,84.0000030517578,4,4,0,8,81.8,27.3,66.7,2,"Age10",1.33,12,"2004",55,"533","417",2,1,1.5,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"417533",1,"4175332004",2,27.3500003814697,27.2000007629395,19.4000005722046,0.212131494876271,0.282842442734738,FALSE,70.1818181818182,11.6181818181818,12.9090909090909,14.3909090909091,3.2,-1.2,2,5,1.6,-0.6,1,2
231,"539",6,14,91.5000015258789,4,9,5,13,63.2,0,NA,3,"Age06",3.5,20,"2004",59,"892","4435",7,1,4,10,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"4435892",2,"44358922004",3,20.2000001271566,19,17.8333333333333,1.58745071454777,0.585946592811511,FALSE,56.6315789473684,6.56842105263159,4.21052631578947,-4.21052631578947,8.08333333333333,-1.08333333333333,7,9,2.08333333333333,-1.08333333333333,1,3
233,"535",12,13,91.3999969482422,8,9,1,17,79.2,8.3,0,2,"Age06",3.5,25,"2004",59,"928","513",1,1,1,2,FALSE,FALSE,TRUE,2,FALSE,NA,NA,"513928",2,"5139282004",2,23.3000001907349,22.2000007629395,18.1999998092651,1.5556341093909,0.282842442734806,FALSE,61.5833333333333,17.6166666666667,6.58333333333333,1.71666666666667,1,0,1,1,1,0,1,1
235,"523",29,16,83.8999969482422,21,11,10,32,63.6,13.6,50,4,"Age10",1.5,45,"2004",56,"45","166",3,3,3,6,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"16645",6,"166452004",4,19.7499997615814,12.1999998092651,16.6999998092651,5.06063236338587,1.52315450429747,FALSE,53.2272727272727,10.3727272727273,12.7954545454545,0.804545454545455,4.14285714285714,-1.14285714285714,3,5,4.14285714285714,-1.14285714285714,3,5
236,"542",18,16,91.4000030517578,12,11,1,23,75.8,18.2,0,3,"Age06",1.5,34,"2004",60,"542","466",2,1,1.5,2,FALSE,TRUE,TRUE,1,FALSE,FALSE,TRUE,"466542",1,"4665422004",3,21.4333337148031,20.2000007629395,17.4666665395101,1.0692673410742,0.723417277702525,FALSE,60.7272727272727,15.0727272727273,12.8484848484848,5.35151515151515,3,-1,2,4,1.6,-0.6,1,2
237,"538",9,13,87.9999984741211,6,9,3,15,85.7,4.8,0,3,"Age06",1.5,22,"2004",60,"704","504",1,2,1.5,2,FALSE,FALSE,TRUE,5,FALSE,FALSE,TRUE,"504704",2,"5047042004",3,19.6000003814697,18,17.6666660308838,1.60000038146975,0.550756962378237,FALSE,73.5238095238095,12.1761904761905,10,-5.2,1.66666666666667,-0.666666666666667,1,2,2,0,2,2
238,"522",8,14,76.3000030517578,6,11,5,17,57.1,0,NA,1,"Age10",3.33,22,"2004",56,"41","517",1,3,2,2,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"51741",2,"517412004",1,27,27,19,NA,NA,FALSE,53.047619047619,4.05238095238096,4.14285714285714,-4.14285714285714,1,0,1,1,3,0,3,3
239,"537",19,11,91.2999969482422,12,7,5,19,69,3.4,100,2,"Age06",3.33,30,"2004",60,"431","356",2,2,2,4,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"356431",3,"3564312004",2,25.0999994277954,24.3999996185303,18.25,0.989949223921286,1.06066017177982,FALSE,60.3448275862069,8.6551724137931,6.96551724137931,-3.56551724137931,2.71428571428571,-0.714285714285714,2,3,2.66666666666667,-0.666666666666667,2,3
240,"543",20,19,82.3000030517578,15,14,1,29,78.9,13.2,80,3,"Age06",3.33,39,"2004",60,"427","22",3,2,2.5,5,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"22427",5,"224272004",3,26.2333335876465,25.1000003814697,18.7666664123535,1.02632023833116,0.873689916870803,FALSE,62.4736842105263,16.4263157894737,12.6052631578947,0.594736842105263,3.75,-0.75,3,4,2.88888888888889,-0.888888888888889,2,4
246,"546",10,9,92.1999969482422,7,6,1,13,66.7,5.6,0,1,"Age06",1.52,19,"2004",61,"832","1099",2,1,1.5,1,FALSE,NA,NA,1,FALSE,FALSE,TRUE,"1099832",1,"10998322004",1,24.1000003814697,24.1000003814697,18.2999992370605,NA,NA,FALSE,69.1111111111111,-2.41111111111111,10.3333333333333,-4.73333333333333,2,0,2,2,1.33333333333333,-0.333333333333333,1,2
