"DVDRef","NbAlternation","Aswitch","MeanAsimWithin","MeanAsimAmong"
2908,18,14,17.42,15.02
2909,13,13,13.42,14.19
2913,23,23,22.06,18.5
2914,22,24,20.82,17.4
2915,20,20,18.24,16.3
2916,32,34,33.34,23.48
2918,10,10,10.2,9.15
2920,16,16,14.02,12.55
2921,15,15,10.72,11.04
2924,7,7,6.26,7.27
2926,24,24,22.46,20.41
2928,9,9,8.32,8.32
2929,25,27,23.94,23.56
2940,9,9,8.22,6.7
2950,5,5,4.92,5.24
2975,15,15,13.2,13.04
2985,9,9,7.06,8.15
2988,21,19,22.26,19.67
2989,17,19,16.7,14.09
2990,19,15,14.04,12.94
2991,16,16,14.96,13.05
2993,14,14,11.98,9.55
2994,18,18,15.36,13.44
2995,23,23,19.88,19.21
2996,21,21,23.42,21.1
2997,15,11,12.62,13.98
2998,15,15,14.52,12.26
3000,15,15,11.08,10.88
3003,18,16,17.44,15.87
3004,1,1,1,1.13
3006,11,11,11.54,10.7
3007,11,13,11.36,13.55
3009,17,15,15.74,16.01
3010,13,13,9.28,8.75
3011,17,19,17.58,15.31
3012,20,18,18.6,14.52
3019,27,27,27.5,24.45
3021,12,12,10.14,9.54
3023,15,19,18.64,17.96
3024,14,14,14.06,12.78
3025,25,23,19.08,17.15
3026,24,24,20.2,16.01
3027,19,19,18.6,17.75
3029,24,24,20.96,18.98
3030,26,32,23.38,22.83
3033,11,11,11,10.5
3034,8,8,7.48,7.11
3035,8,6,7.1,7.92
3039,11,13,12.12,12.79
3049,2,2,2,1.85
3063,11,11,10.1,7.74
3065,15,13,14.78,12.29
3073,17,17,17.06,15.2
3079,11,13,10.98,10.81
3082,18,20,21.58,18.11
3097,17,17,13.98,12.88
3099,21,21,22.06,18.73
3100,14,16,12.46,13.04
3102,10,10,9.42,7.7
3106,28,22,20.16,19.7
3110,23,25,23.34,17.94
3112,12,12,13.68,11.52
3113,13,13,11.3,11.23
3120,18,18,15.26,17.25
3121,20,18,17.32,15.04
3124,27,27,25.14,20.34
3125,18,18,15.16,14.55
3129,22,26,23,19.51
3132,12,12,10.56,10.45
3134,14,14,11.62,10.76
3135,19,17,16.48,13.4
3136,20,16,15.76,15.55
3138,16,18,18.34,15.85
3141,42,32,30.44,27.36
3142,27,27,24.46,21.38
3143,10,8,9.62,8.82
3144,6,6,6,5.52
3145,8,8,7.04,7.23
3146,11,11,11.56,11.72
3147,22,24,24.1,25.08
3148,19,19,18.48,15.51
3150,23,21,21.02,18.06
3151,14,14,13.64,12.04
3152,13,11,11.32,9.53
3153,19,17,18.04,15.25
3171,4,4,6.06,8.7
3173,8,10,8.16,7.07
3179,20,20,22.22,18.14
3182,19,21,19.66,17
3183,13,13,12.7,12.6
3184,14,12,11.56,9.83
3185,17,17,13.68,13.36
3188,12,12,13.3,15.34
3190,14,14,12.48,11.79
3191,10,8,10.72,13.67
3192,18,16,16.24,13.64
3193,15,15,12.22,10
3194,21,21,17.48,14.24
3195,37,31,32.82,29.62
3196,17,15,12.26,14.08
3204,18,20,17.04,16.2
3205,27,21,22.28,22.09
3214,9,7,8.3,7.2
3215,14,14,14.8,15.6
3224,27,23,20.28,20.23
3231,15,15,14.74,11.97
3232,14,12,11.32,8.96
3233,15,19,17.84,17.5
3235,12,8,9.54,10.44
3243,8,8,7.34,6.66
3245,31,25,27.38,22.09
3247,24,20,21,18.52
3248,8,10,9.68,9.01
3255,10,8,7.6,7.86
3257,24,26,24.6,23.14
3259,10,12,9.22,10.19
3266,2,2,2,1.94
3268,32,32,31.14,30.68
3269,13,9,10.24,11.05
3274,9,7,8.84,6.87
3276,16,16,13.04,12.6
3277,31,27,29.12,24.62
3278,10,8,7.2,6.02
3279,17,15,15.48,12.62
3284,15,19,16.64,17.14
3287,14,10,12.44,13.38
3289,30,28,26.26,22.58
3291,24,22,22,20.16
3292,19,19,17.54,15.45
3293,11,11,14.02,11.86
3295,13,13,9.84,11.4
3296,18,14,13.38,12
3297,25,23,21.22,16.76
3303,28,28,26.46,20.93
3304,18,18,16.68,14.15
3307,17,17,12.98,12.26
3310,16,16,14.14,11.96
3311,8,6,7.12,6.08
3313,18,18,17.22,14.57
3314,22,24,21.62,17.51
3315,15,17,16.4,18.73
3316,12,12,11.4,10.6
3320,25,23,27.06,23.11
3321,27,23,22.2,16.37
3325,16,14,12.24,12.02
3349,6,6,6.1,7.12
3355,14,14,12.42,10.62
3356,4,4,4,3.73
3358,10,10,10.2,10.88
3359,25,23,20.48,19.95
3360,15,15,12.1,11.75
3361,16,14,15.44,15.07
3362,6,6,7.48,6.32
3364,25,21,18.22,18.2
3444,13,15,13.08,10.29
3445,2,2,2,2.36
3446,9,9,10.6,12.17
3447,11,9,8.06,10.47
3448,6,4,4.2,4
3449,9,9,8.12,8.67
3451,28,26,21.74,21.24
3452,14,12,11.82,11.16
3454,15,13,12.9,14.14
3455,12,12,12.38,10.32
3456,14,14,12.98,11.74
3457,8,8,5.04,6.21
3458,10,10,9.1,9.38
3459,39,31,36.38,29.1
3460,8,8,8,7.07
3461,18,22,18,19.86
3462,19,17,13.8,16.32
3463,9,7,6.96,6.13
3464,23,21,19.48,18.04
3466,12,12,11.94,11.08
3467,7,7,7.86,8.45
3477,22,18,17.84,16.1
3478,9,9,8.8,7.77
3479,11,11,10.36,10.44
3483,12,12,11.1,10.7
3487,11,11,8.7,11.74
3491,12,12,11.1,9.77
3493,8,8,7.84,6.09
3496,11,11,10.7,12.57
3499,14,14,15.22,13.82
3500,8,8,6.6,6.11
3501,15,15,15.92,14.56
3502,18,18,17.08,13.37
3507,10,10,9.16,11.37
3509,22,22,22.38,22.88
3519,21,17,18.6,16.2
3523,31,29,30.94,24.67
3529,9,9,8.68,9.13
3531,11,7,9.8,9.26
3532,44,38,35.28,27.3
3534,11,9,10.42,11.61
3539,17,15,14.98,16.01
3540,15,13,15.62,12.92
3543,13,15,11.8,11.16
3552,29,25,28.28,25.04
3558,21,17,20.22,15.91
3563,9,9,8.18,8.14
3565,16,14,14.56,14.63
3571,1,1,1,1.16
3572,12,12,11.12,10.8
3573,14,12,14.02,12.17
3574,20,18,16.38,16.61
3575,9,11,9.78,8.59
3578,14,14,12.62,10.93
3579,28,28,28.26,24.29
3589,10,10,11,12.45
3590,15,15,12.96,12.27
3595,2,2,2,1.65
3599,14,10,10.24,9.6
3600,25,25,23.12,24.27
3601,4,6,4.64,3.72
3604,25,23,24.56,20.61
3605,36,34,34.28,30.77
3606,27,21,19.9,16.86
3610,6,6,6.2,6.21
3612,11,11,10.46,9.84
3613,22,18,21.62,23.88
3614,29,21,22.32,21.73
3616,4,4,4,2.8
3617,25,23,25.8,22.73
3618,13,9,8.6,9.67
3627,14,12,11.26,10.41
3628,23,19,21.2,18.38
3631,6,4,5.04,4.34
3635,17,15,14.74,13.09
3636,11,9,10.72,10.33
3642,16,16,14.06,13.11
3644,25,21,20.08,22.55
3648,5,5,5,5.13
3651,24,18,20.28,18.08
3653,23,23,19.88,15.54
3654,29,29,28.54,24.93
3656,18,18,16.4,16.14
3657,16,14,12.94,14.62
3660,18,16,13.64,13.08
3661,2,2,2,1.98
3662,29,27,26.44,21.5
3663,11,9,10.44,11.68
3665,23,27,24.54,23.67
3669,25,23,20.24,17.77
3671,27,27,25.16,20.46
3674,19,15,15.96,14.34
3675,17,15,15.08,14.09
3683,22,22,22.38,19.47
3685,13,9,9.98,8.89
3686,21,25,21.58,17.49
3689,16,16,15.76,13.25
3690,13,13,13.84,12.76
3692,1,1,1,1
3693,15,15,13.44,13.16
3699,26,26,21.94,21.06
3700,26,24,24.28,20.94
3705,18,18,16.22,15.16
3709,27,25,21.92,21.9
3712,10,10,9.52,9.77
3713,13,11,10.26,10.24
3715,13,11,12.74,13.2
3719,8,8,7.4,5.85
3725,21,23,20.84,20.14
3726,10,12,9.7,8.26
3730,2,2,2,3.78
3738,19,21,17.82,16.27
3740,16,12,12.3,10.89
3745,2,2,2,2
3751,32,28,26.3,22.77
3754,19,19,17.34,12.63
3758,12,16,14.4,13.44
3772,16,16,17.16,19.03
3777,11,11,10.66,11.15
3787,16,16,15.34,14.99
3788,13,13,13.08,11.38
3789,17,17,18.7,15.35
3790,30,32,27.14,22.75
3800,6,6,6.08,5
3801,13,13,15.26,15.81
3821,11,11,10.98,10.08
3823,15,13,12.94,12.84
3824,15,13,16,13.95
3828,16,16,17.2,20.05
3829,15,11,13.22,16.23
3832,27,29,20.46,21.34
3835,14,12,11.68,6.86
3839,22,18,17.84,16.89
3843,13,9,10.82,10.18
3856,7,7,6.32,6.28
3858,15,15,15.22,14.53
3861,27,29,26.84,26.04
3863,12,14,14.02,12.6
3864,32,32,30.6,26.77
3869,6,8,8.08,10.93
3870,18,16,16.94,17.44
3877,18,18,14.9,17.74
3879,14,14,13.5,13.69
3883,6,6,7.28,5.86
3886,11,9,10.62,11.03
3887,24,22,19.74,19.25
3889,14,14,10.26,11.1
3890,19,15,16.16,16.63
3891,23,23,22.48,21.91
3892,22,18,18.36,17.68
3895,6,6,6.76,6.51
3896,13,13,12.8,12.01
3902,6,6,7.14,8.37
3903,23,21,22.42,20.62
3905,13,13,12.18,10.59
3908,26,26,22.4,24
3913,15,15,14.44,15.72
3914,4,4,4.02,4.07
3919,17,17,13.56,14.17
3921,4,4,3.92,3.53
3922,9,9,10.62,10.57
3923,14,12,11.52,10.37
3925,20,20,16.32,17.15
3927,18,16,10.98,13.2
3929,21,21,20.3,22.52
3931,5,5,3.54,5.78
3932,11,11,9.54,8.98
3933,15,15,14.14,17.15
3934,12,12,13.46,15.09
3937,12,10,10.84,12.02
3939,14,14,12.74,12.97
3942,18,16,13.6,14.11
3943,16,12,13.2,11.58
3944,31,29,22.94,21.86
3947,13,13,12.22,10.47
3949,5,5,5.72,6.68
3952,1,1,1,1
3954,27,27,24.2,26.47
3956,26,24,20.84,21.83
3959,16,14,14.8,18.68
3962,16,18,14.86,17.35
3965,9,11,9.9,9.13
3966,12,10,6.22,7.71
3967,10,8,9.02,10.61
3974,15,15,13.8,12.47
3987,13,13,12.48,10.36
3989,6,8,4.64,6.69
4001,23,21,21.3,19.89
4005,8,8,5.34,6.13
4010,14,14,12.86,10.18
4013,15,13,10.1,10.78
4033,14,16,13.6,13.04
4037,11,9,9.74,8.65
4045,19,15,16.42,16.61
4046,17,19,16.26,15.23
4054,20,18,19.26,16.73
4062,21,27,23.48,18.79
4064,28,28,25.08,23.64
4071,24,22,20.52,18.58
4075,18,14,16.42,18.13
4089,17,21,19.88,18.31
4090,9,9,10.46,12.09
4093,1,1,1,1
4096,4,4,2.56,7.2
4107,21,21,21.22,18.71
4111,19,19,18.24,18.81
4113,4,4,4,3.03
4116,20,20,18.72,16.32
4119,10,8,9.34,8.14
4125,8,6,7.06,6.61
4129,14,14,11.66,10.64
4135,27,25,20.78,17.3
4137,25,21,24.44,18.21
4138,27,27,22.02,25.56
4139,36,36,27.54,31.26
4141,16,16,15.32,14.43
4142,16,18,12.86,12.69
4143,2,2,2,2
4144,22,24,23.52,21.76
4145,2,2,2,1.98
4148,10,10,9.74,8.09
4152,33,31,23.68,22.07
4153,22,20,20.62,21.25
4154,16,16,13.68,11.76
4156,21,23,22.02,23.61
4159,31,27,19.42,23.9
4162,10,8,8.92,9.35
4166,9,9,7.92,7.23
4167,23,21,18.84,19.41
4168,21,19,16.96,15.89
4173,20,20,17.92,17.12
4178,24,24,23.92,25.9
4179,42,36,28.1,30.03
4185,28,26,22.74,17.7
4186,16,16,17.06,18.85
4187,8,8,8.18,7.17
4191,26,28,24.7,23.4
4192,12,10,10.92,10.4
4193,17,17,18.8,19.36
4194,14,18,16.28,13.68
4196,17,13,13.66,15.49
4198,36,38,34.64,31.25
4200,21,19,15,17.3
4202,21,17,14.32,14.59
4204,29,25,22.46,20.31
4206,14,14,11.04,13.41
4207,6,6,6,5
4209,12,12,11.66,9.17
4219,12,12,11.36,8.51
4220,26,24,21.02,18.12
4224,28,22,20.2,21.84
4225,8,8,8.3,6.74
4226,21,21,18.46,19.33
4227,15,11,12.32,13.28
4230,15,15,14.52,16.59
4231,48,46,40.96,44.11
4234,17,15,13.76,13.63
4236,22,22,17.02,17.43
4240,56,62,57.5,52.96
4241,39,35,35.06,30.79
4242,25,21,21.12,17.23
4244,24,22,19.4,17.56
4255,22,18,20.5,20.45
4256,16,16,16.14,14.27
4259,14,12,10.72,13.59
4262,12,10,12.5,14.78
4265,23,23,21.56,21.22
4272,24,24,20.54,19.87
4273,20,22,19.46,20.29
4279,16,16,17.78,15.91
4281,16,18,13.8,14.83
4290,15,15,13.4,13.38
4292,12,12,11.64,10.76
4294,35,33,29.36,24.54
4299,14,14,15.54,16.95
4303,28,26,26.84,21.35
4309,6,6,6.02,5.55
4314,27,25,25.94,20.73
4315,33,37,31.48,28.66
4320,26,22,23.42,19.31
4327,17,17,19.4,18.67
4330,9,9,8.36,5.7
4335,25,27,26.34,24.75
4340,10,12,13.2,11.95
4341,20,22,21.12,18.34
4344,12,12,11.46,9.19
4347,36,32,32.28,29.39
4352,21,17,17.22,14.48
4353,24,26,22.96,18.03
4355,15,15,12,11.46
4366,16,18,16.54,13.29
4367,30,24,26.08,23.15
4371,16,16,14.08,14.89
4377,31,27,32.14,25.21
4378,21,19,21,18.66
4381,28,24,25.62,20.54
4390,15,15,12.76,12.39
4392,21,19,17.66,16.76
4393,4,4,4,3.71
4394,10,10,9.12,10.16
4401,20,22,21.24,18.56
4402,19,17,18.1,14.37
4406,20,22,16.22,13.9
4416,14,16,13.92,12.39
4418,17,19,19.32,17.87
4423,47,45,46.22,36.43
4424,37,39,40.62,38.67
4427,22,22,15.42,19.77
4428,12,12,13.04,9.83
4430,34,34,33.86,29.83
4435,18,22,20.12,23.08
4437,19,17,14.58,12.6
4439,35,31,29.66,27.02
4443,11,11,11,9
4447,22,22,21.3,16.44
4451,10,10,7.58,7.62
4452,31,33,26.44,21.12
4454,29,27,25.48,25.64
4460,20,20,19.96,16.59
4464,4,4,4,3.57
4466,18,18,17.88,20.36
4468,8,8,8.12,9.79
4471,30,28,27.3,24.1
4474,25,25,21.5,25.21
4478,39,39,37.16,35.6
4479,21,21,20.22,15.75
4483,15,13,15.18,16.8
4484,25,27,26.9,22.42
4485,52,58,49.22,50.52
4486,25,25,23.46,18.98
4487,25,27,23.44,21.43
4489,17,15,17.44,17.28
4490,33,33,26.7,30.99
4491,35,33,29.18,24.18
4493,27,27,22.1,19.89
4495,9,7,8.36,8.29
4496,6,6,5.96,5.31
4499,22,20,19.24,18.61
4500,25,25,19.4,17.67
4505,16,16,11.16,10.94
4507,2,2,2,2
4508,8,8,9.02,8.75
4515,20,18,13.36,13.43
4518,15,15,13.2,12.74
4519,10,10,12.54,12.49
4520,9,9,7.86,7.14
4522,17,19,22.22,22.97
4523,20,20,18.46,16.93
4524,20,20,18.96,18.92
4526,34,24,27.64,23.21
4529,30,30,27.04,28.26
4530,14,16,16.82,16.96
4531,23,23,20.92,21.5
4533,23,25,22.8,20.09
4534,6,4,4.32,5.71
4536,24,28,22.42,19.36
4538,19,17,20.2,17.4
4540,30,28,25.42,27.17
4543,18,20,17.76,16.32
4544,8,6,6.94,6.32
4545,7,7,6.64,6.09
4546,25,27,19.98,26.79
4549,10,10,9.54,11.46
4550,26,22,23.38,18.81
4555,31,27,26.16,25.98
4556,16,10,13.16,13.43
4561,21,19,18.04,15.68
4562,26,26,20.22,18.9
4564,16,18,17.62,17.48
4565,34,28,27.88,26.21
4566,21,21,18.04,16.03
4569,27,23,20.68,22.36
4572,18,18,17.6,14.62
4574,38,34,30.42,32.4
4575,2,2,2.54,3.57
4576,14,14,14.04,13.28
4582,7,7,6.62,6.23
4584,16,16,17.94,19.58
4589,28,22,23.18,21.08
4590,13,11,12.2,10.81
4591,27,29,25.76,26.66
4592,17,17,15.78,15.47
4595,20,18,19.34,14.52
4599,14,14,14.2,13.58
4601,31,31,34.68,34.26
4603,21,19,19.66,17.06
4604,16,14,14.5,13.54
4605,10,10,9.3,8.15
4612,17,19,19.16,18.12
4616,14,14,11.94,11.45
4625,27,27,22.5,18.19
4626,18,18,14.34,14.78
4628,10,8,8.92,7.23
4631,16,14,11.16,9.95
4636,29,27,20.58,21.93
4638,8,8,7.08,5.6
4639,13,11,10.64,9.3
4655,21,19,16.68,16.44
4656,16,18,16.2,13.42
4663,11,15,14.7,13.5
4665,2,2,2,2
4666,13,11,12.96,12.83
4669,32,32,28.38,26.08
4676,14,14,13.8,12.21
4684,18,16,18.14,15.44
4685,30,26,30.78,26.9
4687,30,30,21.42,20.66
4689,7,7,6.7,5.5
4691,28,24,22.32,18.42
4692,15,11,11.14,10.46
4695,8,8,8.68,8.1
4696,8,8,8.22,7.56
4699,11,11,11.54,11
4703,18,18,17.76,17.1
4706,19,19,18.58,15.47
4709,20,16,17.38,16.32
4712,10,12,9.76,9.34
4715,13,11,10.92,10.05
4717,7,5,6.22,7.27
4720,3,3,3,3.31
4722,20,20,19.22,16.16
4724,4,4,5.2,6.51
4726,14,14,11.86,14.26
4727,16,16,11.92,12.52
4728,26,20,24.14,20.76
4729,20,16,14.84,12.61
4735,16,14,15.1,15.31
4736,22,20,18.02,17.86
4737,27,27,25.72,21.38
4738,22,20,16,16.14
4740,15,15,14.74,14.14
4742,16,14,13.1,11.55
4743,15,13,13.74,14.67
4745,17,17,13.74,13.13
4748,17,17,15.66,14.75
4750,12,10,9.92,10.69
4752,10,10,9.48,7.08
4753,13,15,15.04,16.07
4755,23,21,15.86,13.44
4756,8,10,11.12,10.87
4759,9,9,9,8.35
4760,22,20,16.38,16.32
4762,6,6,6,5.26
4764,10,12,10.36,8.81
4765,18,12,14.32,14.36
4768,13,9,12.56,11.8
4772,18,16,13.12,13.97
4776,6,6,6.06,5.38
4778,8,8,7.58,7.66
4780,7,7,6.4,6.13
4781,15,15,15.38,16.74
4784,10,14,10.78,9.18
4786,4,4,4.08,4.09
4787,8,8,4.2,5.15
4794,22,20,15,14.54
4795,12,12,10.9,8.55
4805,9,13,9.22,8.12
4806,9,9,8.54,8.63
4818,2,2,2,2
4823,9,9,7.18,6.36
4835,23,19,20.94,17.88
4836,26,22,20.14,17.77
4842,10,12,10.56,8.85
4845,22,18,20.02,17.98
4846,29,27,27.12,22.12
4847,46,40,39.66,30.99
4860,24,20,20.16,16.2
4861,16,16,14.5,14.65
4862,20,18,16.06,12.99
4866,18,18,14.12,13.81
4867,30,28,23.48,20.13
4871,18,20,20.48,16.31
4872,33,31,31.28,24.03
4876,18,18,17.62,14.14
4879,19,17,19.02,15.62
4880,6,6,6,5.06
4883,19,21,17.78,15.55
4889,21,21,22.32,20.71
4890,25,23,16.6,17.78
4891,17,17,16.72,13.5
4897,14,14,13.22,12.68
4898,9,11,11.16,9.54
4903,21,23,21.44,18.39
4911,20,18,18.28,14.7
4915,41,35,29.7,29.83
4916,28,22,21.94,21.88
4924,11,11,9.98,8.12
4925,5,5,4.68,3.65
4926,11,11,8.38,7.63
4927,12,12,10.3,9.86
4940,14,14,13.84,11.82
4943,8,10,8.52,8.28
4949,2,2,2,1.8
4951,17,15,15.54,12.11
4953,2,2,2,1.92
4954,18,18,17.22,14.48
4955,16,16,16.34,13.93
4956,18,14,14.4,11.64
4957,26,26,25.16,19.51
4964,11,9,8.04,8.45
4965,47,51,41.54,40.2
4966,24,20,22.1,20.3
4968,16,12,16.36,16.95
4971,16,14,14.44,10.45
4972,22,20,17.92,15.69
4973,18,14,15.2,13.94
4974,21,21,21.84,19.43
4976,17,13,13.48,15.68
4977,47,45,37.66,34.66
4978,13,13,12.28,9.46
4979,23,23,19.96,21.63
4980,41,33,25.84,29.62
4983,18,14,14.6,14.51
4984,36,34,32.04,27.42
4987,22,16,19.96,15.82
4988,24,26,24.8,22.21
4990,28,30,27.48,24.53
4991,15,15,14.16,14.06
4995,19,17,14.56,13.71
5001,8,10,8.2,9.02
5003,18,16,15.24,16.93
5006,37,37,32.68,27.7
5012,24,26,22.7,20.81
5013,24,22,22.02,20.45
5017,19,17,19.76,17.77
5018,12,12,11.96,10.61
5019,2,2,2,1.67
5023,32,28,26,21.91
5026,14,12,13.58,11.81
5027,30,26,24.08,23.23
5030,20,18,15.24,16.16
5031,4,4,4,3.52
5032,2,2,2,1.97
5035,18,20,20.22,19.19
5036,31,33,28.34,22.35
5039,22,20,19.92,20.68
5040,6,6,5.8,4.66
5044,6,6,6,5.28
5050,10,12,9.9,10.23
5052,26,24,22.68,17.95
5053,14,14,13.96,16.79
5055,32,30,29.78,28.06
5058,26,28,24.26,19.79
5060,17,17,15.66,14.04
5062,14,12,10.94,10.11
5063,12,12,12.02,9.51
5065,34,30,24.4,25.27
5066,7,7,6.1,6.48
5070,22,24,21.9,18.03
5073,4,4,4,3.77
5074,7,7,7,6.56
5075,14,16,15.92,13.16
5078,24,20,22.74,20.55
5139,41,39,32.06,34.18
5141,14,14,15.08,11.49
5142,22,20,23.02,16.77
