"DVDRef","NbAlternation","Aswitch","MeanAsimWithin","MeanAsimAmong"
755,21,19,18.3,17.27
756,19,19,15.92,14.45
757,17,17,14.7,12.59
758,6,6,5.16,4.66
759,23,23,22.68,20.44
760,20,18,18.54,18.9
762,17,17,16.5,14.08
764,18,18,15.06,11.35
765,16,12,14.54,11.15
766,4,4,4,3.84
767,7,7,5.92,5.58
769,4,4,4,3.28
779,23,23,18.48,20.31
780,24,24,22.68,18.56
782,6,6,5.84,7.22
789,16,16,17.9,16.6
790,24,22,21.04,19.53
792,7,7,6.34,6.17
798,20,16,16.44,14.73
799,16,16,16.14,13.64
803,44,42,38.64,32.85
811,17,15,16.6,13.94
812,17,17,15.48,15.93
813,22,20,15.78,17.62
815,9,9,8.76,7.77
817,17,17,15.28,13.54
844,35,37,35.5,25.28
845,18,20,16.02,13.96
852,26,26,24.16,21.34
854,26,30,26.5,23.77
921,27,29,23.96,23.41
924,19,17,18.02,16.25
933,22,20,17.06,17.16
934,15,15,13.74,12.95
936,15,14,14.58,14.09
937,10,10,9.16,9.73
938,34,28,29.56,23.76
951,21,17,16.54,17.58
959,2,2,2,1.99
972,26,28,26.1,23.17
973,26,24,18.84,21.75
985,8,8,7.08,5.85
990,25,27,25.1,20.86
992,12,10,10.68,10.49
993,18,18,18.08,17.59
1012,35,35,22.76,21.07
1013,12,12,11.66,11.27
1014,8,8,7.28,5.95
1019,19,17,16.64,19.91
1022,35,29,29.46,25.31
1029,35,33,31.78,23.52
1036,10,6,6.44,7.78
1040,23,21,21.54,18.9
1046,21,19,20.28,16.37
1051,23,19,17.88,16.16
1056,22,20,18.8,17.71
1061,35,33,30.32,25.9
1063,24,24,21.3,17
1064,37,35,31.3,29.7
1072,20,20,18.46,14.66
1076,10,10,9.92,9.25
1077,13,13,11.2,10.65
1082,22,20,20.4,18.34
1084,22,20,20.24,16.89
1090,25,23,22.9,17.6
1091,26,26,23.36,18.96
1093,20,18,13.34,13.9
1094,33,31,31.16,26.34
1095,2,2,2,2
1105,17,17,16.38,13.72
1112,14,14,14.74,13.18
1115,14,14,14.7,14.2
1116,34,36,36.36,29.73
1117,27,27,29.4,24.28
1125,20,16,19.98,16.46
1127,8,10,7.48,5.51
1128,15,15,14.86,13.58
1129,21,17,18.94,18.55
1136,15,11,13.48,10.7
1137,27,23,24.24,19.41
1138,30,26,26.58,21.19
1146,17,17,14.42,11.82
1147,17,17,15.48,13.91
1148,23,25,22.34,21.68
1155,11,9,10.06,9.96
1162,24,24,24.52,19.43
1163,13,15,14.68,12.79
1164,14,14,14.72,14.69
1165,27,26,25.24,26.02
1166,18,18,14.7,12.54
1177,34,30,31.1,25.78
1183,16,14,11.66,9.71
1185,16,16,16.02,14.99
1186,14,12,11.94,9.76
1187,6,6,6.54,7.49
1195,12,10,12.14,9.7
1210,23,21,18.96,15.57
1211,7,7,5.06,5.27
1221,2,2,2,1.67
1223,19,19,19.68,16.79
1224,16,14,11.92,9.67
1228,22,20,20.2,21.05
1230,27,23,25.1,20.51
1233,4,4,4,3.51
1243,8,8,7.8,7.37
1244,20,16,21.18,24.76
1246,21,17,17.72,16.17
1256,6,6,7.3,8.1
1257,28,32,27.04,22.39
1264,9,9,6.78,7.26
1267,25,27,23.72,20.94
1270,20,20,17.88,15.2
1291,26,26,19.3,22.33
1293,22,22,25.46,23.14
1299,22,20,18.94,16.08
1302,13,13,14.74,15.77
1308,19,17,14.76,16.59
1313,13,17,13.98,13.34
1326,16,14,16.12,13.59
1333,14,14,12.7,11.42
1344,13,13,12.94,11.81
1349,15,11,12.62,13.07
1350,19,17,18.26,14.68
1351,20,16,16.14,15.07
1352,9,9,9.16,8.42
1353,11,9,11.14,9.51
1356,6,6,3.7,3.13
1364,8,6,6.92,6.23
1372,24,20,21.48,16.82
1373,13,15,14.4,13.48
1383,14,12,11.9,12.35
1386,1,1,1,1
1397,10,12,9.72,8.9
1401,10,12,11,10.87
1403,15,17,19.52,18.01
1414,11,11,10.26,8.37
1415,14,10,12.7,11.46
1416,12,12,11.52,10.25
1418,25,21,19.44,21.11
1425,25,21,19.9,21.32
1426,23,17,18.36,18.3
1434,18,16,17.22,14.66
1440,17,13,15.2,14.8
1441,20,16,18.06,13.88
1442,26,22,20.36,17.7
1447,14,14,12.52,11.68
1449,18,14,17.64,17.08
1450,17,13,10.78,10.03
1452,25,23,23.26,19.33
1454,6,8,7.66,7.69
1457,14,12,14.36,14.02
1458,21,19,18.56,14.88
1459,28,30,27.8,24.94
1463,22,22,25.24,23.91
1464,22,22,16.78,15.86
1465,22,20,18.32,15.66
1466,49,43,37.62,34.37
1467,41,37,31.9,28.68
1469,9,9,11.2,11.09
1472,6,6,6,4.92
1473,9,9,12.12,13.18
1474,11,9,9.52,8.92
1475,8,8,7.3,6.54
1477,15,15,13.84,15.7
1481,26,24,25.86,21.09
1482,14,16,14.4,11.8
1490,19,21,15.14,13.02
1494,12,12,11.5,11.77
1495,19,19,18.36,18.36
1496,14,12,12.5,9.39
1497,20,18,15.92,14.06
1498,22,20,17.32,16
1499,8,8,10.52,10.99
1500,25,23,21.14,18.67
1501,14,16,11.36,12.6
1503,14,12,11.04,10.44
1504,21,17,16.14,16.28
1505,25,23,20.66,21.57
1506,22,18,19.66,18.21
1509,30,28,25.08,21.3
1515,15,11,13.38,12.46
1516,9,11,9.74,9.7
1519,25,21,23.56,19.41
1520,20,22,21.66,20.74
1521,12,12,12.44,10.97
1527,16,16,15.68,14.28
1528,20,18,17.9,15.2
1533,21,21,16.26,19.02
1535,11,11,11.9,12.47
1542,18,18,15.42,19.48
1544,22,20,20.86,18.3
1551,25,25,24.96,23.47
1557,20,22,19.2,17.83
1558,21,19,14.08,17.51
1560,23,23,19.36,19.38
1561,39,35,34.54,27.62
1562,16,16,13.98,12.5
1563,17,15,18.08,15.87
1564,10,10,9.04,8.6
1565,3,3,4.18,6.97
1567,13,9,10.5,10.47
1568,17,19,16.66,15.51
1569,22,24,22.88,24.73
1571,22,22,21.52,21.21
1575,20,16,15.62,16.55
1576,4,4,5.14,5.66
1585,2,2,2,1.94
1586,18,16,16.14,16.36
1588,2,2,2,1.48
1589,15,15,12.68,10.59
1599,21,23,15.46,18.29
1603,14,14,11.06,9.54
1606,16,14,13.46,13.31
1611,12,10,10.64,9.75
1614,2,2,3.88,3.42
1617,4,4,7.48,13.89
1624,6,6,5.88,5.19
1627,17,15,15.34,12.6
1631,1,1,1,1
1634,9,9,9.2,9.84
1635,6,6,6.12,4.77
1639,18,16,15.12,16.55
1641,20,18,23.32,23.37
1642,10,10,9.62,9.23
1643,8,8,9.16,8.74
1644,6,6,6,5.37
1645,30,26,21.38,23.23
1647,17,17,14.72,14.43
1648,27,23,25.6,20.05
1649,11,11,9.7,9.45
1650,22,20,19.46,16.29
1651,23,21,23.9,21.86
1653,12,12,11.66,10.6
1655,21,15,17.36,17.16
1657,14,16,10.72,9.42
1659,32,30,20.84,23.86
1660,16,20,18.26,17.4
1661,11,11,12.74,10.5
1662,22,18,18.58,14.73
1664,13,11,13.3,18.41
1665,21,21,18.98,16.55
1666,20,24,22.76,17.45
1667,11,11,10.88,9.59
1668,15,19,14.86,13.66
1669,18,18,17.36,15.33
1670,4,4,4,3.85
1671,22,22,25.4,26.02
1672,47,47,44.2,31.33
1673,7,7,10.72,8.87
1675,8,8,5.4,6.67
1676,18,20,16.92,13.63
1677,7,9,7.52,7.08
1686,16,12,13.18,12.82
1693,2,2,2,1.98
1694,16,16,20.08,20.08
1695,7,7,6.42,6.24
1696,15,15,15.58,16.14
1697,23,27,23.42,19.31
1698,24,24,23.9,22.24
1699,7,7,6.4,5.35
1700,9,11,11.18,8.9
1701,2,2,2,2
1702,15,15,14.94,14.27
1703,20,14,15.02,15.6
1704,16,14,14.48,12.33
1708,15,15,14.8,17.06
1709,14,14,15.64,13.53
1710,16,14,14.76,12.32
1713,17,19,15.32,15.69
1718,15,16,14.7,12.35
1727,17,13,13.42,11.9
1729,5,5,5,5.32
1731,20,18,21.3,17.11
1732,16,14,16.46,15.78
1733,25,25,24.92,22.34
1734,22,20,20.26,16.84
1735,12,10,9.9,9.84
1736,38,32,35.52,31.59
1737,49,47,45.08,34.42
1738,23,19,19.86,17.67
1739,30,24,26.84,23.77
1740,20,22,22.4,21.4
1741,14,14,12.56,14.48
1742,10,12,9.48,9.46
1743,16,16,14.02,11.68
1745,10,10,10,8.08
1746,10,10,10.26,8.9
1747,15,13,12.98,10.86
1748,42,40,34.48,27.82
1749,29,23,24.08,20.65
1750,36,40,33.16,31.72
1752,13,13,9.94,9.83
1753,16,14,12.54,14.68
1754,20,18,16.38,15.93
1755,10,12,10.86,9.71
1758,9,9,9.32,12.22
1779,11,11,7.5,6.96
1784,6,6,6,5.01
1786,22,20,18.4,13.41
1791,4,4,4,3.5
1794,31,29,26.52,22.55
1803,31,27,29,25.55
1805,11,11,12.94,11.93
1813,37,37,31.7,27.57
1815,21,19,19.22,15.48
1822,12,10,10,8.59
1824,26,26,22.48,19.08
1829,33,33,30.6,29.59
1830,30,28,25.44,24.99
1834,13,13,9,10.68
1835,4,6,5.3,4.56
1836,34,36,31.78,28.5
1839,26,28,27.82,25.22
1842,4,4,4,3.49
1843,18,18,14.24,15.28
1845,19,21,17.04,18.55
1847,42,40,38.96,31.44
1848,14,12,12.84,10.02
1851,18,18,16.94,12
1854,19,17,19.14,15.13
1857,21,21,21.56,15.54
1861,23,21,20.5,18.11
1864,26,26,24.74,18.21
1866,13,13,10.44,9.4
1868,9,9,8.56,7.41
1871,18,16,18.8,17.56
1872,12,10,9.68,9.61
1876,2,2,2,2
1878,20,18,20.8,18.45
1880,7,9,7.64,6.49
1883,18,18,19.8,20.05
1886,18,18,13.86,13.27
1887,8,10,9.06,9.51
1892,16,10,11.52,12.06
1896,6,8,6.44,6.52
1906,10,10,9.82,8.65
1911,7,7,6.94,6.08
1915,14,12,14.12,11.3
1916,14,16,14.58,12.27
1917,27,25,23.82,21.09
1921,12,12,10.6,9.26
1926,45,39,41.58,36.91
1927,7,7,7.66,7.15
1928,9,7,8.38,5.91
1937,14,16,14.96,12.46
1946,26,26,23.6,20.41
1949,26,22,23.34,22.69
1953,47,43,46.02,35.88
1963,17,13,15.08,12.26
1964,20,20,17.16,16.24
1965,13,15,12.5,12.55
1969,13,11,11.98,10.12
1973,15,13,12.74,11.5
1975,22,24,21.54,16.88
1977,24,22,22.2,20.11
1979,26,24,28.96,23.09
1981,43,41,45.74,38.33
1985,43,37,39.02,32.1
1986,38,36,34,36.94
1987,31,29,30.52,28.61
1995,24,26,24.22,22.4
1997,18,20,17.44,18.71
2000,30,26,20.92,20.43
2002,14,12,12.64,9.98
2004,14,12,10.82,10.94
2005,6,6,5.86,5.21
2012,14,14,13.64,11.31
2014,16,14,14.92,12.44
2015,19,17,17.6,16.41
2078,12,12,11.1,13.09
2106,23,23,20,17.32
2107,9,9,8,7.15
2111,10,10,9.7,8.69
2113,8,8,6.84,5.61
2114,12,12,10.72,9.37
2119,10,10,9.48,8.25
2122,16,16,13.64,12.06
2128,13,13,11.26,9.68
2134,14,14,13.82,11.66
2140,9,7,7.6,7.77
2155,16,14,14.76,10.74
2167,18,18,14.46,12.89
2173,12,12,11.44,11.75
2183,14,12,13.84,11.61
2185,21,19,17.24,15.32
2187,17,17,16.66,13.39
2188,21,23,19.56,17.7
2191,16,14,14,16.87
2192,20,16,19,16.09
2194,17,17,18.48,18.22
2196,24,24,19.62,21.21
2199,23,23,21.68,19.3
2201,16,14,13.92,11.94
2230,14,10,11.06,11.75
2231,10,12,11.44,11.87
2236,24,26,25.7,22.1
2239,23,19,20.66,14.09
2240,16,16,13.78,11.36
2241,28,28,26.74,22.08
2242,34,32,30.2,22.84
2244,22,24,20.18,18.18
2248,13,13,12.9,10.94
2250,28,22,24.56,20.78
2253,55,53,39.82,34.59
2254,28,28,27.98,20.82
2257,17,17,16.74,13.4
2258,30,26,27.56,23.36
2260,28,24,25.24,19.77
2261,31,23,25.84,22.02
2268,24,28,23.58,21.42
2269,21,21,22.12,17.67
2270,38,32,27.26,25.16
2271,35,35,32.28,27.07
2273,18,18,16.64,17.2
2275,30,30,25.18,22.19
2276,12,14,13.84,15.47
2279,25,25,19.86,19.55
2281,6,6,5.62,5.26
2282,16,16,15.76,13.76
