"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1422,510,509,1,20.5,17.3999996185303,12,1,592,418,1,15.5,1.27,14.23,14.1134058825285,0.5,-0.68,1.18,1054,823,"8231054",2004,47,1,"418592",-0.718858633741963
1434,513,512,1,24,18.3999996185303,12,1,438,11,2,14.5,-1.69,16.19,17.383906987715,0.5,-1.305,1.805,4290,4275,"42754290",2004,48,8,"11438",0.447515281945454
1436,513,512,1,20.6000003814697,16.5,12,1,438,11,2,14.5,-1.69,16.19,17.383906987715,0.5,-1.305,1.805,4290,4275,"42754290",2004,48,8,"11438",1.48140433340142
1437,512,513,1,25.5,18.7000007629395,12,1,4290,4304,3,18,-1.73,19.73,23.1630706567656,3,-1.22,4.22,438,11,"11438",2004,48,4,"43044290",1.24742478602852
1438,512,513,1,24.7000007629395,19,12,1,4290,4304,3,18,-1.73,19.73,23.1630706567656,3,-1.22,4.22,438,11,"11438",2004,48,4,"43044290",-0.252660495910243
1439,512,513,1,21.7999992370605,19.2000007629395,12,1,4290,4275,3,18,-1.73,19.73,23.1630706567656,3,-1.22,4.22,438,11,"11438",2004,48,4,"42754290",-3.61938901906727
1441,514,514,0,25.3999996185303,18.2999992370605,12,1,471,661,3,18,1.47,16.53,17.6568199118952,3.5,0.785,2.715,471,661,"661471",2004,50,3,"661471",2.08087839911488
1442,514,514,0,17.2999992370605,16.5,12,1,471,409,3,18,1.47,16.53,17.6568199118952,3.5,0.785,2.715,471,661,"661471",2004,50,3,"409471",-1.81859681100778
1443,514,514,0,24,18.2999992370605,12,1,471,661,3,18,1.47,16.53,17.6568199118952,3.5,0.785,2.715,471,661,"661471",2004,50,3,"661471",0.680878780584582
1445,516,515,1,20.7999992370605,18.2999992370605,12,1,649,460,4,6,0.84,5.16,12.6526082130966,1,0.36,0.64,4273,4153,"41534273",2004,54,4,"460649",-2.51912198235492
