"ChickID" "NatalBrood" "RearingBrood" "CrossFosteredYN" "AvgOfMass" "AvgOfTarsus" "AvgOfAge" "nMeasures" "dam" "sire"
116 180 179 1 21.6000003814697 17.7999992370605 13 1 4497 4470
118 181 181 0 23.2999992370605 17.2000007629395 13 1 4157 4483
119 181 181 0 22.3999996185303 16.5 13 1 4157 4483
120 181 181 0 23.3999996185303 17.2000007629395 13 1 4157 4483
121 182 182 0 21.3999996185303 19 13 1 4217 4326
122 182 182 0 22.5 17.7000007629395 12 1 4217 4326
123 182 182 0 23.7999992370605 19.1000003814697 12 1 4217 4326
126 183 183 0 25.5 18.7999992370605 12 1 4405 4463
127 183 183 0 26.2000007629395 18.3999996185303 13 1 4405 4463
128 183 183 0 25 19.5 13 1 4405 4463
129 184 184 0 23.8999996185303 18.5 12 1 4447 4403
130 184 184 0 21 16.7000007629395 13 1 4447 4403
131 184 184 0 23.3999996185303 17.1000003814697 12 1 NA NA
132 184 184 0 20.7999992370605 15.8999996185303 12 1 4447 4403
133 184 184 0 21.7999992370605 17.1000003814697 13 1 4447 4403
135 185 186 1 22.8999996185303 18 12 1 4137 4435
136 185 186 1 23.1000003814697 18.8999996185303 12 1 4137 4135
143 187 190 1 25.5 17.1000003814697 12 1 4443 4303
144 187 190 1 25.8999996185303 17.7000007629395 12 1 4443 4303
145 187 190 1 26.3999996185303 17.5 12 1 4189 4303
146 187 190 1 25.5 17.5 12 1 4443 4303
150 189 188 1 23.3999996185303 17.6000003814697 13 1 4438 4432
151 189 188 1 24.1000003814697 17.6000003814697 13 1 4438 4432
152 189 188 1 23.6000003814697 17.5 13 1 4438 4432
153 189 188 1 25.1000003814697 18.2000007629395 13 1 4438 4432
154 190 187 1 26.8999996185303 18.3999996185303 12 1 NA NA
155 190 187 1 19.1000003814697 16.5 12 1 4494 4418
156 190 187 1 23.5 18.6000003814697 12 1 4494 4418
158 190 187 1 23.3999996185303 17.7000007629395 12 1 4494 4135
159 191 191 0 23.1000003814697 17.6000003814697 13 1 4500 4499
161 192 193 1 20.8999996185303 16 12 1 4177 4153
163 192 193 1 19.8999996185303 16.3999996185303 12 1 4177 4153
164 192 193 1 15.3999996185303 16.2999992370605 12 1 4177 4153
165 192 193 1 22.5 17.1000003814697 12 1 4177 4153
166 193 192 1 24.7999992370605 17.2000007629395 12 1 4436 4230
169 193 192 1 23.2999992370605 17.2000007629395 12 1 4436 4230
170 194 195 1 25.7999992370605 18.1000003814697 12 1 4489 4275
173 194 195 1 25.5 17.2000007629395 12 1 4489 4275
174 194 195 1 23.5 18.2000007629395 12 1 4489 4275
175 195 194 1 25.2000007629395 16.7000007629395 12 1 4468 4417
176 195 194 1 26.7999992370605 17.6000003814697 12 1 4468 4417
177 195 194 1 24.5 18.1000003814697 12 1 4468 4417
178 195 194 1 26.5 18.3999996185303 12 1 4468 4417
179 196 197 1 19.1000003814697 17 12 1 4434 4229
180 196 197 1 20.7999992370605 18 12 1 4434 4229
181 196 197 1 20.7999992370605 18.2000007629395 12 1 4434 4229
182 196 197 1 17.6000003814697 16.5 12 1 4434 4229
183 196 197 1 17.1000003814697 16.7999992370605 12 1 4434 4229
184 197 196 1 17.2000007629395 14.6000003814697 12 1 4246 4406
188 197 196 1 20.8999996185303 15.8999996185303 12 1 4246 4406
189 198 199 1 25 19.2000007629395 12 1 4134 4295
190 198 199 1 23.6000003814697 18.2999992370605 12 1 4134 4295
191 198 199 1 21.5 17.2999992370605 12 1 4134 4295
192 198 199 1 17.2000007629395 16.6000003814697 12 1 4134 4295
194 199 198 1 19.6000003814697 17.6000003814697 12 1 4498 4409
195 199 198 1 21.1000003814697 18.2999992370605 12 1 4498 4409
196 199 198 1 23.8999996185303 18.2000007629395 12 1 4498 4409
197 199 198 1 19.2000007629395 16.5 12 1 4498 4409
198 200 200 0 26.3999996185303 18.6000003814697 13 1 4291 4410
202 201 201 0 20.7999992370605 17.6000003814697 11 1 4440 4304
203 201 201 0 20.3999996185303 16.3999996185303 11 1 4440 4304
204 201 201 0 20.5 15.8000001907349 11 1 4440 4304
206 202 202 0 22.6000003814697 16.7999992370605 12 1 4497 4470
207 202 202 0 22.6000003814697 17.7999992370605 13 1 4497 4470
212 203 203 0 23.8999996185303 17.7999992370605 12 1 4465 4410
213 203 203 0 24.1000003814697 17.3999996185303 13 1 4465 4410
215 204 204 0 23.3999996185303 16.6000003814697 13 1 4277 4402
216 204 204 0 25.1000003814697 17.3999996185303 13 1 4277 4450
218 205 205 0 18.6000003814697 15.8000001907349 13 1 4255 4439
219 205 205 0 20.2999992370605 16.1000003814697 13 1 4255 4439
222 206 206 0 20.3999996185303 16 13 1 4178 4265
223 206 206 0 18.7000007629395 16.1000003814697 13 1 4178 4265
225 206 206 0 19.1000003814697 16.2000007629395 13 1 4178 4265
253 212 212 0 20.3999996185303 16.3999996185303 12 1 4436 4230
254 212 212 0 22.2000007629395 17.2999992370605 12 1 4436 4230
255 212 212 0 28.2999992370605 17.2999992370605 12 1 4436 4230
256 212 212 0 24.5 16.8999996185303 12 1 4436 4230
258 213 215 1 21.8999996185303 16.2000007629395 12 1 4277 4247
259 213 215 1 25.8999996185303 18.2000007629395 12 1 4277 4247
260 213 215 1 21.3999996185303 16.7999992370605 12 1 4277 4247
261 213 215 1 25.5 17.1000003814697 12 1 NA NA
262 214 216 1 24.2999992370605 16.5 12 1 28 4325
263 214 216 1 15.3999996185303 16.5 12 1 28 4325
264 214 216 1 25.8999996185303 18.2000007629395 12 1 NA NA
265 215 213 1 18 14.1999998092651 12 1 NA NA
266 215 213 1 14.5 13.6000003814697 12 1 4213 35
267 215 213 1 22.2000007629395 16.8999996185303 12 1 4213 35
268 215 213 1 20 16.5 12 1 4213 35
269 216 214 1 19.7000007629395 16.7000007629395 12 1 4504 4464
283 220 221 1 18.3999996185303 15.8000001907349 12 1 NA NA
284 220 221 1 21.8999996185303 17.2000007629395 12 1 4468 20
285 220 221 1 20.6000003814697 16.7000007629395 12 1 4468 20
286 221 220 1 27 18.2000007629395 12 1 4291 4417
287 221 220 1 27.2000007629395 18.5 12 1 4291 4417
290 222 223 1 24.1000003814697 17.1000003814697 12 1 206 126
298 224 225 1 24.7000007629395 18.2999992370605 12 1 123 4303
300 225 224 1 25.5 18.3999996185303 12 1 108 4153
301 225 224 1 28.8999996185303 18.8999996185303 12 1 108 4153
304 226 227 1 23.2000007629395 17.8999996185303 12 1 170 4463
305 226 227 1 25.3999996185303 18.6000003814697 12 1 170 4418
306 226 227 1 16.7999992370605 16 12 1 170 4463
309 227 226 1 26 18.2000007629395 12 1 41 11
311 227 226 1 25 17.8999996185303 12 1 41 11
313 227 226 1 23.3999996185303 16.6000003814697 12 1 NA 203
320 229 228 1 18.1000003814697 13.8000001907349 12 1 4495 4265
322 229 228 1 19 14.1999998092651 12 1 4495 4282
338 233 232 1 22.8999996185303 17.2000007629395 12 1 76 144
341 233 232 1 21.5 17.2000007629395 12 1 NA NA
342 234 234 0 24.2999992370605 17.2000007629395 12 1 4168 4274
346 235 236 1 23.2000007629395 17.3999996185303 12 1 38 4403
348 235 236 1 22.7999992370605 16.5 12 1 38 4403
351 236 235 1 16.6000003814697 15.1000003814697 12 1 4290 4275
352 236 235 1 22 16.7000007629395 12 1 4290 4275
353 236 235 1 21.6000003814697 16.7000007629395 12 1 4290 4275
354 236 235 1 23.5 17.7999992370605 12 1 4290 4275
355 236 235 1 23.2999992370605 15.6999998092651 12 1 4290 4304
356 237 238 1 27.1000003814697 18.5 12 1 51 24
357 237 238 1 25.7999992370605 17.8999996185303 12 1 51 24
358 237 238 1 28.2000007629395 17.5 12 1 51 4229
362 238 237 1 26.5 17.2000007629395 12 1 4447 4477
363 238 237 1 27.3999996185303 18.2999992370605 12 1 4447 4477
