BirdID	LastLiveRecord	Source
1	26-May-01	C
2	26-May-01	C
3	26-May-01	C
4	24-Jul-02	C
6	16-May-01	C
7	16-May-01	C
11	17-Nov-05	C
12	28-May-01	C
13	30-Aug-02	C
15	05-Jun-02	SP
16	30-Aug-02	C
20	01-Jul-02	SP
21	30-May-01	C
22	16-Nov-05	C
23	14-May-07	EP
24	30-Aug-04	C
25	31-May-01	C
26	30-May-01	C
27	31-May-01	C
28	30-Aug-03	S
29	19-Jul-02	SP
30	01-Jun-01	C
31	01-Jun-01	C
32	29-Nov-04	C
33	01-Jun-01	C
34	30-Aug-02	C
35	01-Jun-01	C
37	01-Jun-01	C
38	30-Aug-03	S
39	01-Jun-01	C
40	01-Jun-01	C
41	30-Jan-05	C
42	02-Jun-01	C
43	22-May-01	C
44	30-Aug-04	S
45	11-Aug-06	SP
46	01-Dec-07	C
47	02-Jun-01	C
48	10-Jul-02	SP
49	03-Jun-01	C
50	23-May-01	C
51	30-Aug-02	C
52	03-Jun-01	C
53	23-May-01	C
54	23-May-01	C
55	24-Apr-03	EP
56	03-Jun-01	C
57	03-Jun-01	C
58	04-Jun-01	C
59	04-Jun-01	C
60	30-Aug-04	C
61	04-Jun-01	C
62	04-Jun-01	C
63	05-Jun-01	C
64	06-Jun-01	C
65	06-Jun-01	C
66	06-Jun-01	C
67	07-Jun-01	C
68	07-Jun-01	C
69	07-Jun-01	C
70	07-Jun-01	C
71	27-Apr-02	EP
72	07-Jun-01	C
73	07-Jun-01	C
75	28-May-01	C
76	27-Jun-05	SP
77	09-Jun-01	C
78	09-Jun-01	C
80	09-Jun-01	C
81	09-Jun-01	C
82	09-Jun-01	C
83	30-Aug-02	C
84	09-Jun-01	C
85	09-Jun-01	C
86	09-Jun-01	C
87	09-Jun-01	C
88	09-Jun-01	C
89	11-Jun-01	C
90	31-May-01	C
91	30-Aug-04	C
92	30-Aug-02	C
94	12-Jun-01	C
95	12-Jun-01	C
96	12-Jun-01	C
98	12-Jun-01	C
99	12-Jun-01	C
100	12-Jun-01	C
101	12-Jun-01	C
102	12-Jun-01	C
103	12-Jun-01	C
104	30-Aug-04	C
105	06-Jun-01	C
106	12-Jun-01	C
107	06-Jun-01	C
108	30-Aug-02	C
109	07-Jul-01	C
110	30-Jan-05	C
111	18-Jul-01	C
112	18-Jul-01	C
113	17-Jul-01	C
114	14-Aug-06	SP
115	18-Jul-06	EP
116	18-Jul-01	C
117	12-Jun-01	C
118	30-Aug-02	C
119	23-Jun-01	C
120	23-Jun-01	C
121	30-Aug-02	C
122	19-Nov-05	C
123	30-Aug-04	C
124	18-Jun-01	C
125	18-Jun-01	C
126	30-Aug-02	C
127	03-Jul-01	C
128	03-Jul-01	C
129	30-Aug-04	C
130	07-Jul-01	C
131	06-Jul-01	C
132	30-Jan-05	C
133	07-Jul-01	C
134	28-Jun-01	C
135	09-Jul-01	C
136	09-Jul-01	C
137	28-Jun-01	C
138	29-Jun-01	C
139	29-Jun-01	C
140	29-Jun-01	C
142	29-Jun-01	C
143	11-Jul-01	C
144	30-Aug-02	C
145	15-Nov-05	C
146	11-Jul-01	C
147	30-Jun-01	C
148	30-Jun-01	C
149	30-Jun-01	C
150	30-Aug-02	C
151	11-Jul-01	C
152	11-Jul-01	C
153	11-Jul-01	C
154	11-Jul-01	C
155	11-Jul-01	C
156	11-Jul-01	C
157	01-Jul-01	C
158	11-Jul-01	C
159	12-Jul-01	C
160	01-Jul-01	C
161	30-Aug-02	C
162	11-Jul-01	C
163	13-Jul-01	C
164	13-Jul-01	C
165	13-Jul-01	C
166	22-May-07	EP
167	03-Jul-01	C
168	03-Jul-01	C
169	13-Jul-01	C
170	30-Aug-02	C
171	04-Jul-01	C
172	04-Jul-01	C
173	14-Jul-01	C
174	14-Jul-01	C
175	15-Jul-01	C
176	15-Jul-01	C
177	15-Jul-01	C
178	30-Aug-04	C
179	17-Jul-01	C
180	17-Jul-01	C
181	17-Jul-01	C
182	17-Jul-01	C
183	17-Jul-01	C
184	17-Jul-01	C
185	07-Jul-01	C
186	07-Jul-01	C
187	07-Jul-01	C
188	17-Jul-01	C
189	17-Jul-01	C
190	17-Jul-01	C
191	17-Jul-01	C
192	17-Jul-01	C
194	17-Jul-01	C
195	17-Jul-01	C
196	17-Jul-01	C
197	17-Jul-01	C
198	22-Jul-01	C
