ChickID	NatalBrood	RearingBrood	CrossFosteredYN	AvgOfMass	AvgOfTarsus	AvgOfAge	nMeasures
5582	1335	1335	0	14.6000003814697		6	1
5583	1335	1335	0	8.80000019073486		6	1
5584	1335	1335	0	10.8999996185303		6	1
5587	1336	1336	0	9		5	1
5588	1336	1336	0	9.89999961853027		5	1
5589	1336	1336	0	11.3000001907349		5	1
5600	1336	1336	0	2.40000009536743		5	1
5601	1338	1338	0	10.8999996185303		5	1
5602	1338	1338	0	7.69999980926514		5	1
5603	1338	1338	0	12.1000003814697		5	1
5606	1339	1339	0	9.80000019073486		5	1
5607	1339	1339	0	9.30000019073486		5	1
5608	1339	1339	0	6.80000019073486		5	1
5609	1340	1340	0	11.6999998092651		5	1
5611	1340	1340	0	8		5	1
5619	1344	1344	0	12.8000001907349		5	1
5620	1344	1344	0	15.1000003814697		5	1
5621	1344	1344	0	8.10000038146973		5	1
5626	1345	1345	0	10.3000001907349		5	1
5628	1345	1345	0	9.69999980926514		5	1
5632	1346	1347	1	8.60000038146973		5	1
5633	1346	1347	1	8.30000019073486		5	1
5635	1347	1346	1	10.3000001907349		5	1
5636	1347	1346	1	8.69999980926514		5	1
5638	1348	1348	0	11.1999998092651		5	1
5639	1348	1348	0	9.5		5	1
5640	1348	1348	0	10.1000003814697		5	1
5652	1350	1350	0	11.6999998092651		5	1
5653	1350	1350	0	10.3999996185303		5	1
5660	1352	1352	0	7.30000019073486		5	1
5663	1353	1353	0	13.3000001907349		4	1
5664	1353	1353	0	10.3000001907349		4	1
6241	1358	1358	0	3.79999995231628		4	1
6242	1358	1358	0	2.70000004768372		4	1
6243	1358	1358	0	4.40000009536743		4	1
6250	1359	1359	0	10		5	1
6251	1359	1359	0	9.10000038146973		5	1
6253	1359	1360	1	6.69999980926514		6	1
6254	1360	1360	0	10.6999998092651		5	1
6258	1363	1363	0	13.6000003814697		5	1
6259	1363	1363	0	11.6999998092651		5	1
6260	1363	1363	0	8.80000019073486		5	1
6262	1362	1362	0	8.30000019073486		5	1
6263	1362	1362	0	14.6000003814697		5	1
6264	1362	1362	0	10.3000001907349		5	1
6265	1362	1362	0	8.5		5	1
6267	1364	1364	0	11.5		5	1
6268	1364	1365	1	7.19999980926514		5	1
6269	1364	1364	0	11.3000001907349		5	1
6270	1364	1364	0	12.1000003814697		5	1
6271	1364	1365	1	10.3000001907349		5	1
6272	1365	1364	1	12.3000001907349		5	1
6275	1382	1382	0	15.1000003814697		6	1
6279	1367	1367	0	11.3999996185303		5	1
6280	1367	1367	0	10.3999996185303		5	1
6281	1367	1367	0	9.89999961853027		5	1
6282	1367	1367	0	7.90000009536743		5	1
6283	1368	1366	1	9.10000038146973		5	1
6284	1368	1366	1	11		5	1
6285	1368	1366	1	8.39999961853027		5	1
6286	1366	1368	1	10.1000003814697		5	1
6287	1366	1366	0	3.79999995231628		5	1
6289	1366	1368	1	9		5	1
6290	1369	1373	1	13.8000001907349		5	1
6291	1369	1373	1	12.6999998092651		5	1
6292	1369	1373	1	10.3000001907349		5	1
6293	1373	1369	1	13		5	1
6294	1373	1369	1	12		5	1
6295	1373	1369	1	9.10000038146973		5	1
6296	1370	1370	0	9.5		5	1
6297	1370	1370	0	7.40000009536743		5	1
6298	1370	1370	0	7.69999980926514		5	1
6299	1370	1370	0	5.19999980926514		5	1
6303	1372	1377	1	8.39999961853027		5	1
6306	1372	1377	1	5.59999990463257		5	1
6307	1377	1372	1	9.39999961853027		5	1
6308	1377	1372	1	8.69999980926514		5	1
6309	1377	1372	1	7.90000009536743		5	1
6310	1371	1371	0	8.80000019073486		5	1
6311	1371	1371	0	4.69999980926514		5	1
6312	1371	1371	0	3.20000004768372		5	1
6313	1372	1372	0	6.40000009536743		5	1
6314	1377	1372	1	6.5		5	1
6316	1374	1375	1	11		5	1
6317	1374	1375	1	12.1000003814697		5	1
6319	1374	1375	1	7.19999980926514		5	1
6321	1375	1374	1	7.40000009536743		5	1
6322	1375	1374	1	8.30000019073486		5	1
6323	1375	1374	1	7		5	1
6326	1376	1376	0	7.59999990463257		5	1
6328	1376	1378	1	7.59999990463257		5	1
6329	1376	1378	1	5.5		5	1
6331	1378	1376	1	9.19999980926514		5	1
6333	1378	1376	1	7.30000019073486		5	1
6344	1383	1383	0	13		5	1
6345	1383	1383	0	12.8999996185303		5	1
6346	1383	1383	0	5.80000019073486		5	1
6348	1384	1384	0	7.59999990463257		5	1
6349	1384	1384	0	9.30000019073486		5	1
6350	1384	1384	0	5.30000019073486		5	1
6353	1388	1392	1	5.5		4	1
6354	1388	1392	1	6		4	1
6356	1388	1392	1	5.30000019073486		4	1
6357	1392	1388	1	8.10000038146973		4	1
6358	1392	1388	1	6.59999990463257		4	1
6359	1392	1388	1	4.19999980926514		4	1
6360	1392	1392	0	7		4	1
6361	1386	1386	0	6		5	1
6365	1386	1386	0	9		5	1
6370	1387	1387	0	8.80000019073486		6	1
6371	1387	1387	0	8.89999961853027		6	1
6374	1395	1393	1	10.6999998092651		5	1
6375	1393	1395	1	9.19999980926514		5	1
6376	1393	1395	1	8.89999961853027		5	1
6377	1393	1395	1	9.89999961853027		5	1
6379	1395	1393	1	10.1000003814697		5	1
6380	1395	1393	1	11.1000003814697		5	1
6381	1395	1393	1	9.89999961853027		5	1
6383	1396	1394	1	7.59999990463257		5	1
6384	1396	1394	1	8.60000038146973		5	1
6385	1394	1396	1	15.5		6	1
6386	1394	1396	1	13.6000003814697		6	1
6387	1394	1394	0	11.8999996185303		5	1
6391	1389	1389	0	12.1000003814697		5	1
6392	1389	1389	0	11.3999996185303		5	1
6393	1397	1397	0	9.30000019073486		5	1
6403	1398	1398	0	11.1999998092651		5	1
6404	1398	1398	0	12.3000001907349		5	1
6405	1398	1398	0	9.89999961853027		5	1
