BirdID	CaptureDate	Mass
105	06-Jun-01	4.7
106	12-Jun-01	22.8
106	06-Jun-01	5.1
107	06-Jun-01	3.9
108	17-Jul-01	24.4
108	20-Mar-02	30.5
108	22-Mar-02	30.2
108	07-Jul-01	6.4
108	22-Mar-02	30.5
109	07-Jul-01	4.8
110	25-Nov-04	31
110	17-Jul-01	27.2
110	07-Jul-01	6.9
110	10-Mar-04	28.9
111	18-Jul-01	27.4
111	07-Jul-01	6.3
112	07-Jul-01	8.6
112	18-Jul-01	21.4
113	07-Jul-01	7.7
113	17-Jul-01	19.5
114	09-Jun-04	26.8
114	07-Aug-05	26
114	17-Oct-03	26.5
114	17-Jul-01	19.9
114	26-Apr-05	26.7
114	14-Jul-03	25.5
114	07-Jul-01	8.3
114	23-Nov-04	27.2
114	24-May-06	26.3
114	01-Oct-02	25.5
114	17-Nov-05	27.2
115	21-Mar-02	27.6
115	13-Oct-01	27.6
115	17-Jul-01	20.3
115	23-Nov-04	26.5
115	19-May-06	27.5
115	07-Jul-01	9
115	06-Jun-04	27.8
116	18-Jul-01	21.6
116	07-Jul-01	9.2
117	12-Jun-01	8
118	13-Oct-01	26.9
118	11-Oct-01	27.4
118	12-Jun-01	8.6
118	23-Jun-01	23.3
119	23-Jun-01	22.4
119	12-Jun-01	7.5
120	23-Jun-01	23.4
120	12-Jun-01	8
121	29-Jun-01	21.4
121	18-Jun-01	7.4
121	13-Oct-01	27.5
121	11-Oct-01	27
122	19-Nov-05	26.8
122	03-Jun-04	28.9
122	14-Jun-02	28.5
122	28-Jun-01	22.5
122	05-Jun-03	27.75
122	07-Mar-04	27.2
122	18-Jun-01	7
122	24-Nov-04	25.8
123	28-Jun-01	23.8
123	28-May-03	31
123	18-Jun-01	7.6
123	23-May-02	28.1
123	22-Jun-03	29.75
124	18-Jun-01	4.4
125	18-Jun-01	3.6
126	22-Jun-01	4.8
126	22-Mar-02	27
126	22-Mar-02	29.4
126	02-Jul-01	25.5
126	20-Mar-02	29.3
127	22-Jun-01	5.6
127	03-Jul-01	26.2
128	03-Jul-01	25
128	22-Jun-01	5.4
129	06-Jul-01	23.9
129	26-Jun-01	6.9
129	05-Jun-03	27
129	27-May-02	27.7
130	26-Jun-01	5.3
130	07-Jul-01	21
131	26-Jun-01	6.7
131	06-Jul-01	23.4
132	11-Oct-01	25.3
132	26-Jun-01	4.8
132	08-Jun-03	26.5
132	19-May-04	26
132	20-Mar-02	26.1
132	24-Nov-04	23.8
132	06-Jul-01	20.8
133	26-Jun-01	4.7
133	07-Jul-01	21.8
134	28-Jun-01	4.1
135	08-Jul-01	22.9
135	28-Jun-01	4.1
136	28-Jun-01	5
136	08-Jul-01	23.1
137	28-Jun-01	3.4
138	29-Jun-01	2.9
139	29-Jun-01	3
140	29-Jun-01	4.2
143	10-Jul-01	25.5
143	30-Jun-01	6.7
144	10-Jul-01	25.9
144	30-Jun-01	6.5
144	11-Oct-01	29
145	15-Nov-05	30.5
145	15-Nov-05	33
145	14-Jul-03	28.75
145	23-Nov-04	27.8
145	10-Jul-01	26.4
145	06-Mar-04	28.8
145	30-Jun-01	6.2
146	30-Jun-01	4.7
146	10-Jul-01	25.5
147	30-Jun-01	8.4
148	30-Jun-01	7.1
149	30-Jun-01	7.2
150	12-Oct-01	29.4
150	11-Jul-01	23.4
150	11-Oct-01	29.5
150	20-Mar-02	29.4
150	30-Jun-01	5.1
151	30-Jun-01	7.3
151	11-Jul-01	24.1
152	11-Jul-01	23.6
152	30-Jun-01	7.3
153	30-Jun-01	7
153	11-Jul-01	25.1
154	11-Jul-01	26.9
154	01-Jul-01	9.3
155	01-Jul-01	4.2
155	11-Jul-01	19.1
156	11-Jul-01	23.5
156	01-Jul-01	6.8
157	01-Jul-01	7.8
158	01-Jul-01	7.7
158	11-Jul-01	23.4
159	12-Jul-01	23.1
159	01-Jul-01	4.6
160	01-Jul-01	2.4
161	12-Jul-01	20.9
161	02-Jul-01	5
161	20-Mar-02	26.5
161	22-Mar-02	26.5
162	02-Jul-01	4.2
163	12-Jul-01	19.9
163	02-Jul-01	6.6
164	02-Jul-01	6.4
164	12-Jul-01	15.4
165	12-Jul-01	22.5
165	02-Jul-01	7.8
166	03-Jul-01	9.4
166	03-Jun-04	30.5
166	13-Jul-01	24.8
166	09-Feb-07	27.3
166	18-Jul-03	29
166	08-Mar-04	27.9
166	20-Nov-05	28.2
166	22-May-06	29.4
166	17-Aug-06	28
166	14-Jul-04	30.2
166	24-Nov-04	26.5
166	05-May-04	29.5
167	03-Jul-01	5.1
168	03-Jul-01	3.6
169	03-Jul-01	8.8
169	13-Jul-01	23.3
170	25-May-02	26.4
170	14-Jul-01	25.8
170	04-Jul-01	7.4
171	04-Jul-01	9.3
172	04-Jul-01	3.1
173	04-Jul-01	6.9
173	14-Jul-01	25.5
174	14-Jul-01	23.5
174	04-Jul-01	5.6
175	15-Jul-01	25.2
175	05-Jul-01	5.2
176	05-Jul-01	7.2
176	15-Jul-01	26.8
177	15-Jul-01	24.5
177	05-Jul-01	7.9
178	13-Jul-03	30.5
178	15-Jul-01	26.5
178	11-Oct-01	31.5
178	05-Jul-01	8.9
179	16-Jul-01	19.1
179	06-Jul-01	5.6
180	06-Jul-01	6.4
180	16-Jul-01	20.8
181	06-Jul-01	5.4
181	16-Jul-01	20.8
182	16-Jul-01	17.6
182	06-Jul-01	5.1
183	16-Jul-01	17.1
183	06-Jul-01	4.2
184	07-Jul-01	3.9
184	17-Jul-01	17.2
185	07-Jul-01	4.9
186	07-Jul-01	4.8
187	07-Jul-01	4
188	07-Jul-01	7.5
188	17-Jul-01	20.9
189	07-Jul-01	7.4
189	17-Jul-01	25
190	07-Jul-01	5.3
190	17-Jul-01	23.6
191	17-Jul-01	21.5
191	07-Jul-01	5
192	17-Jul-01	17.2
192	07-Jul-01	4
194	17-Jul-01	19.6
194	07-Jul-01	6.5
195	17-Jul-01	21.1
195	07-Jul-01	8.6
196	17-Jul-01	23.9
196	07-Jul-01	7.7
197	07-Jul-01	5.1
197	17-Jul-01	19.2
198	22-Jul-01	26.4
198	11-Jul-01	11.8
199	11-Jul-01	5.4
202	13-Jul-01	5.9
202	22-Jul-01	20.8
203	22-Jul-01	20.4
203	13-Jul-01	5.9
204	22-Jul-01	20.5
204	13-Jul-01	5.6
206	03-Jun-05	26
206	11-Oct-01	24.9
206	21-Mar-02	25
206	21-Mar-02	24.5
206	09-Feb-07	25.6
206	29-Jul-01	22.6
206	19-Jul-06	25.8
206	26-May-04	32.4
206	26-Nov-04	29.4
206	30-May-03	24.75
206	18-Jul-04	25
206	17-Nov-05	25
206	19-Jul-01	5
207	30-Jul-01	22.6
207	19-Jul-01	5.75
208	19-Jul-01	5
211	21-Jul-01	2.5
212	31-Jul-01	23.9
212	13-Oct-01	28.3
212	21-Jul-01	4.5
213	01-Aug-01	24.1
213	21-Jul-01	3
215	02-Aug-01	23.4
215	22-Jul-01	4.8
216	22-Jul-01	6.8
216	02-Aug-01	25.1
217	22-Jul-01	6.5
218	02-Aug-01	18.6
218	22-Jul-01	5.3
219	22-Jul-01	4.4
219	02-Aug-01	20.3
222	26-Jul-01	5.3
222	06-Aug-01	20.4
223	06-Aug-01	18.7
223	26-Jul-01	4.8
225	26-Jul-01	5.2
225	06-Aug-01	19.1
249	19-Jul-01	25.1
250	19-Jul-01	22.6
251	20-Mar-02	27.7
251	16-Nov-05	25.8
251	25-Jun-05	26.2
251	13-Jun-04	26.8
251	19-Jul-01	23
253	29-Sep-02	26.3
253	24-Jun-03	25.75
253	28-May-03	26.5
253	05-May-02	3.8
253	10-Mar-04	25.6
253	15-May-02	20.4
254	05-May-02	4.4
254	15-May-02	22.2
255	05-May-02	7
255	15-May-02	28.3
256	20-May-04	27.2
256	30-Jul-06	25.6
256	14-Jul-05	25.8
256	17-May-04	26.5
256	03-Jun-03	25.5
